label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	south21_all	80	36751	18940	9372	5532	7645	3189	2502	2094	2045	1442	2473	1088	1246	855	979	1119	605	692	590	592	480	429	486	393	217	254	240	323	205	147	133	123	120	158	131	80	91	81	85	85	62	45	40	48	52	39	37	29	50	19	31	16	38	31	23	15	25	12	27	16	8	7	16	22	10	7	4	9	9	7	6	2	2	1	2	6	1	0	1	2	1	5	0	1	1	1	3	2	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	24404	13505	5034	1263	6111	815	625	472	1119	330	1994	404	719	355	608	854	294	432	369	404	272	246	391	268	53	140	161	259	142	88	56	34	44	99	83	21	46	25	50	71	28	11	10	19	38	7	13	14	30	8	23	8	33	26	4	6	21	6	21	4	3	4	12	20	3	1	1	3	2	1	3	1	2	0	0	1	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	38714	19592	9691	5535	7766	3203	2537	2150	2222	1465	2589	1104	1251	909	999	1108	667	675	617	608	473	478	531	415	215	270	227	332	238	137	145	130	115	145	134	85	89	78	78	82	60	51	37	55	46	39	40	36	57	27	38	15	55	22	21	21	25	12	25	14	11	7	15	23	15	10	5	7	8	6	4	1	9	0	1	4	2	2	0	1	1	5	0	1	2	0	2	2	0	2	1	0	1	2	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	26643	14299	5479	1309	6273	865	629	568	1265	339	2152	400	738	398	611	859	358	442	399	424	273	305	422	296	54	144	150	270	168	78	69	34	48	92	88	21	45	19	48	66	26	14	7	25	32	9	15	13	37	15	29	9	49	17	5	13	22	7	19	1	3	5	14	20	4	2	2	2	1	1	3	1	8	0	0	1	0	2	0	0	0	4	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	40581	20719	9812	5479	8331	3247	2587	2081	2252	1476	2625	1138	1224	922	1029	1104	716	693	620	573	470	469	615	449	238	265	243	370	261	155	130	142	112	150	141	80	93	75	75	104	77	51	38	43	43	39	34	36	58	34	38	21	61	16	18	21	21	12	30	13	12	8	12	27	12	9	3	10	4	2	3	1	10	2	1	2	2	2	0	1	2	4	1	1	2	1	2	1	0	1	1	0	1	2	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	28954	15626	5745	1352	6872	924	624	584	1342	373	2188	441	711	394	657	868	413	434	398	394	275	308	506	341	63	141	157	312	193	91	68	39	42	97	103	19	48	24	42	87	36	15	8	24	25	14	13	14	42	16	30	11	54	11	6	13	18	7	25	1	4	7	10	21	5	2	1	6	0	1	1	1	8	1	1	1	0	2	0	0	1	3	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	42198	21452	9928	5474	8790	3323	2544	2141	2301	1505	2845	1197	1260	960	1023	1152	730	701	649	628	500	487	628	472	233	284	267	430	288	156	141	143	123	141	129	90	92	74	74	101	83	53	40	44	39	34	38	46	61	40	46	20	61	30	20	21	24	8	29	12	13	14	16	22	13	6	8	9	3	6	5	1	10	5	1	4	4	3	0	1	3	2	1	2	2	1	1	3	0	0	2	0	2	2	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	31028	16479	5966	1443	7429	995	595	599	1404	443	2413	489	752	424	656	929	439	451	449	449	307	335	509	365	66	161	184	376	222	86	78	45	48	99	97	19	45	27	40	83	46	13	7	25	24	11	17	22	50	19	37	13	51	11	6	14	20	3	25	2	4	11	14	13	5	2	2	6	0	6	2	1	7	2	1	0	0	3	0	1	3	2	0	1	1	1	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	42336	21602	10060	5467	8990	3393	2567	2222	2302	1525	2963	1155	1235	926	986	1208	723	730	664	650	501	474	712	464	240	275	279	412	269	172	139	132	129	166	139	75	90	75	71	112	75	50	42	36	46	34	37	42	51	29	44	22	50	30	16	24	22	7	21	10	11	14	18	22	7	5	8	12	2	8	3	1	9	6	2	4	3	2	12	2	4	3	7	3	2	2	1	3	0	0	1	5	7	2	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
0.03	south25_active	80	31333	16766	6099	1515	7626	1016	562	605	1420	471	2530	485	730	401	638	977	445	489	463	469	313	325	591	350	77	166	191	357	211	92	81	51	47	114	103	16	50	32	37	91	47	10	9	19	35	10	14	26	40	11	35	14	43	12	6	16	17	2	18	2	4	9	15	14	3	2	2	9	0	7	1	0	7	2	1	0	0	2	12	1	4	2	6	1	2	2	0	2	0	0	0	5	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
