label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138
0.03	north1_all	80	21029	20138	10221	4351	4194	4579	2541	1699	1469	1499	1860	1400	906	1276	574	1037	533	524	447	603	303	275	234	553	213	269	189	231	145	209	164	90	154	129	82	69	56	37	47	41	56	33	62	99	29	63	37	42	21	31	23	39	28	16	18	17	7	30	8	6	5	1	11	11	15	17	15	5	6	5	7	1	0	0	2	2	1	3	1	2	0	0	2	1	7	3	2	1	0	5	3	1	1	6	2	0	0	1	0	33	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	9569	12557	6042	1927	2099	2766	1251	757	645	760	1103	774	471	784	273	652	266	290	223	346	118	128	121	311	95	157	91	153	78	122	99	36	97	72	40	41	22	20	25	18	37	15	43	56	10	39	24	31	12	17	13	25	12	7	9	13	4	25	4	1	3	0	4	5	10	11	15	3	3	4	2	0	0	0	1	1	0	2	1	1	0	0	1	1	7	1	1	0	0	1	2	1	1	6	2	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	21192	20319	10449	4388	4130	4576	2623	1726	1464	1537	1822	1394	921	1275	598	1029	532	516	453	636	290	292	242	570	212	249	193	264	156	211	161	94	127	126	96	73	62	37	60	41	43	38	80	95	29	61	46	28	25	40	23	33	33	13	19	23	14	32	9	7	8	5	14	7	21	16	15	5	6	5	5	1	0	0	7	10	4	3	2	3	0	1	2	1	8	3	1	1	1	5	3	1	1	5	3	2	0	1	0	33	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9570	12654	6170	1902	2106	2744	1283	757	666	795	1093	803	465	739	299	642	267	265	231	350	130	141	121	304	102	135	100	172	76	119	88	43	83	71	43	40	25	19	32	18	23	19	50	50	11	29	29	20	14	24	13	22	15	3	9	18	8	26	4	2	3	2	5	2	7	10	15	4	2	4	2	0	0	0	6	8	2	2	1	2	0	0	1	1	7	2	1	0	0	1	1	1	1	4	2	2	0	0	0	32	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	21380	20353	10511	4462	4052	4578	2617	1709	1475	1568	1814	1390	912	1260	588	1030	503	514	449	591	290	290	246	554	223	258	210	258	154	202	142	99	131	133	87	82	54	39	66	42	51	33	73	103	27	54	38	40	31	44	24	39	33	13	18	19	15	43	10	4	10	9	23	7	19	15	19	10	4	2	5	5	2	2	6	11	7	3	3	1	0	3	2	2	8	2	0	0	1	4	3	1	0	5	3	2	0	0	0	34	1	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9602	12527	6239	1943	2057	2726	1321	763	664	838	1066	814	461	727	293	658	251	261	229	336	140	141	127	313	108	128	99	154	79	122	84	52	66	77	43	43	22	20	36	18	31	15	42	50	10	21	22	28	17	30	12	26	16	4	10	12	9	35	4	1	3	5	9	1	8	11	19	2	3	2	1	4	0	2	6	8	5	2	1	1	0	2	1	1	7	2	0	0	0	0	1	1	0	4	2	2	0	0	0	32	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	21250	20757	10621	4389	3989	4615	2605	1697	1449	1591	1765	1390	910	1243	640	1100	492	520	436	576	287	293	250	497	221	237	218	273	153	224	144	83	127	118	95	76	59	50	81	42	55	33	79	92	27	61	38	48	33	50	19	39	23	13	14	19	18	38	12	12	10	11	21	6	19	10	16	9	5	3	4	7	2	3	6	10	8	2	2	5	3	3	1	3	1	3	0	0	1	6	3	0	1	3	1	2	0	0	1	4	1	2	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9535	12742	6256	1923	2103	2746	1315	754	638	874	1036	804	450	704	316	650	243	265	217	347	146	132	122	287	109	113	114	163	72	151	80	42	66	63	51	34	21	24	40	19	32	12	45	46	9	33	19	28	17	33	10	26	14	4	5	12	10	30	5	3	2	6	9	1	7	7	16	2	4	2	2	4	0	3	6	8	6	1	0	4	0	2	0	2	0	2	0	0	0	2	1	0	1	0	0	2	0	0	0	3	1	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	21158	20684	10688	4352	4077	4629	2596	1684	1473	1604	1822	1438	936	1227	635	1114	497	517	438	613	288	286	249	560	221	217	200	273	169	224	134	87	120	120	88	71	54	59	78	38	67	37	67	88	24	87	36	52	32	42	14	37	21	15	12	16	17	32	11	11	8	11	17	10	16	8	17	11	5	3	3	7	2	4	7	11	6	1	3	5	5	6	0	2	0	4	0	0	2	2	0	1	1	3	0	0	0	0	1	2	0	1	0	1	4	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	9550	12728	6263	1948	2149	2723	1345	743	627	877	1061	833	468	705	295	664	259	277	225	405	144	131	122	343	112	116	101	168	74	145	74	41	62	62	53	31	22	30	41	18	35	11	43	44	8	61	20	30	19	27	6	26	10	4	4	8	9	24	5	3	1	7	10	3	11	6	17	3	4	2	2	4	0	3	7	10	5	1	0	4	2	6	0	1	0	2	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
