label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135
0.03	north1_all	80	37355	11744	7196	8521	6996	3151	2725	3792	3955	1453	1211	998	1146	1188	693	642	528	910	422	491	707	330	284	337	260	249	161	253	153	217	123	111	160	97	99	120	94	74	58	160	54	50	38	58	35	75	56	32	17	37	54	45	20	31	12	28	12	7	27	17	7	18	9	15	6	8	29	7	4	7	6	10	6	2	0	7	3	14	7	3	2	3	1	2	0	1	1	8	1	2	1	5	0	0	1	0	0	1	0	0	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	26206	3631	1765	6311	5405	760	1379	2989	3366	563	313	311	633	775	141	207	125	742	82	270	599	112	97	198	122	125	72	201	39	157	39	43	128	25	24	101	32	13	11	148	25	27	15	36	15	67	48	10	7	18	45	39	1	26	1	26	5	5	15	10	4	17	3	4	3	6	29	3	2	3	6	9	1	1	0	1	2	14	5	0	0	1	0	1	0	0	1	7	0	0	0	5	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	39159	12011	7276	9195	7334	3117	2895	3949	4204	1514	1211	1035	1180	1174	686	641	518	908	414	498	729	343	268	353	260	244	172	275	143	244	115	112	150	96	105	145	93	80	67	125	56	51	39	61	45	71	54	32	24	33	53	53	19	38	14	30	11	9	21	17	7	17	9	13	8	7	33	8	3	4	10	8	4	4	0	7	4	15	9	4	2	2	2	1	0	1	1	8	1	2	1	3	0	0	3	0	1	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	28342	3854	1901	7044	5779	813	1491	3225	3642	602	332	341	676	808	114	209	131	733	95	283	636	132	87	202	123	134	75	220	39	188	37	52	119	31	30	129	29	18	11	110	28	27	17	34	26	64	43	13	17	19	44	47	1	30	0	26	5	6	17	13	4	16	3	4	4	4	33	4	2	2	10	6	1	2	0	1	3	14	7	1	0	1	1	0	0	0	1	7	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	39901	11978	7340	9485	7198	3088	2895	3998	4308	1563	1202	1019	1120	1117	691	633	541	940	405	477	770	343	269	344	245	236	195	318	163	259	113	129	161	84	99	177	99	75	72	158	60	56	51	49	51	85	57	31	28	23	37	61	18	36	12	46	15	7	19	12	8	29	10	8	8	5	24	6	7	4	5	8	3	2	0	5	6	14	21	5	2	1	3	2	0	2	1	5	0	2	1	3	0	0	3	1	11	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	29191	3877	1942	7343	5743	805	1534	3282	3742	637	322	351	649	782	127	194	134	770	78	259	679	125	93	203	127	120	74	252	47	209	39	52	133	32	26	161	29	16	14	139	34	36	32	25	36	72	41	10	20	11	30	53	3	28	0	38	6	3	15	9	4	26	5	2	4	2	24	2	6	1	5	6	0	1	0	0	4	13	19	2	0	1	1	0	0	0	1	5	0	1	0	3	0	0	1	0	10	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	39878	11976	7464	9323	7314	3024	2916	4219	4350	1596	1171	1082	1138	1111	707	635	533	917	431	474	819	339	261	351	226	226	197	344	168	275	115	129	189	93	88	186	93	72	74	155	53	52	49	49	58	90	56	33	30	29	57	81	20	32	13	48	11	6	17	15	11	19	9	8	6	16	12	8	12	6	5	8	5	2	0	7	10	2	16	3	2	1	2	2	4	1	0	0	0	2	1	1	1	0	2	2	11	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	29105	3943	1936	7231	5846	731	1534	3491	3790	681	312	367	676	780	129	187	127	739	94	268	728	150	84	204	117	109	79	260	50	214	39	47	159	37	23	164	26	19	14	133	34	34	30	19	42	74	42	12	23	18	48	71	5	24	1	41	4	2	12	11	5	17	3	1	4	13	12	7	9	3	5	6	2	1	0	0	9	1	16	2	1	0	1	0	4	0	0	0	0	2	0	1	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	39915	12005	7461	9415	7242	3065	2852	4427	4429	1570	1190	1101	1127	1081	717	614	526	1011	419	485	864	339	272	311	244	212	202	317	171	270	116	130	184	94	83	211	77	62	67	148	50	53	53	49	54	78	55	36	29	26	58	86	17	39	13	56	12	11	18	14	16	23	11	8	6	23	5	8	12	7	5	3	6	2	1	5	12	2	14	4	1	1	1	2	5	2	3	4	1	2	1	1	2	0	0	2	10	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	29170	4003	1933	7348	5816	737	1502	3684	3894	684	329	393	652	775	139	194	129	836	90	296	771	154	93	185	122	106	86	244	48	206	35	52	152	37	16	179	22	22	12	127	27	39	29	20	36	62	39	11	18	17	51	75	6	35	2	48	5	1	14	5	8	21	6	0	6	21	5	6	8	4	5	2	3	1	0	0	11	1	14	4	1	0	0	0	4	1	2	4	0	2	0	1	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
