label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	12544	10900	1822	1363	1544	961	613	435	324	289	396	318	182	349	233	77	273	72	109	116	53	103	35	23	52	30	32	14	17	11	16	20	10	20	19	8	5	5	3	6	1	1	0	3	5	2	0	5	0	1	2	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9573	9824	577	377	1133	597	228	106	83	69	283	242	89	315	196	25	245	12	80	102	25	93	15	9	43	18	21	8	11	4	5	14	5	19	17	2	2	1	0	4	1	1	0	2	3	2	0	4	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12469	11146	1880	1392	1570	981	598	445	330	285	401	333	209	386	271	80	296	70	116	120	50	92	32	30	53	25	35	26	19	8	12	23	10	25	19	11	6	1	5	8	1	1	0	0	5	2	0	4	0	1	3	3	1	2	0	0	2	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9487	10045	596	378	1141	615	236	104	87	80	287	246	104	347	231	22	264	20	83	102	24	82	16	9	41	16	25	18	15	4	3	19	3	25	18	4	1	0	1	5	1	1	0	0	4	2	0	4	0	0	2	2	0	2	0	0	2	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12497	11227	1935	1360	1610	959	592	443	314	299	430	324	208	389	232	77	303	59	101	123	54	118	36	30	53	26	25	33	20	14	13	17	9	29	17	12	11	2	4	8	2	4	2	0	2	3	1	1	1	0	2	3	1	2	0	0	2	2	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9456	10130	641	364	1169	596	227	110	81	84	307	242	119	348	193	18	275	18	75	106	27	104	19	10	41	22	19	26	15	9	5	12	2	29	16	5	4	0	1	6	2	4	1	0	2	2	0	1	1	0	2	2	0	2	0	0	2	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	12651	11632	2009	1369	1548	975	587	451	316	285	429	333	203	391	258	70	319	58	104	117	53	88	33	30	42	32	39	30	17	11	9	18	10	32	27	11	9	3	4	9	1	3	2	2	1	3	2	2	2	1	1	3	1	2	0	0	2	1	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9587	10585	678	359	1128	621	231	95	88	76	305	243	114	349	214	14	291	18	81	97	31	77	19	9	32	25	34	25	15	6	3	15	1	31	26	6	3	0	2	8	1	3	1	2	1	1	0	2	1	0	1	2	0	2	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12673	11604	2014	1357	1541	935	600	422	327	283	418	325	192	379	259	79	327	52	89	88	45	89	43	30	49	33	33	32	17	14	12	21	11	27	24	5	9	3	5	10	1	4	2	6	1	2	2	2	2	1	0	2	1	2	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9597	10556	677	362	1110	592	233	89	93	65	292	244	120	341	214	16	309	16	66	71	23	77	22	8	39	26	29	29	13	6	5	17	1	25	22	3	4	0	2	6	1	4	1	6	1	0	0	2	1	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
