label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	north1_all	80	11266	4830	2023	1341	1072	881	690	674	507	390	349	330	223	173	225	137	116	123	166	113	143	92	94	39	42	29	29	58	23	58	27	5	52	13	17	10	50	9	7	11	4	3	2	7	3	4	10	3	2	4	1	0	1	0	6	0	2	1	2	2	0	2	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6625	2672	726	498	416	371	287	342	222	160	167	135	85	70	114	53	45	51	107	54	112	55	58	14	18	19	11	35	9	32	8	1	36	7	10	2	44	6	3	4	1	3	1	3	2	0	6	2	1	1	0	0	0	0	6	0	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10397	4471	2034	1338	1066	834	703	669	482	354	353	325	204	169	229	138	119	117	161	113	125	80	75	35	43	31	27	48	19	49	25	7	41	13	20	9	20	9	7	11	4	4	3	6	5	11	9	2	4	3	1	1	1	0	3	0	2	1	2	1	0	2	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5593	2361	706	475	408	337	282	318	207	132	165	124	73	72	107	53	46	51	94	54	86	47	45	12	18	15	12	24	8	27	8	0	28	6	13	2	14	6	3	5	1	4	0	3	3	4	5	1	2	1	0	0	1	0	2	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9924	4344	2018	1347	1033	832	740	644	477	342	344	302	206	170	230	152	129	110	142	96	104	82	70	31	53	37	29	37	19	43	24	8	34	18	21	8	16	6	8	12	4	5	5	10	7	10	9	2	5	4	2	1	2	0	3	1	2	1	0	2	0	2	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5066	2227	690	466	387	332	305	307	214	122	158	118	71	72	105	62	49	48	90	42	79	46	39	10	22	17	12	17	7	18	9	3	23	11	11	2	8	4	5	5	2	5	1	8	2	4	5	1	2	3	0	0	2	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10057	4366	2023	1394	1040	851	743	608	496	339	354	302	208	164	203	144	120	105	152	101	116	84	61	31	53	36	34	41	21	52	26	11	22	21	20	10	10	7	7	12	4	7	6	13	5	11	5	6	4	5	3	2	2	1	3	1	1	1	1	3	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	5242	2261	709	494	378	360	307	283	223	123	158	132	76	70	90	58	42	44	105	44	85	54	33	8	23	11	14	21	6	29	7	4	13	11	12	4	2	3	4	6	2	6	1	10	1	4	2	5	2	4	0	0	2	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_all	80	10845	4784	2052	1429	1048	881	727	605	523	358	394	304	228	181	227	140	120	91	166	110	140	114	72	31	61	43	31	46	25	51	22	16	24	19	18	11	16	8	7	10	6	12	4	12	4	9	3	6	3	4	5	1	1	5	8	2	1	1	1	3	1	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	6051	2562	734	512	416	396	334	296	238	140	189	124	90	73	111	59	42	34	117	50	104	74	43	7	31	19	11	29	11	34	4	6	16	11	11	4	8	3	2	4	2	9	1	9	0	5	1	6	0	3	3	0	1	3	3	2	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	11763	5204	2121	1407	1130	913	762	668	535	383	418	332	246	168	234	136	104	95	171	127	159	107	87	39	64	43	32	46	33	47	23	15	29	14	16	13	22	5	5	12	4	14	5	8	2	9	4	6	2	4	5	2	1	6	6	1	1	2	1	2	1	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	7019	2985	801	501	454	425	350	350	256	168	204	149	102	71	128	54	33	41	127	63	124	69	63	12	33	19	9	30	16	35	3	5	20	7	12	3	15	2	1	6	0	11	1	5	0	5	4	6	0	2	3	0	1	3	2	1	1	1	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
