label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north1_all	80	11594	3347	2223	1696	1571	896	1165	870	411	299	298	311	204	170	175	151	239	123	97	78	50	51	74	63	36	56	46	38	32	25	39	13	15	28	13	12	10	10	8	10	13	2	10	7	6	4	3	2	3	2	3	1	2	0	0	0	1	1	0	0	1	2	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	6070	1464	1011	773	889	419	610	457	159	116	135	148	97	72	83	74	133	60	44	30	15	22	34	35	14	26	32	16	9	15	14	7	5	14	4	7	5	8	3	2	7	1	5	3	5	1	3	1	1	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11721	3331	2216	1740	1593	932	1178	861	394	286	283	280	203	165	173	154	222	128	91	82	49	50	78	58	37	54	40	39	25	22	43	8	17	28	12	8	10	14	8	12	14	1	10	13	5	5	12	3	2	2	2	1	2	1	0	0	1	1	0	0	0	1	1	2	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	6055	1459	1010	778	894	416	602	471	168	120	126	135	93	74	84	72	114	64	35	36	20	22	37	28	17	26	24	19	8	14	17	4	6	14	6	5	4	10	2	3	12	0	6	5	5	1	11	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11777	3369	2235	1754	1638	914	1173	830	401	277	305	286	211	169	178	144	223	120	96	86	53	50	75	53	40	55	36	35	23	26	38	12	19	33	17	6	11	10	8	16	13	1	8	12	7	6	13	2	1	5	3	1	2	1	0	2	0	2	0	0	0	1	1	2	2	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6077	1519	1043	823	872	404	615	468	179	121	145	138	93	77	86	67	121	56	44	37	18	24	40	24	18	23	20	19	8	15	16	5	9	17	12	4	3	5	3	7	11	0	4	5	6	2	12	0	0	4	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11803	3347	2232	1740	1697	909	1207	849	411	267	311	310	205	159	170	139	225	116	104	77	59	50	79	60	37	50	39	30	19	30	28	15	22	17	12	4	6	10	5	18	17	2	11	8	5	7	13	2	1	5	3	0	2	2	0	5	0	2	1	0	0	0	1	1	5	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6188	1501	1053	856	883	407	651	482	193	120	155	158	91	78	82	60	112	59	43	30	20	18	43	30	16	20	24	14	10	16	10	6	12	7	11	2	1	3	1	8	13	0	6	2	3	3	11	0	0	4	1	0	2	2	0	2	0	1	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11668	3329	2286	1773	1687	919	1232	884	408	273	311	320	211	175	158	126	233	106	111	78	51	43	89	54	35	41	39	26	17	38	28	12	23	24	16	3	4	13	4	20	11	2	16	5	8	5	8	1	1	7	3	0	3	3	1	6	0	2	1	0	1	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6218	1472	1096	859	882	426	668	502	182	115	138	170	87	84	72	62	112	56	46	28	15	15	51	31	15	17	23	14	9	24	13	5	10	10	14	2	1	5	1	10	6	0	7	3	4	2	4	1	0	6	1	0	2	3	0	3	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
