label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96
0.03	north1_all	80	13622	6073	2255	1555	1261	961	794	764	545	445	384	328	238	185	266	138	131	114	265	136	262	144	96	53	48	36	35	74	32	57	25	23	30	7	24	13	48	11	5	15	5	7	4	15	4	9	4	11	6	2	4	1	3	3	0	2	1	1	4	0	0	1	0	0	0	1	0	0	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north1_active	80	9448	4018	696	452	472	426	370	416	260	204	208	177	88	45	179	29	29	44	225	83	214	103	67	24	23	17	11	55	15	48	8	9	25	5	18	4	46	5	1	13	1	6	0	5	2	4	2	5	3	1	3	1	1	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_all	80	13715	6064	2307	1574	1241	936	783	735	521	420	423	330	236	194	284	138	125	108	270	137	232	160	100	59	52	39	34	57	31	64	30	22	46	12	27	9	38	11	6	12	8	15	8	15	7	11	6	8	8	4	3	2	2	3	1	2	1	2	4	0	0	2	0	1	0	1	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9486	4026	712	463	434	411	358	414	234	181	236	188	93	41	180	29	31	40	229	84	197	116	67	27	22	22	12	39	14	49	8	9	41	9	24	4	37	6	2	8	1	12	0	6	3	6	3	3	4	2	2	0	0	1	0	1	0	0	4	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13926	5881	2307	1566	1220	963	794	761	541	410	471	319	236	195	271	142	133	98	278	124	232	153	119	59	45	44	36	47	32	50	28	16	50	25	28	6	36	9	10	17	5	11	10	18	7	9	9	3	8	6	3	2	3	3	2	1	1	2	5	0	0	2	0	2	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	9719	3874	735	446	446	424	368	424	251	164	249	178	83	36	170	33	37	34	234	75	201	115	86	27	15	26	14	31	14	41	7	7	45	20	25	3	35	6	2	12	1	8	0	9	2	6	4	3	4	3	2	0	0	1	1	0	0	0	5	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	13836	5796	2328	1590	1193	955	788	759	528	408	448	349	246	198	247	157	135	100	249	120	227	164	107	57	48	50	40	46	30	52	30	18	45	35	30	8	43	9	8	18	5	16	6	22	7	10	7	4	5	5	1	2	2	2	2	1	2	3	4	1	0	1	0	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0
0.03	north4_active	80	9575	3847	774	449	448	414	374	431	258	163	246	197	82	39	160	34	43	34	211	71	193	124	71	23	18	26	13	31	15	45	7	6	36	31	25	3	42	5	1	12	1	12	0	12	3	8	3	3	1	3	0	0	0	2	1	0	0	0	4	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
0.03	north5_all	80	13999	5762	2310	1551	1192	964	811	788	518	381	412	333	247	194	250	156	130	115	241	115	239	166	106	53	53	53	34	42	34	54	27	18	34	57	38	9	42	6	7	13	5	13	3	13	5	6	6	3	4	5	0	1	2	2	7	1	2	2	5	1	0	0	1	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	1	0	0	0
0.03	north5_active	80	9697	3779	766	430	474	423	386	451	253	139	215	173	89	42	160	31	40	39	204	73	202	122	76	23	19	30	12	29	14	42	8	7	26	47	31	3	41	4	1	8	1	10	0	8	3	5	3	2	1	3	0	0	0	2	6	0	0	0	5	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
