label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	north1_all	80	14546	3970	2625	2001	2034	947	1960	1006	501	395	344	345	267	247	193	177	307	128	108	82	75	74	109	65	48	63	54	29	20	28	47	21	29	27	23	12	15	32	20	21	31	7	8	15	8	11	7	5	0	4	3	2	2	0	0	1	2	2	0	1	1	3	0	2	0	3	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north1_active	80	10243	1470	1142	976	1390	428	1630	693	171	108	136	181	117	83	87	71	240	74	46	27	15	23	82	29	14	49	20	15	6	15	37	5	15	22	14	5	3	23	9	14	22	2	4	12	6	8	6	3	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north2_all	80	14562	4015	2586	1989	2076	972	1946	1018	492	367	366	327	263	236	209	172	314	131	110	88	72	71	88	72	51	51	56	31	20	32	51	19	26	32	20	10	16	46	19	19	28	7	5	16	10	17	14	3	0	4	5	1	0	0	1	2	1	2	0	1	0	4	0	3	1	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	10244	1488	1160	1020	1423	438	1611	706	159	86	148	167	113	79	97	74	247	72	49	26	19	21	70	35	15	32	21	18	6	16	36	5	13	25	10	5	0	38	9	18	22	2	3	12	9	15	13	1	0	2	2	0	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14620	3973	2613	1948	2120	993	2009	1022	467	356	375	320	283	216	241	153	324	120	114	94	74	68	92	63	46	61	47	39	24	30	40	21	32	34	22	11	18	40	15	19	24	5	14	16	11	19	10	5	1	6	5	1	0	1	1	3	0	0	0	0	0	5	1	2	1	2	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10275	1430	1148	1005	1452	460	1654	704	178	69	144	176	124	80	104	69	266	63	53	29	21	22	74	31	12	38	14	21	5	15	26	3	21	25	11	4	2	36	5	15	18	2	10	11	8	16	9	3	0	4	3	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	14672	4042	2565	2008	2135	1022	1950	1007	476	372	379	345	283	199	226	140	300	140	108	88	78	73	77	71	41	61	44	32	25	37	57	17	36	34	20	14	18	38	11	14	12	6	13	15	11	18	10	6	3	5	5	1	0	2	1	4	0	0	3	0	0	3	1	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	10267	1452	1106	1051	1471	482	1628	697	184	67	143	186	126	58	99	75	237	73	55	29	28	23	58	39	8	36	20	16	4	23	40	0	24	23	11	4	2	34	2	9	11	1	10	10	9	16	10	4	0	4	4	0	0	1	0	2	0	0	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14685	4059	2627	1971	2186	1024	1912	1040	477	372	353	343	258	185	230	139	339	136	113	85	71	72	82	57	39	78	40	40	28	40	44	15	35	27	16	18	11	31	9	14	22	9	21	9	11	12	4	5	4	2	4	1	1	3	1	3	0	1	4	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	10266	1476	1079	1029	1523	473	1613	730	190	76	131	200	119	57	99	73	284	67	61	25	24	18	57	30	10	54	19	19	5	29	32	0	23	19	10	6	2	21	1	10	21	2	17	7	8	9	4	3	0	2	4	0	1	1	0	1	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
