label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	747	195	164	124	40	48	41	39	17	10	7	13	11	10	6	9	8	10	9	4	1	3	7	8	1	8	0	6	0	1	7	1	1	0	5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	480	95	93	77	23	34	25	24	9	4	4	11	8	3	5	7	5	9	5	2	0	2	3	3	1	5	0	5	0	0	5	1	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	758	197	139	105	40	48	34	32	22	10	9	18	11	9	3	9	9	13	8	1	3	5	4	9	2	10	0	1	0	1	2	1	1	0	5	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	489	92	81	61	20	32	19	20	12	4	4	14	6	2	2	7	6	12	4	0	2	2	2	4	1	7	0	0	0	0	0	1	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	716	198	127	107	48	55	37	39	22	9	12	21	11	7	4	8	10	7	8	2	2	3	1	8	1	14	2	1	0	1	4	2	1	0	5	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	452	100	75	68	27	34	19	24	17	5	6	13	6	2	3	6	8	6	5	1	2	0	0	4	0	12	0	0	0	0	0	2	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	670	209	131	96	50	55	39	39	19	16	16	15	9	11	10	9	9	7	7	3	2	4	0	6	1	13	2	0	0	0	4	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	408	119	76	56	27	31	19	24	15	8	10	6	4	5	5	7	9	5	6	1	2	0	0	3	0	11	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	665	219	141	99	54	62	44	49	24	18	21	17	9	11	11	8	7	9	10	3	5	1	1	2	0	15	2	6	0	0	5	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	376	128	82	53	25	32	21	35	16	9	13	6	4	6	6	5	6	5	9	1	4	0	0	1	0	12	0	4	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
