label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186
0.03	north1_all	80	7333	2693	1129	901	1291	1511	702	621	417	450	361	423	227	217	426	197	230	241	121	187	117	104	80	115	71	94	177	79	60	82	42	111	61	44	60	56	34	72	81	24	64	31	35	32	25	22	15	22	26	11	22	19	12	10	10	18	17	13	11	11	6	16	9	4	9	4	4	5	9	6	16	7	8	7	7	7	24	5	8	20	4	1	3	6	10	4	4	6	0	3	2	12	4	2	0	1	3	0	2	4	0	3	4	1	1	0	1	4	1	0	1	0	2	0	2	0	2	1	1	1	2	2	0	0	0	1	0	0	0	0	1	2	1	1	0	0	7	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
0.03	north1_active	80	4491	1508	502	445	826	983	410	342	215	263	204	250	120	117	266	97	120	152	68	120	71	54	32	67	35	50	121	49	27	48	15	79	28	18	36	37	20	45	44	14	39	15	23	19	14	7	6	13	14	8	13	2	5	5	6	10	10	5	8	5	3	8	5	3	6	2	2	5	4	3	9	2	6	3	6	4	17	1	3	7	0	0	0	4	9	3	1	5	0	1	1	6	3	2	0	1	3	0	1	3	0	1	2	1	1	0	1	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	7	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	7026	2670	1122	910	1262	1439	666	594	401	451	369	401	215	220	380	171	218	216	132	203	100	92	80	94	71	94	171	79	53	81	29	103	53	45	54	59	33	64	75	24	51	33	37	30	20	18	17	21	43	11	24	25	13	13	12	15	18	12	11	10	5	16	8	4	9	6	6	6	8	5	17	9	13	5	7	7	22	8	7	21	3	1	2	3	12	3	1	4	1	3	4	10	6	0	1	3	5	0	2	3	2	3	3	1	2	1	1	4	1	0	1	0	2	0	0	0	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	8	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0
0.03	north2_active	80	4256	1503	496	458	832	917	393	333	211	275	200	243	114	123	240	88	124	125	69	125	55	49	32	44	39	48	118	44	23	46	9	66	24	19	29	39	19	38	40	16	31	16	23	16	12	7	9	13	28	7	16	10	6	8	5	8	10	6	8	5	2	12	4	2	5	4	4	4	4	0	10	1	8	1	7	4	15	3	4	7	0	0	1	2	9	0	0	3	0	1	2	6	4	0	0	2	3	0	1	3	1	2	2	1	1	0	1	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north3_all	80	6820	2626	1095	904	1244	1291	646	569	405	426	348	443	226	200	365	169	203	211	129	182	89	83	89	83	73	100	164	76	44	72	31	100	46	53	51	49	30	62	54	30	48	29	32	27	26	13	20	19	39	12	20	22	11	16	11	8	12	12	15	5	8	11	8	5	10	5	6	4	9	4	19	14	13	6	7	8	7	6	4	11	2	1	2	3	12	2	1	3	2	2	4	9	6	0	2	3	2	2	1	5	3	3	2	1	2	2	1	4	0	0	1	1	1	0	0	0	1	2	1	0	3	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0
0.03	north3_active	80	4104	1488	477	454	789	824	383	324	206	264	198	274	116	107	228	96	114	116	65	98	45	41	41	37	34	50	109	40	19	40	12	64	21	27	24	29	16	42	35	19	23	15	17	17	13	4	11	11	27	9	12	14	6	10	4	5	6	8	10	2	5	7	5	3	6	3	4	2	5	0	14	5	8	3	7	3	1	3	2	7	0	0	1	2	8	0	0	2	0	1	2	3	4	0	0	2	0	2	1	4	1	2	1	1	1	1	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north4_all	80	6650	2490	1083	869	1203	1154	633	554	411	435	331	448	220	203	326	149	189	191	136	186	82	85	95	80	77	98	165	73	44	72	36	111	43	49	50	45	35	62	43	25	34	25	35	26	26	14	17	23	28	13	17	25	10	15	22	12	12	15	16	6	7	14	5	9	10	6	7	3	11	5	21	13	16	6	7	8	3	4	3	6	3	2	4	4	9	4	2	1	2	3	3	6	4	0	2	4	3	2	1	5	4	2	2	1	1	2	1	3	0	0	1	1	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0
0.03	north4_active	80	3956	1389	512	427	746	708	374	324	220	278	174	284	110	94	189	81	100	104	72	106	33	47	45	34	36	46	106	42	18	38	15	73	17	27	28	24	15	40	20	13	16	11	19	16	9	5	10	8	17	9	12	17	5	7	13	8	6	9	8	0	4	6	3	4	6	4	2	1	5	1	17	8	10	3	4	5	2	2	2	3	1	0	3	1	4	0	0	1	0	2	2	2	2	0	0	3	1	2	1	4	2	2	1	1	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north5_all	80	6676	2490	1106	889	1196	1211	650	555	429	459	354	448	222	197	337	159	187	208	136	206	91	91	94	81	75	85	166	78	41	67	43	104	49	38	58	54	32	67	57	25	50	28	42	25	27	11	18	18	16	13	18	20	6	11	24	14	14	21	18	7	5	16	6	11	9	8	8	2	10	6	14	15	13	9	7	10	5	0	4	5	3	2	4	5	13	2	7	1	2	3	1	9	3	0	1	2	2	3	1	3	5	1	1	0	0	2	1	0	0	0	1	1	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3983	1368	522	446	738	780	390	316	224	288	194	280	101	87	189	92	99	117	74	131	44	41	45	40	37	44	97	43	16	31	22	67	19	19	38	31	13	41	29	10	25	11	24	12	8	5	9	2	4	8	11	12	3	4	16	8	7	12	12	1	3	7	5	3	6	7	1	0	3	4	10	13	5	5	4	6	5	0	1	4	1	0	3	1	8	0	4	0	0	2	0	3	1	0	0	2	1	2	1	2	4	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7073	2511	1181	885	1224	1293	682	549	406	485	383	466	209	187	353	147	175	199	150	214	118	100	89	80	81	86	175	73	51	75	45	105	54	38	59	57	34	62	67	27	54	25	41	39	30	14	17	20	22	13	24	18	6	10	23	19	14	23	15	5	4	18	7	16	5	6	12	1	11	9	14	21	12	15	12	10	10	2	5	10	5	3	3	5	12	4	9	1	3	3	5	8	5	1	2	1	3	3	1	2	3	2	1	1	0	1	1	1	0	0	0	1	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	4305	1385	553	435	745	833	419	317	216	300	203	301	88	82	213	88	89	117	92	135	56	51	44	45	44	43	97	43	26	29	21	63	22	16	38	35	17	37	31	13	27	10	28	20	10	7	8	3	11	7	14	9	1	4	17	10	7	10	11	1	0	8	5	7	4	6	3	0	3	7	10	18	5	10	9	5	9	1	0	7	3	1	2	1	8	1	6	0	1	2	1	5	2	0	1	1	2	1	1	2	3	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7299	2602	1175	932	1236	1429	712	557	425	475	393	451	210	186	376	162	175	208	145	228	136	101	92	91	79	94	184	80	60	77	46	108	57	40	61	66	27	70	76	26	77	31	40	42	26	16	19	15	27	12	25	18	9	13	18	18	16	16	13	7	8	11	9	15	3	5	12	3	7	8	13	22	16	13	12	9	14	2	8	10	3	1	1	1	11	4	10	2	4	2	5	8	6	1	1	1	3	4	2	1	2	1	1	1	1	1	0	1	0	1	1	1	2	2	0	1	0	0	0	0	5	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	4502	1447	526	472	754	937	446	331	216	292	221	278	94	92	242	88	94	126	85	147	70	52	46	53	49	52	117	42	30	34	20	68	23	22	36	48	18	37	45	13	47	14	25	21	13	8	9	5	20	6	14	8	3	4	11	9	7	5	9	3	2	8	5	8	3	5	3	1	2	6	7	18	5	10	10	6	11	1	0	6	2	1	0	0	8	2	8	1	3	2	1	5	2	0	1	1	2	0	2	1	2	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7611	2718	1188	944	1284	1549	731	553	415	485	375	465	224	204	422	171	180	216	147	230	139	86	92	87	89	100	180	75	66	88	42	102	58	44	54	64	33	63	65	30	82	31	39	37	34	12	18	16	28	14	26	19	8	15	19	17	16	13	7	6	12	7	10	17	5	8	10	8	9	8	16	20	18	14	13	9	10	5	5	10	5	2	1	1	9	8	7	2	5	1	5	4	5	1	2	2	4	4	1	1	2	2	1	1	1	1	0	2	0	2	1	1	1	2	0	2	0	0	0	0	5	3	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4776	1552	542	455	785	1049	472	339	211	299	229	302	102	105	292	89	95	127	85	130	73	42	49	54	51	52	106	38	32	48	18	59	35	26	29	47	21	35	39	15	58	15	21	19	15	6	9	7	22	8	16	8	2	6	8	7	8	2	2	3	5	5	5	10	4	6	4	5	4	4	11	16	8	10	12	7	7	3	0	5	3	2	0	0	9	6	5	1	4	1	1	3	2	0	1	1	3	1	1	1	2	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7624	2639	1206	923	1292	1555	704	566	427	490	388	472	218	213	429	178	205	216	149	211	127	78	80	89	87	107	189	85	61	94	43	117	51	51	50	64	35	63	50	30	72	34	56	30	33	15	16	13	27	15	23	24	9	15	24	11	16	14	10	9	13	7	9	13	9	6	10	10	7	7	13	16	15	11	6	9	11	8	5	7	4	3	2	2	6	7	6	3	3	1	4	4	2	0	2	2	2	4	2	1	1	1	1	1	1	1	0	1	0	2	2	0	1	2	1	2	0	0	0	0	5	2	1	1	0	0	0	0	1	2	1	0	1	1	0	3	3	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	4805	1507	547	469	790	1019	450	366	226	315	241	287	104	119	288	100	105	129	87	126	63	38	47	48	46	58	109	42	29	58	18	81	28	25	28	42	19	44	33	14	54	21	22	13	21	8	6	6	23	8	16	12	3	7	13	5	7	6	4	5	6	3	5	7	7	4	6	5	3	3	8	12	8	8	4	8	7	3	0	2	1	1	0	1	5	6	2	2	3	0	1	2	0	0	0	1	2	1	2	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	4	2	0	0	0	0	0	0	0	1	1	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7477	2689	1181	927	1265	1589	729	568	425	471	376	454	240	230	412	205	244	207	137	207	110	78	92	91	90	106	174	93	51	88	49	100	45	50	48	47	35	69	51	34	59	34	55	32	34	14	17	15	30	14	25	27	10	19	19	11	15	17	11	10	10	11	17	11	11	12	11	11	7	13	18	16	11	10	8	11	10	7	4	6	5	3	4	2	2	11	7	4	3	2	4	2	1	1	3	3	3	2	1	1	4	1	2	0	0	1	1	1	0	2	2	0	2	3	2	2	0	0	1	1	2	4	1	1	0	0	0	0	0	1	1	0	1	1	0	3	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	4663	1514	541	476	778	1078	455	353	234	293	228	272	107	130	266	116	132	122	84	130	48	38	53	46	45	55	92	48	21	57	22	69	31	24	24	24	18	48	27	15	48	20	21	13	18	4	11	5	23	6	16	13	4	10	9	4	9	11	7	4	5	6	9	6	8	7	9	4	2	7	15	14	6	5	5	10	7	2	0	3	1	1	0	1	1	9	4	3	3	1	1	1	0	0	0	1	3	1	1	1	3	1	1	0	0	1	0	0	0	1	1	0	1	2	1	1	0	0	1	1	2	3	0	0	0	0	0	0	0	1	1	0	0	1	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
