label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179
0.03	north1_all	80	4617	1486	1096	742	550	463	836	314	249	220	178	250	140	218	121	107	133	174	109	279	118	206	98	52	157	91	39	97	58	33	40	102	38	33	52	25	49	46	21	14	24	24	15	22	12	11	29	53	7	20	24	10	8	8	12	9	18	37	8	6	6	3	10	3	3	4	1	3	16	10	7	4	30	6	4	3	3	1	4	4	6	0	6	3	1	0	2	2	3	2	3	1	0	3	0	2	2	4	4	0	2	1	0	3	0	0	0	0	0	1	2	2	0	1	1	2	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2736	752	624	367	248	256	542	174	144	102	89	141	61	138	51	54	94	102	60	191	61	140	57	21	95	57	18	63	32	16	22	75	27	19	29	18	34	27	12	8	13	10	6	16	6	4	21	45	3	8	13	7	6	5	9	7	8	21	3	2	2	2	6	3	1	2	0	0	7	4	3	2	25	1	3	2	2	1	2	1	4	0	2	1	0	0	1	1	3	0	1	1	0	1	0	0	2	1	3	0	0	1	0	3	0	0	0	0	0	0	2	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4617	1494	1112	707	532	482	815	306	250	239	170	258	142	230	102	81	144	174	102	278	106	203	81	59	144	118	36	93	44	43	33	85	40	33	48	34	40	48	30	19	25	24	15	25	12	18	35	50	11	18	18	12	10	7	17	8	32	29	8	4	5	5	13	5	5	4	2	4	14	7	8	6	28	3	7	4	2	5	6	3	6	0	9	4	1	3	4	3	1	1	3	0	1	2	0	0	0	4	1	0	2	1	0	2	0	0	1	0	0	1	2	1	0	1	0	2	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	4	0	1	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north2_active	80	2733	753	621	338	234	260	520	160	134	111	80	167	59	148	45	40	99	112	59	186	56	138	40	30	95	79	20	58	25	18	19	60	31	21	28	23	24	31	22	11	14	12	8	18	5	10	26	40	3	5	6	7	6	4	13	7	23	16	5	0	1	4	10	3	3	2	0	0	6	1	6	4	22	1	7	3	1	5	2	1	4	0	5	2	0	2	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4549	1459	1105	693	499	480	804	294	235	228	168	278	133	226	98	83	147	171	103	268	110	176	86	56	157	121	44	88	44	36	37	64	41	35	45	31	38	42	38	26	22	19	18	25	14	18	42	45	13	18	12	11	9	7	15	8	31	29	9	6	5	15	15	3	7	2	4	8	8	6	5	4	22	2	11	4	3	4	4	2	7	0	10	3	1	4	4	2	1	1	3	0	5	3	0	0	1	3	1	0	1	1	0	1	0	0	2	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	5	0	5	0	1	0	3	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	2708	722	610	323	218	249	519	149	123	116	73	181	61	150	45	41	105	115	51	193	71	125	50	33	114	79	23	57	26	14	21	44	24	15	28	19	25	29	27	13	13	7	9	19	5	11	34	31	5	9	4	6	5	4	12	6	23	22	6	2	1	5	13	1	6	0	1	0	5	1	5	3	13	1	10	3	1	4	2	0	5	0	7	2	0	2	1	0	1	1	2	0	4	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4572	1451	1123	689	483	514	796	304	226	234	148	276	126	228	98	88	141	190	101	235	103	182	101	65	159	116	47	95	39	33	36	100	40	31	42	31	53	41	40	27	17	26	18	29	15	17	36	35	21	24	6	11	13	8	13	6	34	35	11	6	5	17	12	3	8	3	5	8	11	3	8	3	22	2	12	5	2	4	3	2	5	1	9	3	1	4	3	3	1	1	4	1	6	2	0	1	1	1	4	0	2	1	0	1	0	1	2	3	1	2	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	5	0	5	0	1	0	3	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	north4_active	80	2743	737	625	323	219	277	530	146	110	114	61	182	51	141	46	37	94	128	48	159	67	123	60	41	117	81	22	65	21	12	15	61	22	11	25	20	41	31	25	14	10	13	8	20	6	11	26	19	13	13	1	7	6	3	9	4	28	23	6	3	1	6	11	1	6	1	2	3	9	1	6	3	16	1	11	4	1	4	0	0	3	1	7	3	0	2	0	1	1	1	2	1	5	1	0	0	0	0	1	0	1	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4537	1463	1120	682	470	504	762	287	237	218	162	277	134	226	97	102	136	161	107	205	100	200	108	65	170	119	52	88	39	27	36	102	47	30	46	29	60	46	34	25	22	26	19	29	14	17	32	31	21	22	7	10	11	11	14	8	29	29	12	9	7	20	10	4	8	4	5	9	13	1	6	3	18	1	11	5	5	3	2	1	4	1	6	4	1	4	2	3	1	1	4	1	5	2	1	1	1	1	6	0	3	2	1	0	0	1	2	3	2	1	1	0	1	0	0	2	0	0	0	1	0	0	2	0	4	0	0	0	0	0	1	0	1	0	3	0	1	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2747	738	629	337	224	260	502	140	106	100	64	175	58	148	44	52	89	106	52	136	67	125	65	37	116	74	24	60	16	11	17	67	28	8	30	20	51	38	18	10	14	18	7	16	5	7	15	16	16	13	3	6	6	5	9	5	22	21	7	5	3	9	7	2	6	2	3	4	11	1	3	2	14	0	9	3	3	3	1	0	2	1	5	4	1	2	0	1	1	1	2	1	5	1	1	0	0	0	3	0	1	0	0	0	0	1	0	3	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
