label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	south23_all	80	8070	2053	1339	852	1009	1194	824	317	273	268	175	194	116	295	70	103	164	61	78	151	40	64	91	26	35	18	43	33	22	23	16	18	15	10	11	4	9	5	8	10	6	2	4	8	3	0	2	6	1	3	9	1	3	3	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0
0.03	south23_active	80	4901	969	656	373	603	761	510	155	133	142	84	110	55	179	32	60	96	33	42	96	17	39	55	8	17	8	19	19	14	14	7	12	11	5	6	1	6	0	5	3	2	1	3	7	1	0	2	6	0	2	8	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0
0.03	south24_all	80	8083	2043	1351	821	995	1177	790	331	253	260	183	214	111	283	79	111	168	53	71	136	33	60	69	25	36	19	33	31	21	31	17	14	13	6	12	5	14	7	8	11	6	2	2	6	3	1	2	6	2	2	9	1	0	3	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	5
0.03	south24_active	80	4888	938	663	347	580	753	469	165	123	138	91	124	56	184	38	59	107	29	35	81	14	37	38	10	13	9	20	13	15	18	8	10	8	1	8	2	5	2	6	7	3	1	2	5	1	1	2	6	0	1	8	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	5
0.03	south25_all	80	7847	2031	1330	794	965	1086	750	323	237	258	175	224	115	275	78	109	146	49	71	141	39	68	51	23	21	22	43	28	15	29	19	15	12	9	11	3	16	5	6	13	11	2	0	6	2	2	2	3	2	1	10	1	1	3	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	south25_active	80	4766	919	627	350	565	694	425	161	121	122	84	127	60	185	42	54	96	22	38	78	22	38	24	11	4	12	28	14	9	13	10	11	8	1	8	1	8	2	5	8	3	1	0	6	1	2	2	3	1	1	9	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	south26_all	80	7676	2021	1311	803	929	1074	748	318	234	228	177	230	116	239	93	107	134	44	67	109	37	61	44	22	15	22	53	25	18	33	13	13	14	10	7	2	16	2	5	13	10	3	1	4	2	3	3	1	4	0	7	1	1	2	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
0.03	south26_active	80	4565	907	614	366	534	651	421	157	116	114	85	123	57	167	45	50	89	17	37	60	25	35	21	11	4	12	34	14	11	21	8	10	8	4	4	2	7	2	4	7	1	0	0	4	1	3	3	1	2	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.03	south27_all	80	7659	2035	1358	821	937	1010	700	321	254	225	151	217	124	258	90	97	123	47	70	118	43	93	47	21	21	19	50	23	18	32	13	12	14	17	4	4	15	3	2	21	8	4	2	1	1	3	3	2	4	0	8	0	3	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_active	80	4625	908	632	385	548	607	375	158	125	114	61	112	59	185	43	47	72	18	42	65	26	61	21	9	7	10	35	11	12	19	7	6	8	7	1	3	9	1	2	9	0	0	0	1	1	3	3	2	2	0	5	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	7838	2087	1318	852	928	1006	723	320	269	244	152	214	138	257	94	89	122	55	72	106	44	109	52	25	21	23	60	33	24	34	12	16	12	16	6	5	10	6	1	14	4	4	2	5	0	2	1	3	2	1	9	0	2	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south28_active	80	4673	955	623	390	532	606	407	145	135	126	58	110	63	177	40	43	70	22	41	60	26	77	27	13	9	11	38	18	12	21	4	7	7	8	2	2	7	1	1	5	0	0	0	5	0	2	1	2	1	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	7916	2070	1306	845	968	1093	744	327	265	258	165	213	142	279	93	93	141	51	77	123	50	103	54	28	21	20	53	33	30	28	14	26	8	22	10	6	9	8	2	13	3	3	1	8	0	1	0	2	1	2	3	2	2	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	south29_active	80	4736	961	590	369	565	686	440	152	135	133	66	117	64	179	43	44	86	17	46	78	27	77	27	15	9	9	32	18	18	15	3	15	6	13	3	1	4	2	2	5	0	1	0	8	0	1	0	1	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	8033	2096	1296	846	951	1167	760	328	252	265	167	240	132	261	94	90	140	53	74	130	43	82	55	30	21	27	49	35	44	25	12	34	7	25	15	6	10	7	4	10	4	4	2	12	0	0	0	1	1	2	5	2	2	1	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0.03	south30_active	80	4776	1000	608	379	535	740	462	148	125	132	75	141	67	158	48	43	86	20	40	86	25	53	29	14	9	14	31	17	25	11	2	23	5	15	7	2	4	2	3	8	0	3	0	9	0	0	0	0	1	1	3	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	7971	2081	1288	882	955	1212	775	354	240	275	192	238	123	265	88	79	160	57	60	113	52	56	71	40	24	18	31	32	34	26	11	21	13	19	8	4	12	9	3	16	11	2	2	7	1	2	3	1	1	7	0	0	4	3	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	south31_active	80	4741	981	633	407	545	786	470	179	104	142	87	132	60	177	45	45	100	28	34	69	30	34	40	19	9	6	24	16	18	17	5	13	4	11	3	3	7	4	1	14	7	2	2	6	1	0	1	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	7649	2031	1318	887	914	1167	720	350	245	271	214	214	131	228	94	78	151	57	69	102	43	63	56	40	27	16	28	27	28	28	11	22	14	11	8	6	15	8	2	2	5	3	5	6	1	2	4	2	0	5	3	0	6	7	1	0	0	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	south32_active	80	4441	959	672	425	506	756	416	161	104	141	95	119	63	142	44	41	90	33	38	64	22	38	32	23	10	6	20	16	17	20	6	13	5	4	5	5	8	4	1	2	3	2	1	5	1	0	1	1	0	4	2	0	4	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	7148	1999	1317	904	902	1091	687	352	259	272	215	210	130	222	96	81	135	54	67	119	35	58	49	28	21	22	46	23	26	18	11	26	7	8	10	6	14	4	3	2	4	3	4	7	3	1	3	4	2	5	3	0	6	4	1	0	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0
0.03	south33_active	80	4142	927	636	420	479	686	403	163	110	146	100	106	57	136	44	40	73	30	33	78	16	27	28	17	12	9	33	14	15	15	5	14	3	2	4	4	9	2	2	1	2	2	0	4	1	0	0	2	2	4	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south34_all	80	6879	2012	1299	921	872	1011	656	324	243	251	196	201	130	216	91	86	123	49	75	100	42	63	53	23	20	21	43	29	17	17	7	17	9	6	13	7	10	2	4	7	6	6	6	6	4	1	2	5	4	4	3	0	4	5	1	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0
0.03	south34_active	80	3956	925	633	414	449	626	384	160	102	123	95	94	63	130	37	45	72	30	32	51	20	34	25	12	11	11	31	16	7	11	5	10	6	3	6	3	6	1	2	2	4	4	2	4	1	0	1	2	4	2	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south35_all	80	6856	1998	1234	886	860	979	680	286	236	258	174	207	125	219	93	82	145	54	79	100	47	68	63	22	20	19	45	32	19	18	8	17	11	5	13	5	7	4	4	7	5	9	3	8	3	2	2	5	5	2	5	0	6	1	1	1	1	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
