label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	south25_active	80	1749	440	415	808	141	112	408	240	135	47	64	102	68	59	26	33	47	37	54	110	49	49	13	26	20	26	13	20	19	17	19	10	21	24	14	34	27	10	31	14	9	5	4	6	21	13	4	7	0	13	2	2	6	11	0	6	4	1	3	3	3	7	3	6	4	0	0	2	1	0	0	1	1	0	1	6	0	1	1	8	0	5	0	0	0	0	0	4	0	0	1	1	7	0	0	1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	2964	914	750	1264	298	267	650	438	215	134	107	164	102	108	59	84	79	73	83	149	104	83	37	55	42	45	29	39	36	23	30	17	25	39	26	44	52	21	51	20	14	14	9	9	28	14	18	11	3	27	3	7	8	18	2	7	7	6	4	11	3	13	6	8	4	3	1	4	1	6	0	3	0	2	1	7	0	2	2	10	2	6	0	0	0	0	0	5	0	1	0	1	8	0	0	0	1	0	2	1	0	1	4	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	1755	460	407	807	146	123	423	256	123	60	64	100	59	61	20	49	44	36	54	102	52	47	15	30	24	30	15	21	20	12	21	6	16	27	19	29	39	10	34	17	9	6	4	5	17	11	11	8	0	21	2	3	3	14	0	3	5	5	3	4	3	6	2	5	2	2	0	2	0	3	0	1	0	1	1	2	0	1	1	8	2	4	0	0	0	0	0	4	0	0	0	1	8	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	2757	850	720	1050	320	258	594	410	168	151	110	145	88	96	64	90	66	66	82	141	99	76	32	43	44	34	30	38	35	26	35	18	21	30	27	31	52	22	39	17	17	14	10	9	22	15	13	14	4	19	0	6	10	15	6	8	4	5	6	10	6	5	6	7	4	2	0	2	1	5	2	3	1	2	2	7	1	3	1	8	2	2	1	0	1	0	0	3	1	1	0	1	10	0	0	0	0	0	1	1	0	2	4	0	0	2	1	2	0	1	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	1606	424	385	669	158	117	356	231	89	67	64	86	49	57	23	51	36	37	54	104	55	47	14	24	26	23	11	15	18	12	22	4	12	20	17	18	45	8	26	11	14	5	5	7	14	12	9	9	1	16	0	2	3	10	2	2	2	4	4	2	5	2	0	5	3	2	0	0	1	3	1	0	0	1	1	1	0	2	1	8	2	0	0	0	0	0	0	2	0	0	0	1	10	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	2471	849	679	893	331	251	526	365	151	155	114	139	89	84	62	85	66	55	83	109	100	67	35	35	41	41	31	45	29	24	34	16	18	25	20	17	35	23	34	17	23	18	9	12	15	12	14	11	5	17	4	7	10	10	8	8	2	7	4	9	6	6	5	3	2	2	0	2	1	12	3	3	2	3	2	2	1	3	1	1	3	0	1	0	1	0	0	1	1	1	0	0	3	0	1	0	0	1	1	2	0	2	1	0	0	2	1	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	1375	397	352	570	173	112	303	218	77	68	60	78	47	51	23	47	31	26	50	70	66	42	14	18	28	25	12	26	15	9	18	5	10	17	12	8	32	9	25	10	18	4	4	9	8	10	10	5	1	14	2	2	1	5	4	3	2	4	3	2	4	1	1	1	1	2	0	0	1	8	2	0	0	1	1	1	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1	2	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	2254	874	650	712	348	246	422	318	151	151	118	129	92	91	63	69	65	49	87	114	79	68	31	35	38	36	30	39	22	26	31	15	16	12	24	16	34	20	28	14	22	17	17	13	12	5	9	6	4	12	6	4	12	8	9	9	2	5	8	7	5	6	7	3	4	1	0	0	2	8	3	1	3	2	3	2	2	2	3	6	1	0	1	0	2	0	0	0	1	0	0	1	2	2	1	0	0	1	0	5	0	2	1	0	0	2	1	2	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	1186	386	348	463	178	106	234	177	66	68	59	70	42	52	24	37	28	27	39	72	56	42	10	18	23	23	11	25	11	14	15	5	9	11	11	11	29	8	19	6	17	4	13	10	6	5	7	3	1	8	2	2	3	3	6	5	2	2	2	2	3	0	3	0	3	0	0	0	1	5	2	0	0	0	1	1	1	1	2	6	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	5	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	2157	850	610	687	359	236	388	287	158	147	125	123	99	103	63	71	62	45	73	108	90	64	39	41	39	38	27	50	19	27	21	9	23	14	25	20	26	18	24	16	19	18	14	12	15	4	8	7	6	12	6	6	11	7	7	7	4	3	8	8	3	6	8	3	6	4	0	0	1	9	2	0	2	3	3	1	2	1	4	5	2	0	1	0	1	1	1	0	0	0	0	2	5	2	1	0	0	1	1	6	0	0	1	0	1	2	0	2	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	1103	374	320	457	178	104	216	160	76	73	61	65	51	48	27	29	29	24	29	72	65	36	15	17	19	20	9	35	8	16	8	6	11	11	13	16	18	8	18	8	14	6	12	8	12	4	4	3	1	9	2	2	4	2	4	4	3	1	2	3	2	0	7	1	4	2	0	0	0	5	2	0	0	0	2	1	1	0	3	5	1	0	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	1	1	5	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	2754	945	765	1160	274	228	561	380	180	141	123	148	117	113	64	88	69	54	86	156	43	70	49	29	35	37	34	49	23	21	34	26	38	24	24	61	53	16	39	17	18	11	11	14	39	12	14	8	9	49	5	7	4	5	4	1	7	5	7	3	2	8	7	3	4	1	5	2	4	12	1	1	1	2	3	1	5	3	5	3	0	12	2	1	1	3	1	1	0	2	0	1	0	1	0	1	0	3	0	2	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0
