label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142
0.03	south33_all	80	6069	2380	1451	1964	1291	788	538	457	636	355	269	430	302	267	498	152	235	131	104	249	94	74	68	63	66	49	51	57	43	25	81	46	30	26	22	12	18	15	33	16	23	14	17	17	11	11	9	7	11	10	8	7	12	4	11	3	6	3	5	4	3	8	5	2	2	3	6	3	3	1	3	0	1	0	2	0	1	2	2	1	0	0	2	0	0	1	1	0	0	1	0	2	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south33_active	80	3535	803	393	1497	927	446	246	138	468	157	65	340	201	166	439	53	175	54	30	209	24	33	38	32	39	28	26	33	15	7	73	8	8	6	7	3	7	1	24	10	13	4	5	8	5	4	4	0	6	6	4	1	5	0	2	0	1	3	4	1	1	6	2	0	0	1	5	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	6620	2387	1480	2294	1414	794	575	465	742	371	269	463	322	297	588	145	238	135	107	340	92	77	73	65	66	49	55	62	49	27	106	46	30	30	26	17	19	16	42	22	27	13	17	11	9	9	10	10	12	9	6	5	12	7	13	5	5	5	6	3	4	2	1	2	2	2	10	10	3	0	2	0	4	0	2	0	2	1	0	1	0	0	2	0	0	1	1	0	0	3	0	2	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south34_active	80	4099	860	370	1851	1079	450	268	156	574	187	70	374	221	215	524	57	186	57	29	302	20	39	36	35	43	28	32	40	17	12	97	11	7	5	8	3	8	4	33	14	15	4	4	6	2	5	3	1	8	6	2	1	4	2	3	0	2	3	5	1	1	2	1	0	0	0	8	7	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	7032	2334	1470	2529	1585	823	617	484	811	357	295	542	313	303	640	141	268	123	105	421	76	78	90	63	77	57	70	67	36	34	116	40	30	24	26	11	22	19	36	22	28	16	21	9	9	7	13	10	10	1	8	7	8	7	11	3	6	7	6	3	3	3	1	2	1	3	9	8	2	1	2	1	5	1	1	0	1	1	0	1	2	0	1	0	0	1	0	0	0	2	0	2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
0.03	south35_active	80	4593	878	330	2124	1237	473	311	165	655	184	73	444	229	211	591	73	213	58	28	383	14	35	47	32	54	34	38	41	12	13	106	10	9	6	7	2	7	5	27	16	15	4	8	8	1	4	5	3	5	1	5	2	4	3	2	0	2	5	4	1	1	3	1	0	0	0	8	6	1	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	7411	2422	1513	2855	1666	860	617	470	929	374	283	571	353	303	646	138	250	131	105	474	76	81	87	57	86	53	78	73	36	35	127	43	29	21	23	12	24	21	45	22	19	18	19	13	7	9	11	14	11	3	8	8	8	11	5	3	4	6	5	7	5	6	6	0	1	4	10	8	1	1	2	2	4	2	1	0	1	0	1	0	2	1	0	0	1	1	0	0	0	2	1	4	0	3	1	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south36_active	80	5034	965	329	2460	1346	541	324	169	793	198	77	479	261	220	600	73	204	54	37	435	18	42	51	28	64	31	39	46	16	12	117	9	9	5	6	1	11	6	37	15	12	3	6	11	1	6	3	3	6	3	6	3	2	4	1	0	1	4	2	1	2	6	6	0	1	0	8	6	1	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	3	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	7464	2472	1528	2891	1798	922	575	462	972	377	289	519	341	282	657	120	244	119	98	443	71	91	93	58	86	66	81	62	35	38	129	37	29	25	22	12	26	20	51	21	16	16	16	15	9	11	9	10	10	8	8	8	8	9	2	4	5	9	5	7	5	6	14	0	2	5	7	5	0	4	0	2	6	4	0	1	2	0	4	0	3	2	1	0	1	0	0	1	0	2	1	3	0	3	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south37_active	80	5094	997	321	2485	1460	583	298	152	835	202	86	421	255	195	607	63	194	48	32	407	19	44	60	33	63	38	39	33	17	12	121	9	10	12	9	2	10	4	44	15	13	1	7	10	2	8	4	3	6	5	7	2	2	2	0	2	0	7	0	1	2	6	13	0	1	0	5	4	0	4	0	1	1	2	0	0	0	0	1	0	2	1	0	0	1	0	0	1	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south38_all	80	7569	2446	1525	2973	1754	912	544	444	942	371	263	557	339	268	650	119	243	120	110	371	76	87	94	55	74	63	89	67	45	33	142	34	36	27	16	14	23	20	52	14	21	20	10	16	10	12	6	9	10	14	7	5	7	10	4	9	5	6	3	5	8	9	16	1	4	2	6	1	1	3	0	1	4	4	1	1	2	0	5	0	2	2	1	0	1	0	0	1	1	1	1	3	0	3	0	0	0	0	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south38_active	80	5194	983	313	2559	1411	580	263	154	804	205	82	468	254	183	600	57	199	47	36	345	24	49	66	34	54	37	48	35	20	10	137	7	15	10	7	4	12	5	46	6	17	2	5	10	3	8	1	2	7	8	6	1	0	4	1	3	1	4	0	1	3	9	14	0	2	0	5	1	0	3	0	1	1	3	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south39_all	80	7511	2429	1498	2973	1784	901	580	413	857	377	252	613	343	296	802	135	271	120	95	359	75	81	101	63	76	65	94	64	48	41	177	37	36	37	16	18	21	25	46	14	27	15	10	15	10	15	10	11	13	19	10	4	6	8	4	12	5	8	3	2	6	8	22	2	6	2	9	3	2	4	0	1	4	4	1	1	3	0	5	0	2	3	1	0	1	0	1	1	1	1	3	7	0	1	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south39_active	80	5249	988	316	2578	1433	577	297	152	712	210	70	527	255	210	747	60	224	43	31	330	22	46	73	43	56	37	59	35	20	12	170	7	17	12	7	6	10	3	39	7	22	3	7	7	3	8	1	3	10	12	10	0	1	3	1	4	2	5	0	1	3	7	19	0	3	0	8	3	0	4	0	0	1	3	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	2	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south40_all	80	7339	2434	1490	2974	1730	929	609	429	844	369	260	638	337	315	841	150	288	113	95	357	90	67	96	74	98	69	104	56	42	40	152	35	27	36	19	18	20	26	43	14	24	11	14	11	10	12	11	9	15	14	17	8	6	7	3	11	5	3	3	3	8	15	20	3	5	3	7	5	3	1	0	3	3	2	1	2	4	0	2	1	1	1	0	0	1	0	1	0	1	0	2	5	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	5078	959	326	2591	1391	603	311	165	683	206	67	550	242	221	782	71	239	43	25	321	30	36	69	49	72	37	73	33	16	17	144	6	14	7	4	5	12	4	36	9	18	3	9	6	4	4	2	3	11	8	16	3	2	3	1	3	3	1	1	3	4	14	18	1	3	0	7	4	0	1	0	1	1	1	0	0	2	0	1	1	1	0	0	0	1	0	0	0	1	0	2	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
