label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141
0.03	north1_all	80	5404	4142	2007	1251	851	695	1072	501	500	341	943	315	222	812	208	173	208	100	110	98	218	304	71	100	137	216	136	47	51	68	33	57	33	23	21	61	24	41	22	15	20	30	16	15	19	11	12	43	19	10	8	20	8	3	7	11	3	29	8	8	4	7	4	8	2	8	2	3	3	4	1	1	1	0	1	2	2	1	4	1	5	0	0	2	2	3	1	0	0	1	0	0	0	2	1	0	1	0	0	0	1	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2295	3082	1276	566	233	263	890	253	317	116	851	206	58	753	98	53	145	22	33	41	178	269	22	58	120	198	114	31	31	48	7	37	10	5	4	46	5	33	9	4	5	27	8	11	5	3	4	36	13	6	3	18	1	1	2	9	2	24	6	4	3	4	2	2	1	8	1	0	1	4	0	1	0	0	0	1	0	0	3	1	2	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5451	4180	1958	1258	842	687	1111	510	492	344	908	319	231	866	202	158	214	109	118	104	225	299	70	98	157	211	154	54	71	63	29	50	40	27	21	77	29	37	19	15	18	40	16	18	16	11	13	48	17	9	6	18	13	4	7	10	5	23	7	8	2	6	4	7	3	2	5	2	1	4	0	2	3	0	1	2	4	0	9	3	4	0	0	2	2	1	1	0	0	1	0	0	0	3	1	2	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2343	3172	1223	588	241	283	913	268	295	121	823	212	53	814	96	45	147	29	35	35	181	266	22	61	140	193	136	36	48	41	5	32	13	8	6	63	7	32	9	3	4	36	5	15	5	6	6	42	12	6	3	16	4	1	3	9	1	20	6	5	2	4	3	2	1	1	2	0	0	4	0	1	1	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5404	3834	1930	1266	818	654	1035	515	485	348	796	318	219	794	178	159	193	121	125	110	201	289	63	81	137	192	176	67	75	45	29	43	36	25	26	54	28	35	15	12	25	58	14	16	14	9	17	35	8	10	4	11	15	6	8	7	7	15	7	7	2	6	2	6	4	2	5	1	0	4	1	2	3	2	1	2	3	0	8	3	2	2	0	1	1	2	1	0	0	1	0	0	0	3	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2208	2798	1146	581	231	262	813	265	284	111	718	219	54	745	75	43	116	29	29	30	167	259	18	46	121	179	153	39	49	32	3	26	9	8	8	43	6	32	7	3	5	47	4	12	5	5	7	30	3	5	2	10	7	0	2	5	4	12	3	5	2	4	2	2	2	1	3	0	0	4	1	1	2	2	0	0	0	0	8	1	0	2	0	0	0	2	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5394	3694	1942	1230	792	642	1047	519	471	349	767	318	197	671	177	157	193	124	124	102	181	253	67	74	135	163	170	66	73	51	38	37	34	29	29	53	26	33	12	16	26	64	13	20	14	9	14	20	11	10	1	4	11	6	9	6	8	14	3	4	1	4	1	3	2	2	5	1	2	0	1	2	3	2	0	1	3	0	9	2	0	2	2	1	0	4	0	0	0	1	2	0	0	3	4	3	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2095	2616	1110	522	216	236	797	245	259	106	684	210	52	619	73	40	116	33	26	20	146	225	19	42	118	148	141	35	46	38	5	22	13	7	7	43	4	28	4	4	6	53	4	17	4	6	6	18	7	4	0	3	6	0	2	4	4	12	0	4	1	4	1	1	1	1	3	0	0	0	1	1	2	2	0	0	0	0	9	0	0	2	2	0	0	2	0	0	0	1	2	0	0	2	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5293	3516	1980	1221	845	609	977	536	484	336	650	331	196	625	171	149	179	120	124	104	178	222	59	68	119	141	135	73	67	40	36	40	33	28	28	39	20	29	14	17	31	53	12	20	14	11	16	21	13	11	6	6	8	6	7	6	7	5	4	6	3	4	3	3	1	5	3	3	3	1	1	2	4	3	1	2	3	1	2	0	0	2	2	1	0	4	0	0	0	0	2	0	1	1	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1926	2394	1101	510	201	178	730	235	267	106	564	200	47	561	71	37	109	28	30	22	144	196	14	38	103	124	102	31	46	30	3	27	14	4	5	31	3	20	2	4	7	44	3	15	4	5	6	19	11	5	2	3	6	2	2	4	5	4	1	6	3	4	2	1	1	4	3	0	0	0	1	1	1	2	1	0	0	0	2	0	0	2	2	0	0	2	0	0	0	0	2	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
