label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123
0.03	north1_all	80	3066	1090	819	723	441	313	377	315	258	185	265	144	170	134	199	76	68	65	140	74	37	36	55	21	27	40	23	32	49	25	20	48	36	15	16	12	12	8	6	28	18	2	8	1	11	7	18	6	6	7	6	1	6	0	2	7	3	3	2	2	1	3	7	2	2	2	2	1	7	0	3	1	3	2	2	0	1	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1603	482	411	387	218	147	210	174	139	100	179	82	99	65	125	34	32	25	96	42	15	18	40	11	11	26	12	15	23	12	6	33	18	3	14	8	7	4	2	19	11	1	6	1	10	4	13	2	2	6	4	0	4	0	1	7	1	1	1	0	0	3	1	0	0	2	1	1	6	0	3	0	3	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3138	1073	838	767	450	334	396	345	286	169	259	149	171	120	220	72	86	71	147	79	48	40	48	29	26	35	26	34	53	22	16	58	25	16	14	13	15	11	4	24	20	1	7	5	10	6	18	11	10	7	9	1	6	1	2	8	4	2	1	2	1	2	6	2	3	0	3	0	7	0	4	0	1	2	2	2	2	0	5	1	0	0	0	0	1	0	0	0	0	4	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1683	466	415	422	219	141	240	208	156	90	163	78	90	48	140	32	43	34	99	47	22	18	31	18	16	24	12	15	27	10	7	41	12	3	11	6	8	4	1	17	10	0	6	4	8	2	14	2	3	6	5	0	5	1	1	8	1	0	0	1	0	2	1	0	0	0	1	0	6	0	4	0	1	1	0	2	2	0	5	1	0	0	0	0	1	0	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3272	1114	822	814	448	324	415	352	283	170	277	139	214	124	213	65	83	72	137	80	45	36	62	35	33	37	28	30	66	23	17	65	29	16	22	19	18	12	5	24	18	7	8	8	10	6	21	15	8	5	8	1	4	3	4	8	5	3	2	4	1	2	6	2	2	1	2	0	3	0	4	0	0	4	2	2	2	0	4	1	0	2	0	0	1	0	0	0	0	3	1	0	1	2	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1779	479	406	449	218	137	239	214	144	89	184	70	112	52	130	29	48	38	90	47	23	14	36	18	21	26	12	14	37	11	9	46	13	6	16	8	12	5	2	17	13	6	5	4	8	2	16	6	2	3	5	0	4	1	2	5	1	1	1	2	0	2	2	0	0	1	1	0	3	0	4	0	0	3	0	2	2	0	4	1	0	1	0	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3363	1113	868	853	412	315	461	368	269	165	281	149	231	130	211	70	90	81	166	81	48	36	86	40	35	25	30	21	51	23	20	61	27	26	24	19	16	11	10	24	19	9	9	10	8	10	23	13	10	3	11	0	4	3	5	4	5	2	4	4	1	3	2	0	5	3	1	0	1	0	3	1	0	4	1	3	4	0	4	2	0	2	0	0	1	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	1872	480	440	475	203	142	279	240	137	83	176	74	135	60	123	30	46	44	111	51	24	12	60	21	22	14	13	8	36	13	12	40	16	11	17	7	10	5	4	16	14	7	3	6	5	2	16	7	4	2	8	0	4	1	2	1	1	1	1	2	0	3	2	0	1	1	0	0	1	0	3	1	0	3	0	3	4	0	4	2	0	1	0	0	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3472	1129	855	860	413	307	438	361	298	168	287	149	218	124	202	71	86	69	168	88	41	36	90	43	29	39	31	20	50	22	21	46	26	32	23	24	11	8	10	32	20	13	7	9	6	8	15	9	5	2	8	0	1	4	8	8	9	2	4	4	4	2	6	0	3	3	2	1	2	0	1	4	0	3	0	2	4	1	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	1988	510	431	494	196	139	252	233	164	78	185	76	133	66	123	29	44	37	108	62	16	12	59	21	17	22	17	11	32	14	9	31	17	16	16	9	7	5	3	23	14	10	1	4	4	2	9	9	4	1	6	0	1	1	2	5	3	1	1	2	3	2	5	0	1	1	2	1	2	0	1	4	0	2	0	2	4	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3529	1142	831	862	416	290	430	367	305	177	269	166	210	144	221	82	98	63	169	77	42	33	89	30	29	39	42	26	46	27	19	42	28	27	28	25	8	11	10	28	15	13	7	7	7	8	15	8	5	2	9	0	1	3	9	10	7	3	3	2	4	3	8	0	4	2	2	1	2	0	2	4	1	2	1	3	3	1	0	2	0	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
