label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101
0.03	north1_all	80	7024	8120	4679	1683	1105	794	798	561	401	648	843	256	460	198	211	341	114	96	82	94	91	72	51	67	118	49	51	28	26	26	21	32	33	16	28	36	17	4	6	8	8	28	24	6	5	6	4	2	5	2	2	3	1	2	3	1	6	0	2	0	2	2	2	2	1	0	6	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2869	7032	4009	1027	604	382	481	266	122	500	755	68	389	99	150	286	28	34	32	51	46	26	18	47	100	27	44	19	5	12	5	24	26	8	23	32	10	0	2	2	1	25	19	2	2	5	2	0	2	0	0	2	1	0	2	0	4	0	2	0	2	0	0	1	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6906	7642	4516	1680	1097	776	715	575	395	604	791	274	442	174	212	321	113	97	85	93	81	67	52	74	87	47	66	38	20	31	20	41	27	15	27	30	17	5	9	9	12	26	21	7	6	7	5	3	6	2	2	4	1	2	1	1	6	1	2	0	8	2	2	3	1	0	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	2716	6537	3818	994	590	363	409	252	114	455	686	69	373	71	146	274	34	35	27	46	41	25	19	49	70	21	53	30	5	16	5	32	21	9	23	28	11	0	2	3	2	23	17	1	2	5	1	0	2	0	0	2	1	0	0	0	4	1	2	0	8	0	1	1	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6844	6997	4297	1611	1079	800	678	576	415	569	756	268	413	181	221	280	119	104	86	94	78	69	50	71	97	43	56	34	24	33	21	45	26	17	21	34	17	4	9	5	12	17	12	9	4	9	3	5	7	3	2	4	3	3	1	0	3	1	1	0	8	0	2	3	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	2577	5856	3552	921	542	365	389	259	116	425	656	64	338	68	147	233	38	24	32	48	37	23	18	45	79	19	46	27	6	18	9	36	20	10	14	29	9	0	2	2	1	11	9	1	1	5	1	0	3	1	0	2	2	0	1	0	1	1	0	0	8	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6814	6538	4031	1559	1112	789	648	541	405	530	640	251	414	185	213	269	117	106	85	88	63	57	54	67	87	50	55	44	27	34	23	42	27	18	19	27	18	7	8	3	9	15	9	7	6	7	3	5	5	3	1	2	3	2	2	0	3	1	1	0	7	0	1	2	1	0	0	3	1	0	1	0	0	0	1	4	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2479	5395	3277	859	536	347	351	226	113	387	529	61	338	74	137	225	30	26	29	42	21	20	21	40	72	17	46	38	5	17	8	32	17	10	12	21	13	0	2	1	1	11	7	0	1	2	1	0	2	1	0	0	2	0	2	0	1	1	0	0	7	0	1	1	0	0	0	3	1	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6810	6358	3897	1489	1040	777	670	539	413	501	592	233	405	188	209	242	118	101	79	88	67	63	54	49	88	52	60	43	31	37	28	27	31	28	16	25	23	5	9	4	7	17	6	6	7	6	2	6	3	5	3	6	3	3	2	0	2	0	2	1	1	0	2	2	1	0	0	3	0	1	1	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2368	5206	3119	802	461	336	336	220	109	363	486	57	326	79	134	196	28	24	26	41	25	24	22	25	73	17	49	35	4	22	9	16	17	18	9	19	14	0	3	0	2	13	5	0	1	1	1	0	2	2	0	4	1	0	2	0	1	0	0	1	1	0	1	1	0	0	0	3	0	1	1	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
