label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101
0.03	north14_all	80	8946	3646	2389	1069	818	1244	534	388	738	314	235	283	208	166	148	128	102	145	203	123	79	117	65	40	34	25	33	43	43	40	16	26	27	15	11	10	10	7	10	3	5	15	16	6	5	8	3	1	6	1	5	1	1	2	1	2	5	3	1	3	4	1	4	1	1	0	0	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	5325	2065	1388	497	413	778	261	199	487	161	108	174	115	98	69	64	50	85	145	71	43	81	35	16	15	15	17	27	23	24	4	20	21	11	5	2	3	5	5	1	1	7	9	2	3	7	1	0	3	1	3	0	0	1	1	1	3	3	1	2	3	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	8706	3521	2264	1096	810	1185	506	409	678	304	239	278	189	161	133	125	99	141	165	112	74	95	59	35	34	33	38	43	48	40	17	29	15	19	5	10	15	9	9	5	4	15	13	7	3	8	2	0	7	1	5	2	1	2	1	2	6	3	1	0	4	4	3	1	1	1	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	5126	1944	1276	491	399	718	240	203	441	145	113	174	107	95	64	60	45	82	115	68	40	55	29	14	12	17	20	26	29	21	4	16	9	11	2	3	7	6	3	0	1	8	8	1	1	7	1	0	3	1	3	0	0	1	1	1	3	3	1	0	3	3	3	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	8606	3465	2259	1079	808	1168	510	406	680	284	252	312	169	149	120	116	91	142	158	115	68	123	45	30	39	39	31	46	43	46	18	39	28	22	4	8	15	6	16	6	3	12	14	8	4	8	3	1	9	1	3	2	1	1	1	1	4	2	1	0	3	3	1	2	2	1	0	0	0	1	2	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	5029	1952	1259	496	394	709	229	199	449	136	122	174	102	87	54	55	41	73	108	66	41	79	23	13	19	15	15	30	29	27	5	23	19	13	3	1	6	5	9	0	0	9	9	2	2	5	1	0	4	1	1	1	0	1	1	1	1	2	1	0	1	3	1	0	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	8845	3572	2375	1072	829	1195	483	427	656	289	247	336	184	170	115	122	99	143	148	127	65	125	39	33	36	47	21	53	31	52	14	32	36	21	6	13	15	8	13	6	6	13	18	9	3	3	4	2	5	1	3	2	4	1	1	0	3	0	2	0	1	3	2	1	3	1	1	3	0	0	2	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	5185	2042	1310	497	400	758	202	198	439	147	114	190	98	92	46	57	51	80	98	70	34	68	16	18	20	17	11	35	18	32	6	18	23	12	5	6	6	5	7	0	3	10	14	3	2	1	2	0	1	1	1	1	2	1	1	0	1	0	1	0	0	3	2	0	2	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_all	80	9262	3783	2560	1066	884	1227	465	425	693	296	258	335	196	180	122	125	106	143	146	139	57	134	38	36	43	41	29	58	27	52	13	32	49	20	9	13	14	5	15	5	7	9	14	8	3	6	7	2	12	1	2	2	6	1	1	1	4	0	1	0	2	2	2	2	3	0	1	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north18_active	80	5495	2240	1454	483	433	793	193	191	449	156	120	192	99	94	50	62	60	85	91	71	30	84	14	21	22	17	12	42	15	30	6	22	34	12	6	9	8	2	8	0	3	6	12	3	2	3	2	0	10	1	1	2	4	1	1	0	1	0	0	0	1	1	2	0	2	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north19_all	80	9549	3918	2665	1065	892	1259	491	431	745	319	249	334	204	194	135	133	104	150	164	155	56	129	36	53	37	37	26	58	21	43	12	17	49	19	11	17	11	5	16	5	6	9	18	7	3	4	6	5	11	1	2	1	8	5	1	1	2	1	1	0	2	3	1	2	2	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	5683	2336	1534	483	451	796	218	192	487	183	122	191	102	101	58	64	56	97	95	89	25	76	14	31	18	14	9	37	7	27	6	9	35	12	7	13	6	1	7	2	3	7	15	3	2	3	2	1	10	0	0	1	6	5	1	0	1	0	0	0	1	1	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	9514	3951	2634	1047	892	1261	472	429	758	335	238	302	194	190	135	139	107	143	189	147	58	108	41	56	45	32	27	50	20	37	15	23	56	18	11	15	11	8	17	4	5	8	11	5	1	4	8	4	12	1	2	2	6	5	1	3	2	2	3	0	1	3	2	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	5715	2338	1542	459	442	808	221	194	501	188	116	169	99	102	57	79	47	84	107	93	24	60	18	31	18	12	10	34	4	23	7	14	42	9	5	10	7	2	9	2	3	5	9	4	0	3	2	2	11	0	0	1	5	5	1	1	1	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	7324	4707	3589	1217	1761	1307	1301	485	327	451	565	224	174	127	129	153	166	202	117	233	65	47	131	68	30	91	33	19	28	31	17	37	8	15	10	15	38	14	11	10	6	4	7	2	8	7	2	4	1	2	1	0	1	2	0	3	0	5	4	4	1	1	4	2	1	1	1	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	4067	2944	2271	628	1129	819	851	250	162	271	381	108	83	56	59	82	107	126	75	140	31	22	82	35	16	58	20	10	10	20	9	24	4	6	5	12	29	9	8	4	3	3	4	1	6	2	2	2	1	0	1	0	1	2	0	3	0	4	1	4	1	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	7340	4612	3637	1237	1758	1278	1207	461	314	471	547	221	174	144	124	149	176	206	117	205	66	49	119	56	28	76	30	17	32	26	15	38	10	13	10	12	38	14	16	8	7	7	7	2	8	6	2	5	4	3	2	0	1	2	1	6	0	4	2	2	0	2	4	3	3	2	1	1	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south22_active	80	4100	2857	2281	637	1118	800	804	231	151	268	365	100	85	66	59	86	108	118	71	124	32	23	80	24	13	47	16	8	12	15	6	22	4	6	5	10	28	11	11	4	3	6	2	1	6	1	1	2	3	0	1	0	1	2	0	4	0	4	0	2	0	1	1	1	1	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	7434	4667	3707	1276	1726	1305	1171	486	300	453	491	227	169	142	121	152	156	190	92	189	57	58	134	52	30	81	42	22	34	34	13	35	13	18	11	16	23	14	21	10	8	5	9	4	10	13	4	4	4	4	2	2	0	4	1	5	0	2	3	2	0	2	1	2	2	2	1	1	0	0	0	0	2	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	south23_active	80	4162	2909	2338	664	1100	849	811	260	140	259	311	105	84	62	56	91	92	113	54	126	31	22	89	23	15	54	22	12	11	21	8	22	4	9	6	10	17	10	14	6	3	5	2	3	8	6	2	2	3	2	1	2	0	4	0	3	0	2	1	2	0	1	1	1	0	0	0	1	0	0	0	0	2	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south24_all	80	7442	4584	3637	1299	1687	1268	1310	500	294	454	557	215	171	140	129	149	150	201	94	164	68	52	138	53	36	89	44	30	34	46	16	43	15	21	12	13	23	12	21	9	15	4	6	6	8	11	4	5	4	3	2	5	0	2	1	7	1	2	2	3	0	2	1	2	3	2	0	1	0	2	0	0	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	south24_active	80	4158	2816	2331	672	1046	810	899	268	135	254	372	99	85	63	64	89	83	120	50	105	37	20	88	26	17	61	23	19	13	26	10	31	7	14	4	7	14	9	13	5	7	4	1	3	5	6	2	2	3	2	1	3	0	2	0	3	1	1	1	2	0	2	1	2	0	0	0	1	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south25_all	80	7507	4588	3541	1282	1645	1183	1361	506	295	446	564	217	184	144	125	148	149	167	97	152	64	60	124	59	41	85	45	35	29	47	19	37	16	23	16	15	27	6	15	12	17	2	4	11	7	12	6	4	4	4	2	5	1	2	0	3	1	3	1	2	1	2	4	2	1	3	0	0	0	2	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south25_active	80	4161	2829	2256	660	1020	746	921	286	139	277	366	102	91	62	70	85	84	99	56	108	28	25	74	33	20	57	24	24	11	27	12	25	8	18	6	9	18	2	8	5	10	1	0	7	5	6	4	3	3	2	2	3	0	2	0	0	1	2	1	1	0	1	4	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south26_all	80	7505	4474	3404	1363	1605	1144	1367	488	324	434	570	198	186	158	116	153	143	158	108	159	74	50	137	51	39	74	46	32	31	46	25	45	16	19	15	12	38	10	17	9	16	4	5	12	7	5	5	3	4	4	1	5	1	2	0	3	1	4	1	2	1	2	3	1	1	1	0	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south26_active	80	4115	2726	2095	694	984	720	916	264	155	267	365	90	88	71	71	90	76	102	66	110	36	21	99	26	18	47	29	21	12	26	15	31	7	14	5	7	17	4	8	3	10	2	0	7	5	1	4	2	3	2	1	3	0	1	0	0	1	2	1	1	0	1	3	1	0	1	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south27_all	80	7435	4488	3368	1303	1629	1181	1346	467	337	418	586	190	199	155	124	146	143	174	114	163	60	50	116	63	37	64	45	29	29	29	24	53	15	12	14	12	39	13	18	11	11	6	5	12	5	3	8	2	3	3	7	4	2	3	1	2	0	4	1	0	3	2	6	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	4070	2781	2050	673	1009	719	909	265	157	243	365	77	89	70	72	84	84	113	75	109	29	26	77	32	18	47	26	16	12	17	15	35	7	6	5	8	12	8	11	4	7	3	2	7	2	1	6	1	2	1	7	3	0	1	1	1	0	3	0	0	1	1	6	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	7418	4510	3422	1287	1652	1219	1310	467	333	416	586	196	198	153	123	149	146	192	119	204	69	45	102	64	42	64	46	27	22	34	18	54	12	11	20	19	34	13	20	13	11	8	7	4	12	1	5	0	1	3	6	3	2	3	1	2	0	7	2	0	2	2	5	0	1	1	4	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
