label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	1532	970	429	400	419	321	115	90	178	127	57	67	95	42	42	32	20	25	27	16	19	13	9	4	19	1	17	6	10	3	2	10	16	1	0	1	0	1	0	5	1	1	0	1	0	0	3	0	0	0	8	0	1	0	0	1	0	0	0	1	0	0	1	0
0.03	north1_active	80	744	558	219	227	258	194	50	41	119	85	30	37	60	17	25	14	7	18	23	5	11	7	4	3	11	0	11	2	2	2	0	7	15	1	0	0	0	0	0	5	1	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north2_all	80	1548	933	415	356	464	321	129	91	166	102	52	62	92	42	34	28	23	21	22	21	15	15	7	5	14	2	19	7	9	1	3	5	12	2	0	1	0	1	1	2	2	1	0	0	1	0	6	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
0.03	north2_active	80	732	520	210	202	320	189	55	42	108	67	26	33	65	19	20	13	11	14	20	9	9	8	4	3	6	0	12	4	2	1	0	3	12	2	0	0	0	0	1	2	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	1555	909	434	375	469	307	132	87	148	116	63	59	88	43	35	26	26	16	34	15	13	18	12	6	17	2	24	7	5	0	3	3	13	2	0	0	0	1	1	0	2	2	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	740	524	227	214	299	184	62	40	102	81	36	32	62	23	21	18	12	10	25	9	6	12	5	4	10	0	10	4	1	0	0	2	13	2	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	1553	876	446	380	507	283	142	84	128	113	66	56	81	46	39	35	24	18	44	14	11	22	9	8	9	4	27	6	4	1	2	4	6	1	0	0	1	1	2	0	1	1	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	770	502	216	215	298	182	75	37	78	76	40	30	59	22	27	22	11	12	32	8	6	17	3	6	4	2	15	4	1	0	0	4	6	1	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1504	887	437	414	511	293	142	85	114	128	61	47	79	45	44	36	25	14	49	11	14	20	9	5	16	3	17	3	5	1	1	2	4	1	0	1	3	0	2	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	752	524	212	240	304	191	82	37	62	87	37	28	58	26	31	24	11	7	34	3	9	17	2	3	14	2	7	3	2	0	0	2	4	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
