label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188
0.03	north1_all	80	3841	3945	2088	1192	909	1344	1231	412	480	309	758	368	534	541	230	145	166	286	264	126	119	189	174	109	122	150	71	120	72	132	106	44	76	55	43	80	63	51	88	23	38	56	38	22	58	18	21	24	12	28	9	31	12	20	21	10	20	10	10	36	12	33	11	18	22	14	9	14	7	5	3	8	11	4	10	4	18	10	5	14	2	6	1	4	0	1	2	1	1	1	2	1	7	0	4	4	2	2	2	3	1	2	2	1	1	1	0	1	2	0	3	1	1	0	2	1	3	1	2	4	1	0	0	1	0	1	0	0	1	2	1	4	2	0	0	0	0	1	2	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	1703	2463	1211	655	492	871	830	188	250	152	479	229	344	388	122	64	90	181	157	56	73	107	123	62	64	91	32	73	40	91	75	27	48	28	23	51	30	25	53	11	25	37	21	9	39	14	11	14	8	13	2	21	3	16	12	5	13	6	5	23	10	29	3	15	16	9	4	11	2	1	3	5	5	4	7	2	13	8	5	11	1	2	1	4	0	1	1	0	0	0	1	1	5	0	3	3	1	2	2	2	0	2	0	0	0	0	0	1	1	0	2	1	0	0	1	1	3	0	2	3	1	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	3811	3945	2065	1248	913	1326	1179	430	491	310	802	340	488	496	231	140	174	295	266	120	111	167	178	101	120	158	65	117	64	149	96	39	64	49	40	103	58	51	77	23	35	59	38	21	63	22	20	21	14	20	8	25	14	26	20	12	21	9	8	37	14	32	9	16	21	7	8	22	8	5	2	6	12	4	8	5	7	11	4	16	2	5	2	4	0	0	1	1	2	0	2	0	6	0	0	2	2	3	1	2	0	2	2	1	1	1	1	0	2	0	2	0	1	0	1	1	1	1	10	3	1	0	0	1	1	1	0	0	0	2	0	1	2	0	0	0	1	1	1	0	0	1	2	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north2_active	80	1720	2433	1201	678	483	877	762	195	267	147	529	206	299	340	129	61	93	178	170	54	58	97	117	62	72	93	29	64	36	91	59	20	40	28	17	72	31	26	52	13	26	35	20	8	45	15	10	11	8	8	2	15	6	23	12	6	13	3	4	22	11	29	1	12	14	3	5	13	2	2	2	4	7	4	5	3	4	7	3	11	1	3	2	4	0	0	0	0	0	0	1	0	5	0	0	2	1	3	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	10	2	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north3_all	80	3883	3840	2004	1201	894	1213	1151	404	471	300	782	341	496	478	207	142	163	243	266	126	96	155	171	83	123	153	57	109	67	139	96	42	61	45	39	97	59	46	76	24	32	57	28	22	46	23	23	17	14	30	12	26	15	24	24	11	16	10	6	30	13	24	8	15	15	7	6	18	6	4	3	8	14	4	5	5	4	11	4	7	3	4	1	3	2	0	1	1	3	0	0	1	3	3	1	2	2	4	2	2	1	1	2	0	1	0	2	0	1	0	1	0	1	0	1	1	1	1	8	1	0	1	2	1	1	1	0	0	0	2	0	1	2	1	0	0	1	1	1	0	0	1	2	0	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north3_active	80	1769	2333	1163	660	470	771	740	186	268	141	505	202	307	315	112	55	90	142	163	61	50	81	121	51	78	93	25	63	35	72	55	23	35	26	16	64	31	23	44	12	22	29	10	7	35	13	10	8	8	14	7	16	8	22	19	5	7	4	2	25	10	20	0	12	7	3	2	8	2	2	3	5	8	4	3	3	0	6	2	3	2	3	1	3	1	0	0	0	0	0	0	1	2	3	1	2	1	4	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	8	0	0	1	2	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north4_all	80	3925	3711	1958	1194	870	1164	1105	412	448	286	757	337	420	465	225	140	152	229	238	139	94	121	176	89	105	129	59	116	72	132	69	42	53	54	35	88	57	44	68	34	31	53	29	24	39	20	27	16	14	34	11	24	17	15	21	10	12	9	8	21	10	24	3	15	7	7	6	17	7	6	5	9	16	4	4	2	5	7	4	6	2	2	2	3	3	1	1	0	2	0	0	1	2	4	1	3	1	2	1	2	1	1	3	0	1	0	2	0	1	0	0	1	2	2	0	0	1	1	8	0	0	1	2	0	2	0	0	0	0	1	0	1	1	1	0	1	2	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	1809	2256	1127	656	462	729	688	182	239	134	500	189	268	281	118	60	83	122	145	68	52	52	124	55	64	80	28	76	36	67	31	21	25	24	19	57	31	24	41	18	23	32	13	11	29	11	13	8	9	16	5	16	7	9	14	5	3	4	6	14	6	21	1	12	3	4	2	9	2	3	3	5	11	3	3	1	2	1	1	1	2	1	2	3	1	1	0	0	0	0	0	1	2	3	1	3	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	1	2	1	0	0	0	0	8	0	0	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	4048	3449	1895	1124	839	1084	1116	400	410	307	664	327	400	448	217	140	147	228	225	143	98	129	161	99	103	119	54	121	80	125	68	49	55	54	34	80	63	39	65	29	32	43	25	24	27	24	32	19	15	40	16	20	18	22	24	9	14	9	15	16	10	19	10	13	8	9	5	14	6	5	7	7	13	5	5	4	7	5	3	6	4	1	1	3	3	2	3	1	3	1	0	1	1	6	1	2	2	4	2	1	2	1	2	0	1	0	1	2	1	0	1	1	4	2	1	0	0	0	2	0	1	1	2	1	2	0	0	0	0	1	0	0	0	1	1	1	2	1	2	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1886	2070	1077	611	439	693	708	171	215	148	428	189	260	266	114	61	78	133	136	68	57	59	110	55	68	70	24	70	41	66	38	19	26	22	20	47	37	25	40	16	22	26	10	11	11	14	16	11	9	25	7	12	8	13	17	3	8	6	9	14	4	16	6	12	4	4	1	8	3	2	4	4	9	4	2	1	4	2	1	3	4	1	1	2	1	1	1	0	2	0	0	1	1	3	1	2	1	2	1	0	1	0	1	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
