label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192
0.03	north1_all	80	7292	2123	4033	1573	947	1008	703	1228	417	711	294	558	275	402	315	454	175	380	140	225	253	83	163	99	88	74	96	124	141	71	47	54	58	75	54	69	120	55	34	74	27	33	32	31	45	35	34	19	41	21	36	15	30	12	14	10	12	16	9	13	13	21	6	12	13	5	17	5	9	23	10	14	10	5	6	7	3	7	4	12	1	5	9	3	8	5	2	2	5	1	2	2	2	3	0	3	2	3	1	4	2	0	4	5	2	1	8	0	1	0	0	1	0	1	2	1	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4317	978	2723	916	484	600	374	833	198	443	119	329	139	234	202	308	89	260	55	141	167	44	89	48	42	36	57	84	95	36	25	23	34	43	29	42	80	34	20	60	13	17	13	16	26	20	23	11	22	11	24	5	16	6	5	6	3	10	3	7	5	15	4	4	8	3	12	1	2	13	3	7	10	4	4	6	2	2	1	10	1	1	0	2	5	2	2	2	2	1	1	0	1	3	0	2	1	2	0	4	1	0	1	2	0	0	7	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7346	2175	3939	1546	963	1025	688	1271	421	689	273	548	273	401	329	465	185	359	145	230	228	87	156	99	91	67	109	113	156	67	47	43	60	74	51	80	123	69	41	77	24	31	36	34	42	30	30	20	39	18	44	18	29	12	16	16	8	20	8	23	9	22	8	10	11	4	11	7	7	16	8	15	10	5	6	7	2	6	5	11	4	5	7	3	6	3	1	4	4	3	4	2	1	4	0	3	0	4	1	4	3	2	5	7	3	0	6	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4235	979	2586	890	480	624	361	855	211	420	114	326	143	236	211	313	99	219	65	147	137	45	95	48	44	34	70	74	108	36	19	15	36	44	23	45	75	44	23	54	12	16	20	15	21	14	15	10	23	8	34	7	17	6	12	7	4	11	2	12	6	15	5	3	7	3	10	4	2	10	3	8	10	4	4	6	1	1	2	9	2	1	0	3	5	1	0	3	2	3	2	0	1	4	0	2	0	3	0	3	1	2	1	2	0	0	5	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7321	2173	3969	1611	974	1029	665	1376	418	638	264	548	272	397	314	479	190	388	144	238	246	95	155	105	94	73	109	113	152	76	51	43	63	62	51	80	127	69	39	82	30	33	35	44	39	31	23	25	42	21	63	25	41	14	14	17	10	25	6	22	12	20	12	8	11	6	15	11	5	15	8	15	5	3	4	8	3	6	4	13	8	6	1	4	7	0	1	4	2	3	4	3	1	6	2	1	1	5	0	3	2	2	7	7	4	0	6	2	1	1	0	1	0	1	0	1	0	0	1	0	0	0	2	3	0	0	1	0	0	0	1	1	3	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4242	967	2586	927	471	623	345	926	216	369	119	331	149	246	190	302	104	243	68	145	149	48	86	52	55	34	75	79	103	40	19	21	38	37	25	48	76	42	22	54	18	22	24	20	23	16	10	14	21	8	52	13	27	10	11	5	6	14	2	10	8	12	6	3	6	4	12	7	3	10	2	9	3	1	1	5	2	1	2	11	5	2	0	3	6	0	0	3	1	2	2	0	0	6	2	0	0	4	0	2	0	2	3	2	0	0	5	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7306	2158	3927	1534	958	1059	702	1393	409	641	280	556	267	402	281	483	188	409	148	279	236	99	153	96	99	84	120	107	137	79	63	51	62	68	57	87	106	68	32	96	25	33	36	39	44	28	23	28	38	22	67	24	36	15	20	18	13	20	6	31	15	14	14	4	7	10	21	13	3	12	4	14	17	5	5	7	3	4	5	8	12	7	3	6	5	1	1	4	3	3	6	2	4	7	2	0	2	5	2	7	2	2	7	3	5	0	0	3	1	2	0	1	0	2	1	1	0	1	0	0	0	1	0	3	1	0	1	0	0	0	1	1	3	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4229	955	2596	880	459	629	388	938	197	390	143	354	142	262	168	317	99	260	70	176	143	49	90	49	54	40	74	68	84	35	24	21	37	40	31	49	59	40	16	64	15	20	25	21	27	13	9	17	21	7	52	11	22	9	15	4	7	14	1	17	11	10	7	2	5	6	16	8	3	8	0	5	8	4	3	3	2	0	2	6	8	3	2	4	3	1	0	3	2	2	3	0	1	7	2	0	0	5	2	5	0	2	3	1	3	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7307	2151	3956	1531	962	1043	706	1371	411	608	304	592	262	389	276	506	170	450	153	278	245	96	136	92	96	83	122	122	142	86	64	64	62	69	51	72	103	59	33	94	36	39	30	38	59	27	16	26	35	32	49	23	34	14	24	18	15	20	7	33	15	14	12	4	6	11	30	13	4	12	4	17	18	6	5	4	5	3	3	10	13	5	11	6	3	1	1	4	4	1	4	2	5	4	4	0	2	4	2	7	0	1	5	3	6	0	0	2	1	1	0	1	1	2	1	1	0	2	0	0	0	1	0	3	2	0	0	4	0	0	1	0	1	0	0	1	2	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4281	969	2654	872	472	603	385	923	208	368	148	376	135	258	162	345	87	291	81	177	157	44	79	47	50	42	67	76	84	30	25	27	37	31	30	44	64	32	18	64	19	30	16	17	37	14	7	17	21	13	33	11	21	9	12	6	8	15	2	20	10	12	5	2	4	7	25	6	4	8	1	7	5	4	2	1	3	0	1	7	11	5	9	4	2	1	0	4	2	0	2	0	2	4	4	0	0	4	2	5	0	0	2	1	4	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	2	1	0	0	4	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
