label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122
0.03	north1_all	80	11218	5825	3483	1694	1418	2484	727	665	449	416	334	449	429	532	221	424	274	156	240	129	133	109	175	85	92	88	95	67	58	130	57	40	29	25	38	76	39	22	22	36	20	37	24	16	25	12	49	9	5	7	10	8	48	13	5	2	16	3	3	6	1	12	2	1	2	2	8	1	4	3	3	11	0	2	1	2	0	0	7	1	2	0	0	2	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8266	4540	2627	956	873	2223	285	354	107	104	136	323	291	453	130	366	205	94	185	42	72	25	149	23	55	70	65	41	25	120	43	18	13	17	25	69	21	7	17	27	5	25	15	8	21	10	43	1	1	5	8	7	46	12	4	0	13	1	0	3	0	9	1	0	0	1	6	0	1	1	1	11	0	2	1	2	0	0	6	1	2	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11202	5844	3421	1702	1462	2404	695	682	477	416	348	460	415	571	209	414	254	142	227	121	134	97	173	79	84	79	100	63	42	121	58	47	36	26	43	79	24	17	27	23	19	36	23	21	16	17	42	8	11	9	10	8	52	12	6	5	16	5	4	7	1	7	2	0	1	2	3	0	5	3	3	17	0	1	1	0	2	1	1	1	2	1	0	2	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	8234	4524	2577	956	888	2140	272	360	109	98	137	326	288	489	120	363	192	81	186	40	69	26	149	16	49	58	70	39	19	112	47	20	16	18	26	72	10	3	21	20	5	25	14	11	14	15	38	2	4	4	7	6	50	11	4	2	13	2	0	4	0	3	1	0	0	1	2	0	1	1	1	17	0	1	1	0	0	0	0	1	2	1	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11115	5857	3458	1674	1421	2560	702	652	494	391	361	450	392	607	228	448	274	151	233	122	127	83	189	75	84	86	94	65	35	127	66	51	42	25	30	65	24	13	24	37	25	48	19	18	10	17	44	5	11	10	10	8	28	2	5	8	11	5	4	4	1	4	0	0	4	1	2	0	2	2	1	19	0	3	0	0	2	1	4	1	3	2	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8125	4568	2592	945	845	2280	272	339	121	100	133	320	274	515	123	387	208	81	180	37	55	21	162	14	46	61	69	41	16	110	51	24	21	15	16	58	12	3	18	31	14	37	13	11	10	14	42	2	4	5	9	4	27	2	3	3	9	2	0	2	1	2	0	0	1	0	1	0	0	1	1	19	0	1	0	0	0	0	3	1	2	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11060	5896	3453	1693	1383	2564	723	629	487	393	373	435	376	610	241	494	237	162	265	118	129	79	199	62	95	71	88	68	39	164	61	44	47	38	29	65	30	10	24	41	27	43	15	16	15	31	45	4	9	6	13	8	15	3	3	7	8	6	5	3	1	4	0	1	6	0	0	2	1	1	2	9	1	2	1	0	2	1	3	0	1	3	0	3	1	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8089	4579	2604	952	788	2289	301	327	112	114	124	297	261	526	137	424	181	90	206	33	56	21	176	11	50	48	61	41	18	147	42	16	24	22	13	60	16	2	15	31	17	39	11	8	14	27	42	2	4	2	10	1	12	3	1	4	6	3	0	2	1	3	0	0	1	0	0	1	0	1	1	9	0	0	1	0	0	0	3	0	0	2	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11101	5850	3549	1680	1380	2549	759	648	486	402	390	428	386	595	250	484	237	174	263	120	125	78	212	59	110	76	92	52	38	184	74	40	42	44	26	73	45	10	24	56	28	51	15	11	24	33	35	4	8	7	14	11	15	2	4	8	8	6	5	6	2	3	1	2	7	2	1	2	0	0	1	7	1	2	1	0	3	1	6	0	1	2	0	3	1	0	1	1	1	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8067	4586	2652	949	806	2283	316	335	113	112	125	283	271	500	142	419	170	97	202	27	63	20	194	13	66	53	61	33	17	166	51	14	21	26	13	67	33	2	14	41	19	49	12	9	22	28	32	2	2	2	11	3	11	2	1	4	6	3	0	6	1	2	0	0	2	0	0	1	0	0	0	7	0	0	1	0	1	0	5	0	0	1	0	3	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	11160	5866	3435	1704	1389	2631	722	671	484	398	371	446	401	582	260	463	239	188	255	122	131	81	225	67	110	65	86	52	42	174	67	40	41	42	35	72	44	14	23	47	20	41	11	9	28	33	41	7	8	11	13	11	15	2	5	5	7	7	4	4	3	3	1	3	7	3	2	3	0	0	2	2	1	1	1	1	2	0	3	0	0	1	0	2	2	0	1	1	1	2	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north6_active	80	8145	4571	2564	980	822	2347	300	352	120	102	129	300	285	491	146	403	175	104	214	28	73	26	205	16	69	44	57	29	13	161	52	11	18	25	19	65	34	5	15	33	8	39	10	6	25	28	37	2	2	5	10	3	11	2	3	3	6	3	0	4	0	2	0	1	3	0	0	1	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north7_all	80	11297	6095	3516	1744	1404	2654	724	685	476	409	355	460	418	587	240	427	269	201	264	133	136	94	243	64	109	66	85	52	45	164	78	36	35	38	43	83	35	18	30	43	16	50	21	9	31	29	30	9	12	11	12	9	13	9	8	4	3	7	2	6	3	4	1	5	5	4	3	1	1	0	3	2	0	1	2	1	2	0	4	0	1	0	0	0	1	1	0	1	0	2	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
