label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96
0.03	north1_all	80	26973	15715	7415	5184	5214	3424	3049	2999	4664	2040	2244	868	1178	927	803	413	379	520	315	688	194	192	286	327	147	126	102	82	85	62	70	50	73	46	49	32	28	72	19	58	36	71	26	15	17	12	8	6	8	10	4	5	6	3	2	2	6	3	0	1	2	4	0	2	0	2	0	1	1	2	1	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	5654	9273	1583	1139	3443	1793	1948	2199	4264	1520	1893	338	863	697	577	83	98	372	160	598	53	36	231	288	109	52	24	16	22	24	30	24	64	13	40	10	9	63	10	52	28	71	21	12	9	9	2	1	1	2	3	0	4	1	2	0	2	0	0	1	1	3	0	1	0	2	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26945	15719	7521	5135	5199	3355	3122	2960	4535	2123	2205	842	1203	899	848	416	381	505	338	860	201	187	280	290	157	119	88	79	87	70	75	56	121	40	44	33	28	87	17	47	31	64	19	16	19	15	10	7	8	7	3	5	6	3	4	3	5	2	4	1	3	4	0	4	0	2	0	0	4	3	1	1	2	0	2	1	2	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
0.03	north2_active	80	5767	9257	1636	1152	3469	1738	1996	2152	4145	1587	1868	331	904	666	626	103	92	377	176	765	57	35	226	260	111	51	17	19	23	28	39	29	111	11	29	16	6	81	9	40	26	62	15	11	6	9	3	2	2	1	2	0	3	1	2	1	2	0	4	1	1	2	0	3	0	2	0	0	4	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26896	15745	7540	5169	5162	3409	3086	3030	4393	2108	2196	830	1203	969	877	412	370	516	321	888	202	187	287	244	160	104	84	74	84	73	75	63	122	37	38	32	28	91	17	27	26	65	23	11	11	12	11	6	6	8	7	4	4	2	5	2	4	2	4	1	3	2	0	3	0	2	0	0	4	4	7	1	4	1	4	1	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
0.03	north3_active	80	5758	9298	1653	1144	3378	1755	1961	2235	4012	1572	1833	315	914	734	635	98	90	387	170	812	53	34	221	210	103	52	21	17	20	36	40	35	111	14	27	13	7	87	10	21	20	62	17	7	4	8	2	2	3	1	7	0	3	1	2	1	3	1	4	1	1	0	0	3	0	2	0	0	4	1	7	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	26777	15758	7381	5014	5271	3342	3057	2988	4305	2024	2216	800	1197	1017	903	396	357	461	320	880	217	186	310	221	182	124	80	73	75	65	59	63	143	35	41	41	31	112	19	37	20	75	23	8	19	16	15	3	6	5	6	3	3	2	5	2	1	5	4	2	2	2	2	3	0	0	0	1	4	4	6	1	4	2	2	1	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north4_active	80	5687	9309	1638	1117	3499	1673	1941	2195	3923	1539	1874	317	908	776	679	94	78	355	179	806	61	35	244	183	117	69	24	16	21	32	34	43	130	19	27	14	7	107	10	31	16	69	19	1	5	12	2	2	3	1	6	0	2	0	1	1	1	2	4	2	0	0	2	3	0	0	0	1	4	1	6	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	26877	15560	7449	5028	5290	3442	3015	3011	4167	1867	2203	800	1217	1018	850	393	376	435	313	791	205	180	257	274	184	116	88	70	72	75	66	56	103	36	34	35	36	115	19	39	25	95	32	10	16	12	16	4	6	8	14	7	2	2	6	2	1	5	3	3	2	2	2	1	1	0	0	2	0	3	6	0	2	2	2	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5572	9132	1637	1135	3459	1736	1899	2228	3779	1373	1840	328	912	767	633	85	82	331	177	724	57	40	200	226	117	57	29	15	18	32	31	33	92	18	24	7	10	108	8	36	20	86	25	5	6	10	2	2	5	2	14	1	1	0	1	2	1	2	3	3	0	1	2	1	1	0	0	1	0	0	6	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	26991	15633	7423	4998	5297	3375	3111	2946	4265	1885	2259	851	1184	964	814	398	370	480	307	672	199	183	280	296	175	122	99	72	70	77	67	61	109	39	27	38	29	97	14	42	37	96	27	14	19	12	13	4	3	8	9	5	2	4	4	2	1	3	0	3	2	2	2	1	1	0	0	2	0	2	6	0	2	2	2	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	5577	9173	1606	1125	3478	1689	2007	2173	3859	1386	1896	363	875	732	612	72	92	365	168	611	58	48	230	245	105	62	30	17	19	31	35	36	97	17	17	8	8	90	5	30	32	86	21	9	6	10	2	0	2	2	9	1	1	1	1	1	1	1	0	3	0	1	2	1	1	0	0	1	0	0	6	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	27014	15447	7444	5052	5207	3341	3141	2988	4468	1900	2354	848	1200	966	712	387	362	478	350	638	199	164	261	341	162	104	104	81	77	91	73	50	102	49	31	30	27	125	15	45	30	60	24	15	20	23	9	5	4	8	12	7	4	4	5	3	1	0	1	1	2	2	3	1	3	1	0	3	0	2	0	0	1	1	2	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	5570	9087	1624	1138	3402	1695	2045	2258	4058	1393	2017	370	878	736	533	70	95	352	206	575	57	39	203	286	87	51	27	22	22	35	38	22	92	16	18	5	8	117	4	29	27	52	19	13	8	18	2	0	2	2	12	1	2	1	1	1	1	0	0	1	0	1	3	1	3	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	26947	15539	7448	5104	5140	3238	3203	2961	4672	1989	2402	867	1217	1050	751	410	343	472	348	616	205	147	259	324	130	117	116	83	74	78	68	48	105	49	34	22	24	117	16	36	27	33	23	14	17	26	11	6	3	11	6	4	4	6	1	2	2	0	3	0	1	2	1	1	3	1	0	1	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	5613	9201	1584	1166	3405	1646	2116	2224	4239	1463	2043	355	899	802	573	69	99	344	193	557	56	32	198	277	69	64	34	20	24	34	37	25	98	13	20	5	4	108	6	20	24	28	20	13	8	21	5	1	1	3	6	0	2	2	0	0	2	0	1	0	0	1	1	1	3	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	26803	15904	7378	5155	5190	3221	3136	2933	4830	1875	2432	890	1290	1058	835	432	354	476	355	599	209	154	256	330	128	122	127	90	72	73	62	42	100	54	42	32	20	103	19	56	27	30	15	25	15	27	9	6	6	8	9	5	4	7	3	3	2	1	3	3	1	1	3	1	2	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
0.03	north9_active	80	5644	9463	1574	1187	3433	1652	2032	2209	4394	1404	2095	361	960	808	647	77	100	348	194	537	67	28	196	289	61	65	39	22	21	33	34	24	86	20	29	4	6	96	7	35	23	25	14	23	7	21	4	1	0	1	9	1	1	3	1	1	2	0	1	0	0	0	3	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
0.03	north10_all	80	27003	15964	7336	5166	5236	3258	3088	2948	4836	1855	2329	902	1268	976	885	433	368	436	332	589	208	148	259	315	136	136	119	89	64	58	59	36	115	49	51	29	24	55	23	51	25	34	23	26	14	13	10	3	9	7	8	5	9	10	4	3	3	2	3	5	1	0	8	1	0	1	5	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
0.03	north10_active	80	5706	9438	1563	1213	3458	1661	1994	2177	4407	1368	1980	373	951	743	684	83	106	316	163	526	75	23	198	276	79	67	41	21	22	26	31	22	100	23	33	4	10	48	7	35	21	29	19	23	8	8	4	1	2	3	8	2	7	4	1	2	1	0	1	0	0	0	8	0	0	1	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
0.03	north11_all	80	27075	15778	7343	4983	5196	3436	3139	2859	4754	2008	2323	870	1163	989	880	430	402	466	298	691	237	172	265	324	158	105	93	69	72	60	70	52	109	40	39	24	23	108	25	32	52	39	42	9	9	25	8	7	5	4	6	5	6	1	2	3	3	4	0	4	3	1	1	1	4	0	1	0	0	0	1	2	0	0	2	1	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	5688	9289	1593	1136	3433	1800	2047	2127	4364	1486	1957	350	888	741	656	90	111	310	148	625	74	35	199	264	99	55	35	11	18	24	40	32	101	15	23	6	8	102	4	26	42	36	36	7	6	22	4	2	1	2	5	1	4	1	0	3	1	2	0	0	1	1	1	1	4	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	27185	15878	7423	5000	5291	3350	3182	2961	4638	2003	2324	869	1149	1000	879	387	388	493	285	766	222	174	254	350	158	117	92	83	73	75	68	53	99	43	38	23	17	115	28	14	46	36	40	11	9	17	7	9	3	5	4	5	8	2	2	3	4	3	1	5	2	2	1	1	2	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	5767	9484	1601	1136	3453	1761	2105	2229	4264	1524	1974	326	860	735	632	84	104	337	131	698	68	37	194	293	110	53	36	17	21	27	34	35	91	15	18	7	6	107	5	10	36	33	36	9	7	13	2	1	1	1	3	1	5	2	0	3	3	1	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	27176	15745	7388	5029	5182	3282	3056	3010	4358	1972	2232	867	1155	1065	833	403	385	485	285	785	210	182	225	352	137	116	98	95	80	83	67	62	111	41	32	29	20	112	31	24	42	61	34	17	9	11	11	8	1	5	2	4	8	3	5	3	2	3	3	3	2	2	2	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	5762	9393	1628	1111	3336	1675	2029	2261	3985	1496	1882	316	850	786	600	83	100	349	139	732	60	35	169	292	92	59	36	20	25	32	33	42	100	17	19	11	6	107	8	16	33	59	33	15	7	9	2	0	1	1	2	1	6	2	0	3	2	1	2	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
