label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96
0.03	north1_all	80	26092	29320	10702	5978	3984	2691	3296	1471	1860	1240	832	718	1214	500	860	489	334	544	584	554	336	241	187	157	160	123	150	144	72	83	113	100	75	43	37	30	25	44	29	15	20	21	23	7	10	15	13	13	14	5	9	2	7	10	4	1	4	1	3	5	4	3	1	0	2	1	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12721	18814	6245	3216	2080	1310	2000	674	1065	633	381	316	689	211	549	246	148	326	369	396	222	129	104	87	93	66	89	80	41	39	77	55	40	24	19	17	15	31	11	6	9	7	13	6	4	9	8	10	11	1	5	0	5	7	3	0	2	1	0	3	3	2	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	26012	28888	10657	6079	3970	2653	3205	1457	1884	1242	883	714	1122	508	863	518	328	553	571	568	370	249	224	174	158	125	156	139	67	77	107	82	83	47	29	34	25	51	23	17	23	18	23	9	14	16	14	8	11	2	10	2	3	12	3	0	4	0	4	6	6	3	0	0	1	0	2	3	0	0	0	0	2	1	1	1	2	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	12783	18420	6228	3229	2077	1274	1925	677	1074	644	406	320	639	219	550	278	150	360	358	386	241	139	129	93	92	63	100	72	44	29	64	41	40	26	13	17	15	33	9	10	9	6	14	5	7	5	12	7	11	1	4	0	1	7	2	0	3	0	2	2	5	2	0	0	0	0	1	2	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	26029	28346	10570	5988	3923	2699	3160	1502	1808	1264	851	704	1113	508	904	529	325	543	544	600	381	216	223	176	173	119	172	138	94	70	103	100	85	39	30	31	21	36	20	17	22	21	36	10	13	19	13	15	12	2	10	1	3	9	1	2	4	0	4	5	5	5	1	0	1	0	3	2	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12817	18109	6196	3163	2068	1303	1842	687	1010	648	382	322	634	229	582	284	152	342	368	426	248	125	129	103	109	60	117	75	53	30	51	55	46	25	12	11	7	22	11	10	9	7	30	2	6	11	11	12	12	1	5	0	0	3	0	0	4	0	2	2	4	2	0	0	0	0	2	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	25889	28396	10624	6009	3956	2690	3137	1558	1781	1291	851	713	1156	508	894	592	318	515	552	550	396	218	217	172	192	122	183	116	87	60	97	104	74	34	34	24	18	24	18	21	17	19	35	13	13	17	11	12	8	2	7	3	6	6	1	4	4	1	3	4	3	4	2	0	0	0	2	2	0	0	0	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	12715	18051	6262	3157	2108	1320	1803	725	983	667	379	332	667	235	552	337	159	332	364	364	258	115	125	103	131	63	129	73	46	24	53	56	35	18	15	9	4	9	10	8	6	6	32	4	6	11	10	10	8	1	4	2	3	0	0	1	3	0	2	2	2	2	1	0	0	0	1	1	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	25594	27881	10390	5869	3955	2632	3225	1596	1790	1290	828	743	1121	530	840	565	312	489	532	570	367	214	200	168	190	118	171	100	102	64	115	103	75	39	32	27	15	26	17	19	25	15	32	11	15	13	5	10	10	5	8	3	9	3	3	4	3	2	2	1	2	3	4	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north5_active	80	12409	17697	5999	3107	2064	1286	1857	715	966	655	366	345	650	235	510	312	152	287	336	396	246	108	107	104	124	71	122	64	48	28	67	56	37	22	14	8	2	8	8	5	9	5	27	2	9	12	3	8	8	2	6	2	3	0	2	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
