label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	8284	5608	4348	1939	1831	872	513	229	157	172	77	58	61	24	23	36	12	6	5	10	10	4	4	1	1	2	2	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	3520	4324	3742	1515	1605	680	380	91	49	120	24	18	42	15	16	29	3	4	1	6	7	2	3	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8148	5638	4361	1849	1833	888	516	230	153	156	78	55	57	26	30	33	14	5	5	12	6	3	2	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3427	4257	3759	1453	1615	689	392	107	51	103	24	17	40	12	19	26	4	3	1	11	4	2	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8186	5616	4382	1811	1755	832	492	235	155	154	74	48	63	21	30	34	18	5	2	12	4	2	3	4	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3455	4212	3769	1409	1537	638	376	108	50	109	27	15	44	8	22	25	3	3	0	9	2	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8144	5644	4402	1809	1757	877	505	223	156	149	76	48	69	23	32	28	21	4	3	11	0	2	2	4	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	3441	4254	3825	1399	1538	668	401	103	53	108	24	14	54	10	22	17	6	2	0	9	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	8313	5657	4424	1777	1713	874	493	225	156	141	67	52	75	31	30	21	21	13	3	12	0	3	2	5	2	1	2	0	2	1	0	0	0	0	1	0	0	0	0	1
0.03	north5_active	80	3526	4281	3853	1352	1500	658	386	99	56	101	17	18	58	14	18	13	7	8	0	9	0	2	1	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1
