label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	6857	5448	3250	954	2785	437	508	220	149	96	120	54	43	30	44	16	13	30	16	11	3	11	4	3	1	2	0	1	0	1	0	1	0	1	1	0	0	0	0	0
0.03	north1_active	80	2111	4284	2653	413	2618	178	397	110	39	32	74	15	16	15	31	6	9	27	14	10	0	11	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	6915	5438	3145	966	2760	411	505	230	134	99	113	47	48	20	54	18	12	22	23	10	3	10	5	6	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0
0.03	north2_active	80	2174	4261	2554	418	2568	167	396	112	38	32	73	14	21	10	39	5	8	19	20	8	1	10	2	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	7028	5525	3215	1008	2807	435	507	244	129	94	113	43	39	22	46	18	12	20	24	12	3	2	4	4	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north3_active	80	2181	4326	2619	434	2590	180	398	121	41	25	77	16	19	13	35	6	6	18	20	10	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7124	5529	3170	968	2696	436	500	240	127	97	101	40	33	18	36	16	12	20	20	11	5	2	2	4	0	2	2	0	1	0	0	1	0	0	1	0	0	0	0	1
0.03	north4_active	80	2260	4340	2574	416	2482	177	399	122	30	29	73	13	18	11	25	4	7	19	17	9	2	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	7097	5409	3201	956	2717	427	498	252	137	97	102	46	32	19	38	19	14	22	17	12	5	3	1	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1
0.03	north5_active	80	2220	4232	2606	425	2520	168	395	145	30	29	69	12	18	12	29	8	6	21	14	10	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	7091	5306	3189	951	2689	418	497	252	135	105	109	51	39	27	39	17	14	27	33	14	7	3	0	2	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	1
0.03	north6_active	80	2147	4138	2636	420	2515	159	390	152	26	28	68	12	17	16	29	8	7	26	30	10	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	7058	5340	3181	932	2689	413	500	253	132	97	118	52	40	30	51	14	14	29	30	9	7	7	2	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_active	80	2118	4135	2632	404	2519	165	387	155	29	25	74	13	18	18	38	5	8	27	28	5	1	7	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_all	80	7132	5382	3219	980	2576	405	514	252	128	96	119	59	41	33	40	11	16	31	31	17	7	10	3	3	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	2166	4166	2679	437	2401	173	406	152	34	24	69	17	19	18	29	3	9	28	28	13	1	10	1	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7067	5328	3246	986	2604	393	512	238	131	93	107	53	40	31	40	11	14	23	19	15	8	8	3	1	0	2	2	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	2151	4125	2687	453	2414	159	400	146	29	26	65	15	23	16	28	4	8	20	17	12	2	7	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7084	5352	3286	995	2666	394	503	214	135	93	102	55	35	23	33	15	16	18	9	13	5	8	2	1	1	2	1	2	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	2182	4141	2702	461	2490	176	388	130	30	27	69	16	19	10	22	5	4	14	7	11	1	7	0	1	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7126	5365	3408	940	2693	424	506	234	124	101	86	51	37	24	41	13	20	31	13	7	5	4	1	9	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	2224	4189	2764	411	2478	170	391	127	35	32	50	16	17	13	25	4	12	24	13	5	2	3	1	8	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	7038	5481	3278	970	2670	392	519	199	129	97	75	58	38	25	35	13	16	16	26	10	6	3	4	5	3	0	1	1	1	1	2	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	2174	4289	2692	408	2452	158	397	112	32	35	47	18	19	12	21	3	10	14	23	7	3	2	3	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	7075	5415	3266	919	2739	422	498	196	119	101	94	57	43	23	36	11	18	20	22	11	6	4	4	4	3	0	2	1	1	1	2	0	0	0	0	1	0	0	0	0
0.03	north13_active	80	2201	4221	2665	381	2526	191	384	115	30	42	52	20	22	12	23	1	9	16	18	9	3	3	3	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	7056	5413	3231	954	2732	401	513	202	142	89	99	62	43	24	32	12	12	20	26	9	4	6	4	2	3	1	2	0	2	1	2	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	2217	4180	2668	403	2528	190	397	124	39	30	55	23	17	12	22	3	5	12	21	8	2	5	2	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7140	5336	3276	950	2887	422	505	214	130	90	102	59	47	25	29	14	11	25	27	7	3	9	2	0	3	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2241	4153	2683	403	2715	194	401	116	43	30	54	26	19	13	20	2	4	17	25	6	2	8	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7249	5565	3232	950	2842	398	494	223	136	96	97	61	39	27	38	16	11	20	24	7	2	8	1	8	4	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	2272	4381	2625	402	2669	189	388	116	44	31	62	24	11	16	31	3	5	13	23	6	0	8	0	8	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	7207	5530	3112	933	2877	379	540	215	129	101	96	59	44	26	46	22	12	20	24	13	2	7	0	8	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	2280	4382	2492	396	2709	170	424	109	38	31	66	20	16	14	34	5	5	14	23	12	0	6	0	8	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_all	80	7160	5459	3238	961	2845	395	514	229	121	106	100	57	40	25	49	16	7	17	23	9	3	4	2	9	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_active	80	2260	4359	2592	388	2657	176	395	130	34	29	73	14	15	9	34	3	3	14	22	9	1	2	1	9	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_all	80	7101	5394	3222	995	2853	379	524	242	106	93	103	56	41	30	44	21	10	17	31	10	4	5	2	8	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	2242	4286	2561	429	2652	153	390	144	27	22	71	14	21	12	26	6	5	12	30	8	2	3	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7028	5276	3302	1018	2751	410	514	242	115	99	95	46	44	27	36	18	7	13	34	8	4	6	3	3	1	0	1	0	1	1	5	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	2157	4145	2669	432	2548	159	383	135	39	25	64	15	23	13	22	7	5	11	32	3	3	4	2	2	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	7443	5457	4060	910	618	399	288	197	643	92	62	80	56	19	25	29	16	9	11	18	6	5	7	6	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0
0.03	south21_active	80	3161	4298	3475	262	195	96	161	79	599	24	12	51	37	5	21	19	7	3	9	15	4	2	4	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	south22_all	80	7435	5447	4237	894	600	396	312	193	696	100	56	81	59	27	26	27	13	10	13	22	7	3	6	6	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	3277	4292	3699	270	196	91	178	78	653	24	7	58	39	5	22	15	5	5	10	19	5	2	3	4	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	7546	5387	4103	894	602	378	318	195	657	98	63	74	59	22	33	27	11	9	12	17	8	4	3	7	3	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	3303	4243	3569	258	199	93	181	83	619	24	6	50	46	3	25	16	3	5	10	15	6	2	2	5	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_all	80	7528	5350	4161	885	591	404	348	180	640	94	66	78	69	24	37	17	8	9	14	9	7	4	3	5	3	4	1	1	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	3243	4161	3648	256	212	94	198	80	599	20	11	55	50	5	29	8	1	4	11	8	7	2	3	4	1	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south25_all	80	7487	5558	4211	868	589	418	356	187	669	85	73	74	74	22	40	19	10	10	13	8	7	4	3	8	3	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
0.03	south25_active	80	3171	4352	3680	254	222	96	202	83	633	16	17	45	53	5	31	12	1	1	11	7	7	2	3	6	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0
0.03	south26_all	80	7442	5686	4252	889	578	414	352	179	614	77	83	66	63	23	33	25	6	10	9	5	7	5	9	6	3	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	3137	4502	3693	282	221	92	208	85	568	13	21	41	42	7	28	17	1	0	6	4	6	1	9	5	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_all	80	7416	5708	4284	914	573	417	316	185	644	81	85	65	54	27	38	24	4	8	6	4	6	5	9	7	2	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0
0.03	south27_active	80	3131	4524	3729	307	213	95	199	85	589	12	18	46	35	8	30	14	0	2	5	3	5	2	9	6	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0
0.03	south28_all	80	7409	5535	4181	926	565	413	325	177	604	90	101	72	45	31	45	21	4	4	6	4	5	4	11	3	3	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0
0.03	south28_active	80	3123	4355	3631	295	212	99	204	89	558	13	21	53	29	8	38	11	1	2	5	3	4	1	11	3	2	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0
0.03	south29_all	80	7276	5125	3827	900	565	413	316	171	563	95	95	59	41	29	38	17	8	6	8	6	3	4	3	2	2	1	3	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south29_active	80	2900	3913	3230	262	195	95	184	72	507	15	18	46	27	6	29	6	3	3	6	4	3	1	3	2	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south30_all	80	7200	4637	3313	908	559	401	307	172	470	101	78	59	46	30	35	15	10	7	8	5	2	3	2	2	3	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south30_active	80	2686	3387	2692	238	179	103	159	66	411	19	15	41	31	6	27	5	4	2	6	3	2	1	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south31_all	80	7270	4879	3650	841	578	397	332	200	554	84	69	79	54	27	19	13	16	13	12	4	4	2	4	2	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	2959	3697	3093	244	196	106	173	94	515	22	16	47	32	11	13	9	5	7	7	3	1	1	3	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	7280	4514	3430	869	562	396	340	207	460	91	70	65	54	29	20	16	11	14	9	7	4	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
