label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35
0.03	north1_all	80	3961	2508	1165	389	348	454	376	75	119	95	94	43	32	8	10	6	5	3	1	2	4	14	0	0	1	0	0	0	1	0	1	0	0	0	0	2
0.03	north1_active	80	2065	1542	709	177	188	317	240	36	77	56	64	18	19	6	6	3	3	2	1	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north2_all	80	3950	2476	1133	391	359	478	368	77	130	107	93	46	28	8	15	5	4	5	0	2	3	13	0	2	2	0	1	0	1	0	1	0	0	0	0	2
0.03	north2_active	80	2044	1528	687	178	189	332	234	31	86	68	64	26	14	5	12	2	2	4	0	1	3	10	0	0	1	0	0	0	0	0	0	0	0	0	0	2
0.03	north3_all	80	3948	2461	1144	413	318	520	372	77	120	105	100	45	24	8	10	6	4	4	0	2	2	8	0	2	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	2078	1513	690	181	158	361	254	34	70	62	68	32	11	4	9	1	2	4	0	2	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3897	2400	1095	397	309	507	348	84	94	94	75	41	25	9	7	8	7	4	1	3	3	6	0	2	1	0	2	0	1	0	0	1	0	0	0	0
0.03	north4_active	80	2035	1470	640	183	162	329	240	35	52	52	48	27	11	6	7	2	3	4	1	2	2	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	3745	2257	1038	389	307	461	328	82	97	72	60	41	28	10	5	7	9	3	2	4	4	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	1962	1351	582	180	154	298	228	33	56	39	43	26	17	6	4	2	4	3	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	3616	2207	972	388	298	429	260	90	95	61	56	29	26	17	5	4	7	2	2	4	8	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	1844	1283	553	183	156	269	164	38	59	34	36	17	13	9	2	1	2	2	1	0	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	3564	2151	959	407	294	386	286	85	105	57	58	39	27	16	7	5	8	7	2	4	8	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0
