label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113
0.03	north1_all	80	51824	29706	18014	6602	3633	2977	2573	1790	1971	2230	1678	880	847	695	1296	1114	521	889	586	301	284	248	239	204	252	254	131	227	97	185	151	73	85	61	68	42	62	40	51	37	29	28	23	17	24	18	19	20	6	18	12	22	20	5	8	10	18	9	2	1	10	6	1	7	3	3	1	3	3	2	6	0	0	0	0	4	4	0	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	43243	26195	15748	4035	893	1062	1328	530	1291	1762	1264	285	448	264	1115	950	335	780	450	132	83	137	128	104	188	211	57	188	35	152	126	20	55	16	50	9	23	19	40	22	6	5	12	4	13	12	14	17	4	14	11	17	14	2	2	1	17	4	2	0	9	3	0	6	0	2	0	2	1	2	6	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	50927	29813	17916	6381	3637	2946	2576	1803	1974	2165	1605	867	893	668	1371	1117	553	902	584	311	277	253	238	214	241	217	122	234	93	173	139	67	63	57	66	43	62	41	44	29	22	39	24	22	25	26	19	21	10	25	14	20	17	7	8	8	16	3	4	1	5	8	1	8	1	5	3	3	1	5	8	0	0	0	0	6	1	3	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	42392	26250	15654	3920	863	1012	1315	525	1302	1685	1207	301	484	260	1187	963	336	796	440	138	80	142	122	111	174	175	52	200	37	135	115	19	43	8	46	7	22	18	37	12	3	12	16	7	12	13	16	17	3	20	13	16	14	5	1	1	16	1	2	0	4	5	0	6	0	3	0	1	0	5	7	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	49130	28566	16582	6299	3614	2851	2493	1806	1977	2106	1533	881	865	681	1277	1061	517	871	563	311	279	262	234	207	196	218	113	242	85	155	116	83	56	55	68	43	59	45	42	38	17	32	21	22	24	27	15	19	14	35	14	15	17	9	6	7	15	4	3	3	0	7	1	8	1	4	3	2	4	5	4	0	4	6	0	6	1	3	1	2	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	40287	24946	14274	3767	828	919	1211	493	1265	1640	1132	309	435	245	1077	920	298	742	411	141	78	152	96	99	137	178	48	205	35	116	88	25	36	12	46	9	20	16	32	14	4	12	11	9	11	13	9	16	3	27	14	13	13	3	1	1	15	3	1	1	0	7	0	6	0	2	0	1	0	4	2	0	2	6	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	46725	26733	16067	5978	3604	2843	2472	1829	1917	1962	1486	887	874	694	1216	1016	520	826	502	322	260	244	211	178	206	209	100	230	86	141	95	90	58	59	59	42	51	51	41	38	21	27	24	21	25	21	17	6	18	24	15	12	14	10	4	5	1	10	3	7	0	7	1	2	2	5	2	2	3	5	3	0	4	6	0	3	1	4	1	1	0	3	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	37602	23108	13680	3462	790	892	1138	489	1212	1478	1033	300	398	233	1018	865	278	692	331	135	66	128	75	75	135	165	33	190	30	105	72	24	36	17	38	7	20	18	32	13	6	11	12	8	10	9	9	1	3	18	14	11	11	3	1	1	0	10	0	6	0	6	0	0	0	2	0	1	0	4	1	0	2	6	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	45915	26830	15829	6027	3543	2881	2387	1844	1962	1993	1576	913	850	676	1130	1053	472	792	504	319	244	247	203	187	197	212	118	257	109	131	121	88	59	64	55	52	45	49	48	35	24	31	23	18	20	13	22	18	19	23	19	23	20	11	1	7	6	13	3	10	4	5	5	2	3	7	1	2	5	2	1	0	4	6	0	1	1	2	1	1	0	2	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	36744	23143	13408	3455	754	944	1101	495	1232	1468	1114	288	381	219	919	897	254	652	340	125	56	126	73	85	128	161	41	218	41	97	92	21	33	17	36	11	16	17	34	11	10	8	8	7	7	8	14	10	1	16	17	21	15	5	1	3	5	12	1	9	0	3	2	0	0	5	0	0	0	1	0	0	2	6	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	47384	28223	16740	6128	3567	2894	2485	1871	1980	2097	1687	912	874	640	1213	1108	498	780	471	303	248	223	195	185	218	188	128	259	106	156	128	95	89	57	59	43	38	44	46	34	33	26	22	18	18	23	21	17	17	27	12	32	20	8	0	7	6	17	7	10	5	5	8	4	3	6	0	1	2	1	3	1	4	0	1	0	2	2	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	38280	24616	14351	3645	802	999	1199	535	1310	1567	1199	290	398	238	1013	943	278	642	330	119	63	111	85	86	151	139	57	219	38	113	100	21	46	14	43	8	13	17	32	13	12	7	9	7	5	17	16	9	3	21	10	29	15	5	0	2	5	16	5	10	1	3	5	1	0	5	0	0	0	1	2	0	2	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	49304	29724	17874	6284	3522	2947	2474	1863	2051	2299	1792	905	887	635	1245	1191	514	890	454	304	255	246	202	199	214	234	128	260	117	172	135	83	83	61	58	43	44	42	59	25	31	27	26	20	21	33	22	20	13	28	11	37	36	9	4	7	6	17	9	7	5	3	9	3	2	7	6	1	3	1	4	1	1	0	1	0	4	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	40495	26132	15588	3908	827	1051	1228	559	1397	1783	1303	297	430	242	1066	1022	299	760	339	120	72	125	104	105	148	181	54	223	41	127	111	18	46	15	41	9	14	20	32	13	8	10	14	8	9	25	15	13	3	24	10	32	29	5	2	2	5	16	7	7	1	2	6	1	0	6	6	0	0	1	3	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	51092	30203	18210	6358	3616	2952	2576	1805	2085	2308	1860	891	880	644	1283	1187	530	877	441	298	247	254	210	180	243	251	130	241	108	190	137	85	102	54	68	36	44	50	52	37	31	33	25	25	20	37	24	15	11	34	9	38	28	8	6	7	3	17	9	4	2	3	8	3	0	2	6	1	2	1	4	2	2	0	2	0	5	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_active	80	42449	26638	16005	3971	856	1039	1336	567	1420	1818	1377	303	472	255	1097	1043	312	752	336	135	78	145	114	90	177	198	58	206	42	150	113	19	67	13	46	6	14	30	26	25	6	15	11	8	12	28	16	12	3	26	8	33	24	4	3	2	3	17	7	4	1	3	6	1	0	2	6	1	0	1	3	0	1	0	1	0	5	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_all	80	51723	30302	18100	6429	3586	2927	2589	1765	2076	2394	1806	889	840	666	1263	1187	533	925	436	297	252	247	223	156	259	312	130	274	91	162	128	76	102	66	67	44	43	46	44	40	29	31	30	26	21	24	27	14	11	31	21	23	36	6	10	8	6	15	13	3	4	4	5	1	2	2	8	1	1	1	2	2	2	0	2	0	3	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	43260	26759	15912	3963	853	1047	1373	534	1370	1903	1356	307	439	267	1074	1037	314	780	320	135	75	142	119	80	181	259	52	243	33	128	101	17	61	23	40	8	17	32	21	27	5	11	14	8	11	19	12	11	1	24	20	20	32	1	7	1	4	15	10	3	3	3	4	0	0	2	8	1	0	1	1	0	1	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_all	80	52497	30220	17766	6421	3686	2887	2576	1768	2142	2245	1785	870	823	659	1295	1179	556	919	480	300	246	246	223	155	262	319	150	267	92	160	116	78	93	74	67	39	41	47	37	41	32	31	27	24	17	19	28	11	16	22	24	20	30	4	8	11	14	12	27	4	6	5	2	2	3	2	6	1	1	1	2	2	1	0	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	44099	26737	15561	3977	864	1022	1386	536	1397	1782	1372	295	419	262	1106	1026	330	789	342	140	74	147	116	80	186	265	57	235	36	127	94	20	64	27	42	8	15	33	16	24	5	14	14	6	10	15	13	7	0	15	20	19	25	1	6	2	11	12	24	4	4	3	0	1	0	2	5	1	0	1	1	0	1	0	1	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	51518	29818	18415	6481	3600	2869	2553	1883	1996	2242	1660	903	879	700	1276	1171	564	790	465	317	221	284	201	206	250	219	136	321	99	159	110	68	109	57	77	64	36	46	54	41	25	33	31	19	24	19	22	16	11	22	29	7	42	1	9	7	8	15	12	8	4	6	3	2	3	4	0	2	1	2	6	1	1	2	0	1	1	2	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0
0.03	north11_active	80	42969	26226	16111	4030	851	1042	1371	558	1293	1801	1225	347	451	255	1095	1026	342	666	322	141	68	164	96	132	182	169	55	291	40	123	85	22	85	21	52	20	12	25	38	17	1	13	15	6	11	14	19	11	3	20	25	6	42	0	4	1	7	12	10	7	4	4	3	2	1	3	0	0	0	1	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
