label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113
0.03	north1_all	80	37075	10668	10429	4814	3485	2996	1909	2189	1494	1957	1264	955	752	562	713	444	412	505	258	416	367	258	167	194	285	132	164	127	170	129	89	97	71	56	76	103	38	38	70	44	26	42	20	16	11	17	12	19	14	13	24	12	10	15	6	9	14	7	7	2	1	9	4	2	9	3	15	1	0	4	0	2	0	5	1	2	0	0	0	3	1	0	0	1	1	1	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	22280	5106	6214	2404	1710	1613	845	1208	752	1185	721	496	396	274	397	229	220	281	112	235	213	138	99	99	192	64	87	56	105	76	51	55	34	33	35	80	17	22	42	26	9	29	11	5	8	13	5	4	6	5	9	7	5	11	2	5	7	6	6	0	0	5	3	0	8	2	11	0	0	1	0	1	0	4	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37068	10664	10268	4802	3454	3018	1908	2199	1471	2046	1237	962	751	561	709	446	427	470	284	451	344	268	168	172	252	133	163	130	177	120	94	104	75	55	75	104	40	46	89	54	24	42	19	17	12	13	12	17	12	15	24	12	9	16	6	11	11	4	2	2	1	4	3	2	10	3	7	0	0	4	0	4	0	5	2	1	1	2	0	3	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	22255	5144	6049	2419	1698	1622	848	1176	724	1246	713	486	399	258	383	232	217	251	123	251	186	145	92	86	164	71	83	65	111	72	55	65	35	32	37	78	17	26	63	31	7	28	12	6	7	9	6	3	5	6	10	5	6	10	2	8	5	3	1	1	0	2	2	0	8	2	7	0	0	1	0	3	0	4	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	37155	10518	10176	4867	3478	3093	1907	2195	1474	2089	1186	954	736	570	688	485	413	470	282	452	341	271	167	175	266	136	162	115	190	133	95	118	78	52	72	89	44	41	92	54	23	23	36	15	15	9	16	10	9	15	19	9	8	14	7	4	6	5	4	4	1	3	2	2	10	2	8	2	0	3	0	3	0	2	2	1	1	3	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	22295	5036	6052	2435	1705	1647	820	1200	728	1245	684	503	376	270	370	251	205	253	123	248	182	151	89	84	166	67	80	62	128	72	52	77	38	27	37	57	17	27	65	29	7	15	28	2	8	6	11	1	4	8	10	2	5	8	4	4	4	3	4	3	0	1	1	0	8	1	7	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37239	10529	10246	4851	3439	3093	1886	2277	1426	2028	1167	965	772	553	751	517	419	461	300	465	373	285	162	164	254	158	158	111	229	133	105	127	68	46	73	122	40	36	75	53	24	31	36	18	14	9	21	10	12	18	22	14	9	7	7	10	3	3	3	6	2	3	1	1	13	0	8	2	0	1	1	3	0	1	2	1	1	4	1	0	2	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	22208	5123	6048	2429	1690	1598	838	1239	706	1199	663	500	409	254	423	262	197	237	135	267	211	156	79	74	157	80	91	57	155	82	55	91	31	24	47	84	16	21	49	26	10	20	26	6	6	4	16	3	5	9	19	6	5	4	6	8	2	2	3	3	1	1	1	0	11	0	7	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	37341	10503	10429	4888	3465	3026	1855	2221	1424	1985	1197	957	743	543	766	525	421	467	300	458	418	291	165	163	299	165	136	105	212	144	110	122	59	51	72	110	37	40	67	46	28	29	36	18	16	10	18	11	11	16	24	11	9	9	10	10	3	1	5	5	4	2	2	0	7	1	3	3	0	1	1	1	0	2	1	0	1	3	1	0	2	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	22170	5109	6212	2483	1669	1564	825	1207	703	1152	682	518	389	250	440	270	213	272	145	283	270	149	82	76	193	76	76	51	142	89	56	85	25	19	44	84	18	21	37	28	10	16	28	8	7	4	15	4	6	9	19	6	5	3	8	7	3	0	4	2	4	0	1	0	4	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
