label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114
0.03	north1_all	80	28380	9938	13909	4475	5316	6098	1853	1520	2850	1179	1153	1609	1476	953	912	614	863	619	373	349	224	173	217	296	150	117	119	105	185	117	91	83	96	55	52	36	26	35	36	65	69	44	62	30	18	15	16	10	11	20	13	8	14	13	4	15	8	7	16	13	6	2	2	1	0	3	2	1	3	1	1	1	6	2	0	0	1	2	0	2	1	0	1	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15152	4551	8741	2162	3125	3947	816	682	1791	599	571	966	955	566	587	345	564	359	175	190	98	81	115	177	89	52	53	48	114	71	50	33	59	34	32	12	11	14	18	44	46	26	52	13	6	6	9	4	2	10	11	6	7	3	3	4	2	5	14	9	6	2	1	1	0	2	1	0	3	0	0	0	6	2	0	0	0	1	0	2	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28409	9886	14204	4424	5349	6143	1871	1489	2870	1196	1128	1562	1500	966	907	602	832	600	374	332	225	187	226	274	136	122	120	97	191	112	90	81	106	47	52	56	28	30	33	70	67	49	63	41	19	20	16	12	14	20	15	19	14	12	4	15	6	10	5	10	4	2	3	1	1	4	3	5	3	1	1	1	1	3	2	0	0	1	1	2	0	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15114	4532	8952	2145	3104	3977	856	668	1816	606	571	958	968	549	566	350	521	342	194	163	100	81	123	171	78	55	63	41	123	69	46	35	70	28	32	30	13	15	15	52	41	29	52	22	9	6	9	6	5	10	13	17	7	3	3	4	4	6	3	7	3	2	2	1	0	2	1	4	3	0	0	0	1	3	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28592	9834	14462	4489	5349	6208	1853	1502	2917	1186	1155	1582	1525	929	839	572	841	607	354	318	232	212	229	277	144	121	125	108	202	115	86	87	98	47	52	71	27	25	32	72	87	40	54	41	16	15	18	13	11	14	17	15	16	10	6	11	4	6	5	6	3	5	3	1	3	4	3	11	5	1	1	1	1	1	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15342	4545	9223	2188	3177	3879	837	696	1775	576	586	947	970	509	514	335	530	349	205	152	104	88	123	174	84	60	70	49	126	64	47	43	64	24	32	46	13	13	18	61	51	24	40	21	8	5	8	5	6	8	13	13	9	6	5	1	3	4	3	1	2	2	2	0	2	1	1	9	3	0	0	1	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28657	9656	14322	4459	5272	6107	1842	1507	2964	1218	1118	1545	1479	903	837	568	928	588	364	304	215	225	229	274	148	130	122	99	169	119	78	91	92	50	49	76	29	20	28	53	63	39	44	39	21	18	17	14	12	10	13	17	12	9	5	3	10	8	6	4	2	3	2	1	4	5	4	11	5	0	0	2	0	2	2	0	1	1	1	2	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	15612	4457	9152	2121	3133	3768	827	729	1829	585	602	942	950	511	482	338	601	365	204	152	95	104	129	174	92	67	68	49	98	69	42	49	54	20	24	51	17	12	13	41	34	17	28	23	12	6	11	5	7	7	9	16	7	6	3	0	4	5	2	2	1	0	1	0	3	2	1	9	3	0	0	1	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28685	9649	14260	4496	5203	6211	1781	1602	3011	1239	1116	1486	1446	948	839	528	979	545	384	294	207	226	268	287	164	132	115	97	164	109	94	84	102	46	40	69	36	32	30	62	70	40	51	38	20	20	20	19	16	14	12	18	22	7	8	16	8	7	7	7	4	5	0	1	5	5	4	10	4	1	0	3	0	1	0	0	2	1	1	4	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	15664	4456	8963	2133	3118	3828	777	775	1869	593	585	882	946	555	506	307	621	326	192	153	91	110	153	172	96	73	60	50	96	55	50	46	59	22	17	48	18	20	13	42	40	19	34	23	8	10	13	8	10	10	8	17	17	4	2	0	2	3	3	4	3	2	0	0	3	2	1	9	2	1	0	1	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
