label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109
0.03	north1_all	80	24129	12387	18157	5162	4215	6586	2143	1994	1668	2626	1596	2023	849	714	524	701	377	407	387	276	290	239	560	561	221	184	238	106	95	140	79	107	147	61	54	70	129	44	28	74	47	14	29	16	18	41	17	34	12	8	25	6	7	7	4	20	6	19	5	14	4	3	0	3	3	1	8	1	2	3	3	2	8	2	5	2	2	0	4	0	0	0	1	1	0	2	1	0	6	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	5848	5484	16070	2100	2142	5693	459	943	869	2208	1139	1751	452	307	123	531	128	166	209	54	148	103	510	496	136	117	197	56	25	100	45	83	129	28	21	39	117	31	16	71	40	3	19	3	11	35	7	26	6	4	20	2	4	5	0	17	3	18	4	7	2	1	0	1	3	0	8	1	1	0	3	2	7	1	0	0	1	0	4	0	0	0	1	0	0	2	1	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23981	12372	18114	5127	4237	6684	2170	2012	1714	2781	1668	2144	887	683	525	707	377	404	394	266	304	225	504	525	245	180	220	110	101	156	70	100	169	51	61	66	122	48	33	73	53	20	26	22	17	59	16	22	10	6	27	9	16	8	9	12	8	17	3	14	3	4	0	4	3	1	8	2	1	4	1	1	4	1	5	2	1	0	4	0	0	0	0	1	0	2	1	0	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	5810	5433	15984	2132	2142	5760	480	965	892	2346	1190	1870	477	287	129	536	122	173	226	53	166	94	444	474	171	112	175	50	32	116	34	69	148	22	28	37	109	30	19	66	46	4	19	4	10	51	5	14	2	3	22	2	14	4	8	7	6	17	3	9	2	1	0	2	3	0	8	1	1	1	1	1	4	0	1	0	0	0	4	0	0	0	0	0	0	2	1	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	23940	12324	18330	5127	4350	6842	2190	1963	1755	2780	1653	2122	871	675	569	804	406	370	403	289	315	259	507	551	248	159	248	100	109	141	69	108	237	55	70	58	115	62	25	56	63	23	28	18	15	52	16	28	8	8	21	11	18	7	12	37	9	20	0	19	2	3	0	2	4	2	5	1	1	3	2	2	6	2	3	3	1	0	1	0	0	0	0	0	0	2	0	0	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	5771	5398	16238	2120	2170	5870	477	945	869	2340	1188	1857	429	287	149	602	120	167	234	57	185	117	451	507	174	100	199	42	36	105	40	73	220	20	28	31	96	44	16	50	53	5	21	3	7	44	3	24	1	5	16	4	16	5	9	31	6	20	0	15	1	1	0	1	4	0	5	0	1	1	1	1	6	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	24033	12357	18075	5072	4273	6889	2195	1953	1771	2780	1689	2002	874	673	549	848	420	386	427	289	328	258	474	517	249	177	218	119	113	134	74	110	277	53	78	48	126	71	31	85	64	24	30	20	16	56	22	35	10	11	18	15	17	9	16	31	7	14	0	13	2	5	1	1	1	3	2	2	1	2	2	2	4	2	3	9	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	5801	5415	15976	2133	2133	5901	519	955	887	2341	1189	1745	428	277	149	642	130	188	256	52	194	109	406	471	175	120	174	51	38	96	43	68	263	14	28	29	108	43	17	72	54	4	20	5	9	51	11	34	0	4	13	6	14	6	9	27	4	14	0	10	0	1	0	1	1	0	2	0	1	1	1	0	4	1	1	8	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	24372	12233	17970	5109	4218	6905	2174	1948	1740	2862	1684	1886	875	665	556	860	409	376	432	306	306	245	535	535	237	174	220	122	118	138	88	116	250	54	77	38	120	71	36	72	64	24	30	26	17	56	22	35	8	10	20	13	6	6	9	58	8	12	2	10	1	5	3	2	1	3	1	3	1	0	2	2	7	3	1	8	1	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	5939	5399	15857	2157	2129	5964	508	967	876	2434	1165	1625	427	275	174	669	123	179	257	58	184	116	475	468	145	112	171	54	42	91	47	83	239	11	27	22	100	49	20	61	52	3	18	6	9	51	10	31	0	4	14	8	3	4	2	55	3	12	1	9	0	1	1	1	1	0	1	0	1	0	1	0	7	1	0	8	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
