label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	5251	2050	1568	1655	728	519	526	361	248	312	313	158	221	219	107	101	183	78	97	63	48	118	41	27	32	60	30	18	42	28	21	13	9	23	9	14	9	6	1	7	4	8	3	4	2	0	1	1	4	2	0	1	3	2	0	1	3	2	0	0	3	0	0	0	3	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2600	938	775	1001	367	260	284	190	109	171	188	79	130	126	56	53	115	37	61	26	25	81	20	14	17	42	12	11	22	18	13	5	4	14	4	7	2	3	0	2	1	6	3	1	0	0	1	0	4	1	0	1	3	0	0	1	3	2	0	0	3	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5343	2067	1579	1778	752	557	542	389	241	307	349	175	225	215	114	94	190	76	99	68	52	109	43	24	39	67	28	16	42	46	23	6	12	25	11	13	6	6	6	6	1	8	3	5	3	5	2	1	1	2	0	2	4	3	1	3	6	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	2681	933	784	1104	372	294	297	213	109	174	201	92	135	127	64	50	110	39	61	32	28	71	19	11	20	45	10	9	17	26	14	2	2	10	6	7	2	5	2	3	0	6	2	2	1	5	1	0	1	1	0	1	3	1	0	3	2	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	5231	2032	1674	1693	724	560	510	395	228	312	357	179	251	213	110	97	182	71	101	69	62	113	44	22	40	58	29	18	44	45	27	5	12	23	9	12	5	8	6	6	4	4	4	5	3	8	3	1	2	2	0	1	1	3	2	3	4	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	2637	915	857	1045	355	292	269	228	115	176	199	89	157	136	67	49	113	33	54	38	30	70	18	9	22	35	14	10	19	25	20	2	2	9	4	7	2	6	2	3	2	3	2	3	1	8	2	0	1	1	0	0	0	2	1	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	5257	1987	1643	1623	743	582	512	373	226	334	335	182	281	217	110	72	189	65	75	64	61	113	38	24	44	63	27	22	47	48	25	8	16	16	10	8	8	7	7	5	4	5	4	7	5	10	3	1	3	2	0	1	2	3	2	5	4	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	2718	874	834	992	359	298	269	193	108	163	180	89	181	138	64	36	123	34	39	36	31	76	18	12	24	36	12	11	23	28	17	3	3	5	5	5	7	5	3	2	2	4	2	3	1	8	1	0	0	1	0	0	1	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	5188	2024	1654	1591	721	568	509	364	235	344	317	171	287	247	108	79	195	69	66	61	70	117	40	30	44	58	36	24	45	41	22	10	14	17	9	8	12	8	5	4	4	4	2	8	3	12	3	3	5	1	0	1	2	2	2	3	0	1	3	3	2	0	0	0	1	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2642	863	826	958	352	285	262	193	109	174	171	72	172	156	57	34	140	36	32	33	37	78	19	16	28	33	19	13	30	28	17	4	2	8	4	5	11	6	3	1	2	1	1	4	0	7	1	0	2	0	0	0	1	1	1	3	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5218	2077	1627	1584	711	549	511	410	246	323	306	169	256	247	109	74	203	71	61	63	76	137	37	26	37	56	29	20	51	28	17	10	11	21	8	7	12	6	3	7	3	5	1	11	4	12	2	5	5	1	0	1	2	2	2	3	0	1	3	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	2672	883	805	961	359	260	281	211	114	161	174	71	146	141	52	38	141	37	36	31	43	93	18	16	26	34	18	9	32	17	13	5	1	13	5	3	11	5	1	4	1	2	1	8	0	7	1	1	3	0	0	0	1	1	1	3	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5252	2064	1575	1623	729	518	522	433	234	298	303	167	218	262	114	76	198	74	64	51	76	141	40	24	44	60	28	24	43	33	13	6	13	24	11	10	11	9	2	8	1	7	1	8	2	12	0	4	3	1	0	1	3	0	2	3	5	1	2	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north7_active	80	2661	885	791	986	384	241	286	232	114	166	168	72	118	145	54	41	129	37	39	24	47	96	23	14	27	42	13	10	29	20	7	3	2	18	6	4	9	8	1	5	1	3	1	7	0	8	0	1	3	0	0	0	2	0	0	3	4	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5307	2098	1594	1634	749	490	505	450	244	308	312	183	239	247	127	85	201	87	66	57	68	130	41	25	32	67	25	23	33	40	16	8	9	26	11	11	10	7	3	9	2	6	3	7	2	9	0	3	2	0	1	1	2	0	2	2	5	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north8_active	80	2659	948	826	995	388	230	273	240	111	166	186	78	128	133	69	40	133	38	39	29	43	81	24	11	17	48	10	11	22	23	7	5	5	16	6	5	7	5	0	6	1	4	1	5	0	8	0	1	2	0	0	1	2	0	0	1	4	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5349	2070	1645	1609	757	492	483	448	250	306	329	179	229	244	129	88	177	84	82	54	56	141	45	28	38	66	28	20	28	45	18	8	15	31	10	16	12	5	3	7	2	6	5	5	1	11	2	2	5	0	2	1	2	1	3	2	5	0	1	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	2691	946	858	970	382	228	253	249	110	164	203	72	126	145	75	42	118	38	41	27	28	90	22	12	19	46	12	8	19	26	9	6	9	19	4	7	7	4	0	3	1	3	2	3	0	9	1	1	5	0	0	1	2	0	2	1	4	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5306	2012	1636	1641	774	532	484	457	271	320	336	158	241	260	133	83	215	88	87	59	53	143	39	27	37	78	32	15	36	46	15	8	13	26	9	17	12	3	4	8	2	4	5	4	3	8	3	3	4	0	4	2	0	1	2	2	1	1	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2618	930	834	1026	387	252	241	262	117	173	204	66	136	161	74	32	143	42	42	31	26	83	16	13	20	53	18	7	23	28	8	5	9	13	3	8	7	1	0	4	1	2	2	1	1	6	2	1	4	0	1	2	0	0	2	1	0	1	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
