label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	south25_all	80	12816	2820	1796	1524	1017	1679	765	895	314	311	395	585	251	271	191	157	139	142	84	73	96	133	69	48	73	51	30	66	22	29	51	13	19	8	11	16	27	7	8	7	10	7	9	11	6	4	3	5	1	2	4	2	5	0	1	1	2	3	1	1	0	1	1	0	0	0	1	3	0	1	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south25_active	80	7957	1264	883	808	525	1099	429	546	144	150	243	376	125	176	120	81	89	90	39	32	56	79	38	25	52	30	14	53	8	11	25	8	7	3	6	7	13	7	4	2	8	2	5	6	4	2	1	1	0	0	2	1	2	0	1	1	2	3	0	1	0	1	1	0	0	0	1	3	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_all	80	12712	2859	1820	1490	1066	1692	747	876	327	290	414	558	275	268	217	160	150	166	82	74	83	135	60	53	62	42	26	77	17	38	42	13	17	11	13	17	18	6	6	9	12	8	9	9	7	3	3	5	1	2	4	2	6	3	1	3	4	7	3	1	0	1	1	0	0	1	2	3	0	0	1	1	0	1	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	7899	1296	885	792	546	1112	430	535	161	146	257	367	147	169	132	81	95	105	47	34	51	84	32	26	41	25	12	59	7	21	15	9	7	2	5	9	8	5	1	3	10	3	6	5	4	1	0	2	0	0	1	1	3	1	1	3	4	6	0	1	0	1	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	12758	2908	1867	1481	1063	1686	760	863	316	291	379	514	282	255	214	165	154	155	95	59	92	138	56	58	50	56	20	78	19	37	35	19	17	8	17	13	28	8	10	15	12	5	13	9	6	2	3	3	1	3	4	2	4	3	1	3	4	7	2	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	south27_active	80	7923	1358	882	765	574	1145	448	541	139	158	230	333	160	152	124	92	94	98	54	26	61	85	29	26	29	32	10	58	9	21	15	11	6	1	7	6	18	2	1	10	10	1	7	5	3	1	0	1	0	0	1	1	1	1	1	3	4	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south28_all	80	12730	2892	1831	1507	1008	1638	751	808	339	298	388	542	276	261	239	154	143	144	94	59	101	122	47	55	54	50	26	78	18	29	31	26	16	9	15	7	25	15	10	16	8	6	12	5	5	1	2	1	2	3	5	2	3	3	1	4	2	8	2	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
0.03	south28_active	80	7941	1368	864	801	524	1078	437	489	161	152	230	361	157	148	144	79	76	80	51	22	62	83	27	27	35	29	12	56	11	17	14	14	8	1	7	5	16	5	1	13	8	4	8	2	2	1	0	1	1	1	2	2	2	1	1	3	2	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	south29_all	80	12494	2845	1780	1503	973	1575	726	804	346	307	352	533	235	274	238	144	135	140	84	63	104	122	54	60	61	57	30	67	21	30	29	31	17	8	13	4	23	20	10	19	4	4	8	8	5	2	1	1	2	5	3	3	2	1	2	3	0	7	0	0	2	0	0	1	0	0	1	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	south29_active	80	7792	1295	843	793	495	1013	396	479	157	153	203	343	132	172	156	70	72	82	44	24	64	81	36	28	38	33	13	49	12	15	12	18	9	2	8	3	16	9	3	17	4	3	4	5	1	1	0	1	2	2	1	3	1	1	2	2	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
