label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118
0.03	north1_all	80	13063	5324	1762	1077	834	782	794	489	382	303	265	246	798	697	138	131	130	202	145	97	81	76	96	167	68	36	35	82	34	24	29	50	56	20	21	23	17	27	27	14	12	28	13	3	8	10	9	8	7	11	5	5	6	3	3	2	2	1	1	3	2	1	2	0	2	4	4	0	4	1	3	0	1	0	0	3	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	10952	4327	841	219	220	374	589	157	156	130	120	63	738	632	40	43	58	163	101	51	29	36	67	152	48	11	8	71	9	6	20	43	46	7	9	13	7	22	23	3	5	28	4	1	2	4	9	4	5	5	1	5	1	2	3	1	1	0	1	1	1	0	0	0	1	3	3	0	4	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12812	5273	1763	1085	839	718	754	483	377	309	280	252	790	690	142	136	113	185	165	100	78	84	82	149	70	41	37	79	25	27	28	56	65	21	15	25	15	32	32	17	14	24	14	3	6	9	5	6	7	11	4	5	6	3	5	4	2	11	1	5	3	2	2	0	4	2	3	0	4	1	5	1	0	0	2	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	10768	4279	857	237	230	328	562	155	160	135	127	61	732	634	38	50	51	149	114	59	25	37	54	137	50	14	9	66	6	9	22	49	51	7	11	15	6	26	28	5	3	24	5	1	1	2	5	3	6	6	1	4	1	3	3	2	1	9	1	1	1	1	0	0	4	2	2	0	4	1	5	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12672	5138	1828	1139	841	700	794	497	381	316	290	242	838	656	129	142	101	175	159	97	75	87	68	146	85	50	38	78	22	23	34	62	53	20	14	22	12	29	32	14	12	19	13	3	8	7	15	4	6	11	4	4	7	3	6	4	2	10	1	4	3	3	2	1	5	3	2	0	6	0	5	3	1	0	3	0	1	1	0	1	0	0	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10646	4131	871	263	216	323	601	162	168	140	131	59	772	605	34	53	46	137	117	61	23	37	45	134	65	18	11	65	9	8	27	57	40	7	9	13	4	22	29	4	2	19	5	0	1	1	14	2	4	9	0	3	1	2	4	3	2	9	1	1	1	2	0	0	4	2	1	0	6	0	5	3	0	0	1	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	12668	5220	1801	1123	836	703	805	469	392	330	310	243	806	635	130	143	88	180	155	97	81	86	71	134	66	50	46	72	25	23	34	58	41	19	19	20	12	25	28	14	13	36	14	7	8	10	17	3	6	8	4	4	4	4	3	4	2	16	1	4	2	2	2	1	6	2	1	0	3	4	3	3	1	0	3	0	1	1	0	1	0	1	9	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10624	4224	868	259	217	328	617	151	167	148	143	58	748	586	32	55	36	142	108	65	23	27	44	123	52	18	14	61	12	8	29	54	29	6	12	13	3	18	22	4	2	35	5	1	1	1	15	2	3	7	0	2	0	2	1	2	2	14	1	1	1	2	0	0	5	1	0	0	3	4	3	3	0	0	1	0	0	0	0	1	0	1	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12441	5302	1828	1146	849	722	828	472	376	341	298	239	770	639	139	127	101	175	159	119	84	80	85	151	68	55	50	85	27	20	47	47	47	19	16	22	11	35	24	17	9	31	9	8	7	11	24	5	8	9	2	6	3	5	1	3	4	19	0	2	3	1	2	1	4	2	1	0	4	4	3	2	3	0	1	0	0	1	0	0	0	1	9	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	10383	4354	882	274	219	348	615	153	143	147	127	68	711	592	35	43	40	137	120	76	20	25	57	137	53	23	14	71	12	5	37	42	39	5	10	17	3	29	17	4	5	30	2	1	1	4	19	4	2	6	0	4	0	2	1	2	2	16	0	1	1	1	0	0	1	1	1	0	4	4	3	2	1	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	12488	5375	1809	1115	844	743	794	469	383	351	284	225	732	642	159	127	103	194	172	130	76	84	84	167	60	56	55	97	37	21	35	40	53	18	23	26	15	28	18	16	14	37	9	12	8	13	23	5	8	6	3	5	5	4	0	3	2	11	3	3	4	2	3	0	5	1	1	2	3	4	1	0	2	0	0	0	0	1	0	0	0	1	8	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
0.03	north6_active	80	10391	4439	888	272	219	348	567	155	140	156	116	62	670	583	45	42	47	157	130	90	16	33	59	148	46	24	13	84	16	6	25	35	44	5	14	19	2	24	12	4	9	34	3	1	2	6	19	3	2	3	0	4	2	0	0	1	0	9	3	2	2	1	0	0	3	1	1	2	3	4	1	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
0.03	north7_all	80	12472	5266	1756	1148	806	749	810	470	358	362	295	227	744	609	164	136	112	182	184	125	76	81	78	177	71	53	52	95	37	22	41	47	57	13	24	31	17	32	18	12	14	23	9	9	8	15	19	5	11	5	3	7	5	6	0	1	3	11	3	2	4	1	4	1	5	3	2	3	1	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
0.03	north7_active	80	10414	4326	864	273	195	357	559	162	135	167	126	62	687	550	52	46	57	152	146	81	18	33	53	155	54	26	11	78	12	8	23	39	46	4	15	24	3	28	12	3	11	18	3	1	3	7	16	3	5	3	0	4	2	0	0	0	1	9	3	2	1	0	0	1	3	1	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
0.03	north8_all	80	12593	5245	1747	1156	795	714	804	478	369	368	292	208	710	615	131	118	126	175	182	120	78	67	80	163	78	56	46	101	37	23	38	51	37	12	30	32	14	24	17	10	12	32	6	9	8	10	17	6	11	8	3	5	8	7	1	3	4	9	3	1	5	1	3	2	7	2	1	3	0	1	0	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
0.03	north8_active	80	10534	4281	840	257	193	322	564	169	147	165	124	51	649	550	35	38	68	146	138	73	27	28	57	141	59	26	11	84	13	7	24	40	30	5	21	23	3	20	13	3	9	25	2	2	4	4	14	1	6	5	0	2	3	1	0	1	2	8	3	1	1	0	0	2	3	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
0.03	north9_all	80	11823	4879	1724	1173	797	679	769	426	358	362	272	220	676	600	136	117	123	158	173	104	90	67	86	152	86	49	36	97	36	23	41	53	47	10	21	32	16	24	24	9	11	35	5	4	9	8	12	9	9	7	4	4	5	6	1	4	2	6	4	2	4	2	2	2	3	2	1	1	1	1	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north9_active	80	9685	3807	814	266	197	293	506	132	136	135	121	43	605	548	34	34	64	130	131	62	35	21	61	129	67	18	8	81	13	8	26	39	39	6	15	19	5	19	15	2	9	28	1	2	3	2	9	2	6	5	0	1	1	1	0	2	2	5	4	1	1	1	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north10_all	80	11119	4703	1750	1177	801	691	751	428	377	338	281	227	619	556	124	116	144	137	144	80	86	68	92	136	76	39	37	95	32	19	32	50	35	17	17	24	13	25	28	12	8	26	6	6	7	7	14	13	11	7	2	1	4	3	1	6	1	6	2	2	3	4	2	1	2	1	0	2	1	5	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	8952	3593	765	300	194	284	492	112	137	123	114	46	549	508	25	33	66	104	101	49	32	21	64	120	58	17	8	77	12	5	25	36	29	9	12	13	4	17	18	4	4	21	2	2	4	2	9	3	8	5	1	0	1	1	0	2	1	5	2	1	1	3	1	1	0	0	0	1	0	5	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_all	80	12719	5537	1877	1163	889	719	857	424	400	334	294	237	762	700	142	124	148	184	192	84	87	85	57	154	62	44	39	134	31	33	29	26	55	20	26	28	10	33	18	15	9	16	9	6	6	12	7	3	10	2	3	7	7	3	5	3	9	2	2	1	0	7	1	3	6	1	2	1	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	10606	4515	953	265	210	351	615	136	162	155	141	67	698	651	44	41	75	134	152	47	29	29	38	136	39	16	10	118	14	5	18	19	48	5	14	16	3	31	15	5	6	12	2	3	2	7	7	1	6	1	1	6	1	0	2	1	6	1	1	0	0	5	1	1	3	0	2	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_all	80	12702	5627	1831	1169	837	737	840	415	374	334	288	246	779	665	149	118	138	181	186	89	80	79	72	153	71	53	36	133	29	32	41	33	52	20	29	26	15	31	24	15	9	19	10	6	7	11	22	5	9	5	6	2	6	2	5	5	7	1	4	0	0	8	1	3	4	2	2	1	1	1	0	10	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	10560	4643	934	259	205	348	596	146	158	153	136	69	715	624	42	38	72	134	143	45	33	29	46	136	46	21	13	120	11	8	27	25	47	5	15	17	7	29	19	6	4	14	2	2	3	9	22	2	7	4	2	2	1	0	3	2	5	1	4	0	0	5	1	2	3	0	2	1	1	1	0	10	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_all	80	12900	5483	1841	1157	814	723	834	420	377	332	278	234	790	663	137	128	125	194	163	96	63	77	79	162	71	44	40	109	28	35	42	36	51	19	23	31	21	19	22	16	12	20	6	6	9	7	25	6	8	3	5	4	4	1	4	4	6	0	6	0	3	7	1	2	0	2	0	0	1	0	4	10	1	1	1	0	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north13_active	80	10822	4505	914	239	202	334	590	145	172	137	138	62	734	615	30	43	57	142	120	47	24	22	50	143	48	19	13	98	10	9	29	25	46	5	12	22	7	17	18	8	8	15	0	1	3	6	24	2	6	3	2	4	1	0	3	1	5	0	6	0	1	4	0	2	0	0	0	0	1	0	3	9	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north14_all	80	12888	5325	1818	1136	786	730	822	413	368	341	239	238	675	683	142	137	113	212	146	90	72	80	82	154	75	49	39	88	31	35	51	37	42	18	18	34	24	24	19	14	17	23	7	9	12	6	22	6	5	5	5	13	5	2	3	5	7	1	8	2	3	4	1	2	1	1	0	1	2	1	4	10	0	2	0	1	0	0	1	1	0	0	3	0	0	0	0	1	1	0	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north14_active	80	10724	4387	895	237	199	340	574	141	170	137	109	63	620	635	25	45	52	158	107	47	25	26	56	134	53	18	11	81	11	8	39	24	38	6	11	22	8	23	14	5	12	21	1	0	4	3	21	3	4	4	1	12	3	0	2	1	5	1	7	1	1	1	0	1	1	0	0	0	2	1	3	9	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north15_all	80	12785	5139	1796	1139	808	754	786	416	384	357	211	247	699	744	151	139	122	221	148	93	71	67	68	139	64	54	37	74	31	29	43	45	39	16	18	34	24	22	16	12	17	38	5	12	11	4	7	4	6	9	2	14	4	2	2	3	5	2	5	3	3	2	3	2	1	3	1	1	2	1	8	1	0	2	0	1	0	0	2	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
