label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114
0.03	north1_all	80	10200	3118	1303	1308	869	510	521	419	296	329	308	290	333	137	172	112	75	187	125	54	67	54	72	42	50	58	30	18	48	32	18	15	30	30	24	19	13	39	10	15	4	13	6	1	13	4	13	6	5	3	10	4	5	2	2	1	3	1	1	2	2	1	2	1	5	1	0	0	0	1	4	0	1	3	0	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6687	1858	654	741	509	239	284	238	152	196	170	168	202	82	113	61	30	123	95	24	37	24	40	24	30	37	14	10	21	19	6	6	14	22	21	10	5	25	5	13	2	9	4	0	7	4	11	4	2	1	9	1	4	1	2	0	2	0	0	1	2	1	2	1	4	1	0	0	0	1	4	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10231	3032	1294	1342	833	525	500	439	301	343	298	282	334	154	165	122	74	208	128	52	81	49	77	35	47	63	37	27	43	30	21	19	31	49	26	22	11	32	10	17	4	16	5	2	8	2	16	12	6	2	4	3	7	2	2	3	1	1	1	1	2	2	2	2	1	1	0	0	1	1	0	0	2	3	0	1	4	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6653	1775	635	763	488	252	262	249	165	210	178	161	204	90	101	62	36	143	98	25	48	23	46	17	26	36	19	19	19	17	8	10	13	40	19	8	5	18	6	17	2	11	5	0	4	2	13	7	3	0	3	1	5	0	2	3	0	0	0	1	2	2	2	2	1	1	0	0	0	1	0	0	2	1	0	0	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10058	3107	1282	1307	831	494	514	423	313	337	305	269	342	155	152	125	79	202	136	55	90	45	80	47	48	72	41	32	38	25	20	16	27	61	24	19	7	23	12	15	3	22	1	2	9	5	14	11	10	2	4	2	7	2	3	5	1	0	1	1	1	2	2	5	3	1	0	0	4	0	0	0	2	5	0	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6463	1830	649	740	478	233	266	232	179	192	186	153	194	89	90	63	36	126	102	25	56	18	51	26	26	47	24	21	22	16	9	9	13	52	15	7	3	12	7	14	2	15	1	0	4	5	11	6	6	0	2	0	5	0	3	3	0	0	0	1	1	2	1	5	1	1	0	0	3	0	0	0	2	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10009	3101	1310	1282	826	469	512	427	316	347	294	292	352	145	138	134	84	214	166	60	91	41	63	48	42	82	41	39	50	19	18	18	34	63	25	16	9	13	6	13	6	22	2	4	9	8	15	12	8	2	6	2	5	2	6	5	2	1	1	1	2	1	1	5	3	0	0	1	4	0	1	0	1	3	0	0	3	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6454	1805	673	757	463	223	261	226	176	191	193	166	202	78	79	64	36	128	122	30	55	17	38	26	19	55	25	20	34	11	8	11	22	53	14	7	5	11	5	11	5	15	2	1	6	7	13	7	4	0	4	0	2	0	5	3	1	0	0	0	2	1	0	5	1	0	0	0	3	0	0	0	1	3	0	0	2	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9395	3019	1274	1245	814	477	477	358	316	343	273	293	336	138	123	123	79	207	168	62	91	39	55	54	31	66	46	35	39	18	15	16	32	50	24	13	11	17	7	10	7	23	2	3	11	6	10	8	7	2	5	1	3	2	9	5	1	1	0	2	1	1	2	4	3	1	1	2	6	0	1	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6014	1729	639	716	433	228	248	186	176	180	164	172	184	79	69	60	33	114	110	31	53	18	28	32	14	44	24	16	32	7	8	7	18	46	13	6	6	15	5	5	5	14	2	1	6	5	9	4	3	1	3	0	1	0	8	3	1	0	0	1	1	0	1	4	1	1	0	0	4	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
