label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north1_all	80	14749	3945	5481	1482	939	960	974	537	733	1125	280	295	219	256	159	501	165	165	128	135	91	74	124	67	102	132	52	69	42	35	37	47	27	30	37	21	13	23	24	17	18	32	13	5	16	21	4	7	3	4	6	5	5	4	3	12	1	2	3	3	1	1	2	6	7	2	1	0	1	1	1	0	0	1	1	2	0	1	0	3	0	1	2	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12464	2515	4894	803	232	589	720	227	566	1013	114	92	66	136	56	468	49	103	62	94	41	32	97	26	80	107	15	40	15	19	25	27	12	10	28	6	6	17	13	7	7	29	1	3	3	19	3	1	2	1	4	1	4	2	2	12	0	0	1	1	1	0	2	6	6	1	1	0	0	0	1	0	0	0	1	2	0	0	0	3	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14854	3831	5575	1524	970	959	957	541	747	1084	317	282	227	247	150	540	136	166	123	136	83	72	114	69	110	127	56	63	31	45	40	45	26	30	31	23	14	21	32	16	17	21	10	6	15	24	10	8	4	6	9	7	8	4	4	6	2	4	3	2	1	3	4	5	3	0	5	0	1	3	0	0	2	1	0	2	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	12549	2464	4976	830	257	589	706	240	570	960	121	91	63	129	47	504	43	102	63	90	34	31	84	26	85	103	19	36	11	23	24	24	14	12	22	7	7	17	22	6	8	20	2	3	3	21	6	1	3	1	7	3	7	2	4	6	1	1	0	1	1	3	2	5	3	0	5	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15023	3853	5786	1576	991	945	976	531	774	1029	314	282	221	234	162	533	137	187	117	122	88	70	114	76	105	113	44	60	26	42	36	33	21	28	43	24	18	27	37	17	19	19	8	7	9	31	11	8	3	7	9	9	11	7	6	7	4	5	4	2	1	3	4	5	1	0	4	0	1	4	0	0	2	1	0	2	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12722	2454	5180	872	243	572	727	233	593	910	123	101	68	119	51	499	41	116	64	83	31	31	83	31	81	88	17	36	10	22	24	15	9	9	32	7	10	21	27	3	11	17	1	3	2	28	4	1	2	2	6	6	9	5	5	7	4	1	1	2	1	3	2	5	1	0	4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15257	3830	5851	1613	983	994	1017	522	761	1061	347	262	205	218	162	587	120	194	106	136	82	63	110	68	86	99	49	53	23	46	28	32	24	24	51	25	15	26	40	18	17	8	10	8	5	17	11	6	6	9	11	10	13	6	5	8	8	5	5	2	0	6	6	1	0	0	4	0	2	5	0	1	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	12967	2413	5228	887	238	604	754	230	576	948	130	100	55	109	46	548	33	121	56	90	29	29	87	26	64	77	18	38	9	25	17	15	11	8	37	8	7	19	31	3	11	7	2	3	1	14	3	0	3	3	7	7	12	4	4	8	7	1	1	2	0	4	1	1	0	0	4	0	0	2	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14952	3887	5825	1570	989	974	995	527	766	1062	337	266	195	224	154	553	121	190	112	146	81	68	121	61	85	90	52	52	23	47	28	32	24	22	61	20	16	24	36	13	16	13	9	11	8	15	14	3	6	7	10	7	12	8	6	9	9	2	5	4	1	4	4	1	0	1	0	1	2	5	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12695	2404	5211	870	221	601	727	232	596	943	131	99	56	109	40	515	32	121	57	92	30	27	98	21	60	64	18	37	10	24	18	17	11	6	44	6	6	17	28	2	14	12	2	2	0	12	7	0	2	4	5	6	9	5	5	9	6	0	1	3	1	2	1	1	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
