label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	north1_all	80	40189	13120	17297	9454	2551	1847	2296	917	771	868	913	314	265	370	153	98	182	58	40	42	28	25	17	13	11	10	10	9	7	3	7	3	1	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	21883	6294	11177	5817	1136	854	1380	426	374	539	579	173	136	256	70	43	113	23	18	26	10	8	7	7	3	3	7	2	5	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	40270	12914	17275	9491	2575	1854	2276	938	780	881	859	298	261	386	160	90	166	56	46	39	29	26	23	11	7	7	12	10	4	6	6	5	1	3	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north2_active	80	21898	6165	11179	5885	1152	851	1380	455	375	550	569	165	134	208	74	40	101	23	25	18	13	9	10	5	2	2	7	3	4	4	5	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north3_all	80	40100	12892	17548	9336	2619	1827	2293	885	783	886	907	295	251	353	165	94	149	58	44	39	26	21	22	11	4	9	12	9	3	6	1	3	1	3	0	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north3_active	80	21768	6139	11284	5738	1149	840	1352	421	377	558	611	166	124	190	85	38	89	26	25	19	15	7	11	6	2	1	7	3	3	4	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north4_all	80	40020	12991	17139	9141	2670	1855	2267	936	756	900	1010	289	250	359	154	100	165	54	50	39	28	20	19	13	6	7	8	16	3	7	2	3	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north4_active	80	21805	6202	10914	5753	1164	849	1334	460	385	579	693	153	117	203	88	40	104	25	33	17	14	7	9	6	3	2	2	7	3	5	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north5_all	80	40183	12887	17373	9144	2631	1876	2341	977	754	882	1053	294	252	333	152	107	177	54	46	43	28	20	18	13	10	7	11	16	5	3	4	3	0	1	1	1	1	4	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north5_active	80	21923	6130	10938	5701	1182	841	1378	462	365	560	666	144	124	203	81	42	114	25	24	20	12	7	7	6	5	2	5	7	5	2	1	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	39960	12919	17389	9170	2606	1895	2383	955	731	924	939	290	267	373	138	103	178	49	48	44	29	26	20	15	10	4	12	13	7	4	3	3	0	0	1	4	1	4	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	21759	6183	10938	5787	1147	847	1385	449	338	549	582	132	148	271	69	46	109	23	22	23	11	9	6	7	4	2	6	5	6	3	0	1	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	39959	12896	17484	9225	2559	1892	2376	949	736	952	962	302	281	400	148	106	197	43	47	49	25	26	17	13	8	4	14	7	8	8	6	3	2	0	2	4	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	21645	6099	11108	5765	1140	850	1399	438	333	558	592	143	155	288	65	47	114	16	27	27	8	9	4	5	3	2	8	2	7	5	0	1	2	0	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	39983	13100	17519	9385	2576	1867	2388	895	752	969	885	297	266	402	135	95	176	38	47	48	24	29	13	13	9	4	16	9	6	10	5	1	3	0	2	5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	21651	6213	11328	5981	1159	841	1465	407	353	545	561	134	142	290	58	44	100	17	29	32	10	9	5	4	4	1	9	6	5	7	1	1	3	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	40144	13088	17684	9522	2596	1769	2324	905	732	941	938	295	259	414	138	101	165	45	44	43	26	24	15	10	8	7	14	10	4	8	5	0	4	0	2	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	21834	6210	11441	6032	1179	798	1451	392	386	562	636	133	132	269	60	43	99	23	24	26	14	8	8	2	4	2	9	6	4	5	2	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	40242	13060	17639	9591	2617	1758	2270	901	745	892	951	287	229	376	137	92	169	41	45	33	29	21	12	10	9	7	25	12	1	7	3	0	5	0	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	22001	6258	11237	6105	1180	802	1422	400	386	545	638	141	118	218	63	41	118	23	23	18	17	7	7	1	4	1	20	8	1	3	2	0	4	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	40232	12933	17140	8762	2614	1845	2338	972	688	839	979	324	245	396	130	98	120	58	30	37	23	19	20	14	9	8	6	1	7	4	4	3	1	5	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_active	80	21842	6149	10970	5497	1184	803	1461	456	337	465	646	164	129	256	63	38	75	22	17	16	13	9	7	6	2	6	2	0	6	2	4	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	40196	12945	17116	8749	2617	1889	2409	970	744	949	943	311	243	372	137	104	138	57	39	40	22	19	16	17	11	7	10	2	4	3	10	6	2	5	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_active	80	21889	6136	10778	5551	1157	852	1501	467	347	561	633	150	131	234	63	47	83	20	24	22	12	11	6	8	4	5	5	1	3	1	4	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	40394	12841	17137	8899	2605	1921	2386	968	725	894	975	306	243	379	123	107	144	56	45	45	16	20	13	12	15	5	12	2	2	3	10	7	2	2	2	8	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	22021	6041	10857	5638	1166	842	1450	459	336	518	640	145	136	232	57	47	87	18	31	27	8	13	6	5	6	4	5	1	0	2	4	2	2	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	40248	12826	17243	9015	2583	1892	2426	988	758	915	949	270	263	346	135	111	150	54	50	42	15	17	11	10	14	7	12	6	5	2	6	6	2	2	1	9	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	21776	6057	10952	5693	1159	847	1483	461	356	548	620	118	133	203	65	47	94	21	31	25	6	11	4	4	7	4	5	4	0	1	0	2	2	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
