label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	33638	13953	13609	4636	3022	3561	1610	1889	738	591	536	331	244	404	137	100	104	55	91	107	38	30	14	19	15	10	6	4	5	3	0	2	1	5	3	1	0	3	2	0	2	0	0	1	0	0	0	0	0
0.03	north1_active	80	8695	4034	10592	834	600	2748	698	1501	187	158	305	61	117	351	26	27	72	12	82	96	15	15	7	6	6	1	1	0	1	2	0	2	0	4	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0
0.03	north2_all	80	33499	13857	13618	4596	2936	3569	1613	1926	705	579	543	302	231	370	145	88	108	56	98	93	43	26	27	24	11	9	7	3	6	4	3	2	2	4	3	0	1	2	2	0	1	1	0	0	0	0	0	0	0
0.03	north2_active	80	8655	3955	10623	810	584	2750	717	1526	167	169	310	65	115	323	27	25	73	13	90	84	18	14	16	9	5	2	2	0	2	2	0	2	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	33418	13883	13581	4594	2965	3562	1586	2015	703	604	508	302	248	412	133	82	113	63	104	96	46	18	26	22	13	11	6	2	8	1	4	2	2	4	1	0	1	0	2	0	1	1	0	0	0	0	0	0	1
0.03	north3_active	80	8529	4027	10603	784	605	2756	709	1615	174	181	298	75	124	359	25	28	78	15	94	84	23	10	17	8	5	3	1	0	2	0	1	2	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1
0.03	north4_all	80	33456	13915	13572	4657	2904	3605	1577	2073	711	582	483	302	260	407	141	75	117	71	119	73	45	28	26	22	14	9	8	3	15	3	4	4	2	2	0	2	1	0	2	0	1	1	0	0	0	0	0	0	1
0.03	north4_active	80	8466	3957	10499	818	600	2732	720	1661	175	162	262	72	120	345	25	26	72	18	102	66	24	21	16	9	5	2	3	0	10	2	1	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north5_all	80	33604	13920	13596	4691	3015	3645	1558	2049	708	580	466	286	274	433	136	73	125	68	125	65	32	22	17	17	14	5	10	3	15	3	4	4	1	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	1
0.03	north5_active	80	8545	4004	10489	806	598	2749	691	1633	173	150	242	69	130	360	22	23	76	18	105	50	18	15	10	7	6	2	3	0	11	2	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
