label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52
0.03	north1_all	80	8359	4169	3229	1214	785	2045	440	382	301	212	164	141	102	108	70	66	49	19	20	31	17	12	17	9	10	9	4	9	3	4	1	3	5	2	1	2	1	1	3	1	0	0	0	8	1	0	0	1	0	0	1	0	0
0.03	north1_active	80	4455	2689	2438	410	216	1834	113	191	147	71	71	93	29	74	20	28	21	3	5	6	4	4	8	9	9	2	0	7	0	3	1	0	4	1	1	2	0	0	3	0	0	0	0	8	1	0	0	0	0	0	1	0	0
0.03	north2_all	80	8467	4231	3245	1200	780	2101	426	417	298	201	173	136	97	112	76	58	40	23	27	36	16	16	18	7	12	6	4	7	3	3	3	3	1	2	2	1	2	1	4	0	0	0	1	0	1	0	0	1	0	0	1	0	0
0.03	north2_active	80	4562	2760	2466	406	208	1923	107	226	152	68	70	91	27	82	24	27	17	4	8	8	3	6	7	5	12	1	0	6	0	2	2	1	0	1	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north3_all	80	8497	4225	3318	1179	770	2060	435	402	288	188	175	136	94	116	69	64	38	24	32	35	18	19	18	6	14	5	3	7	3	2	3	6	2	1	1	2	1	0	1	0	0	0	2	0	1	0	0	1	1	0	1	0	0
0.03	north3_active	80	4626	2734	2547	413	215	1880	111	222	144	80	68	96	26	86	26	35	13	5	10	9	6	7	6	3	14	1	1	6	0	2	2	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north4_all	80	8580	4333	3333	1206	787	2006	411	397	282	178	180	144	89	104	75	64	42	32	36	28	18	15	12	13	9	5	7	5	3	0	5	7	3	0	1	2	1	0	1	0	1	0	2	1	1	0	0	0	1	0	1	0	0
0.03	north4_active	80	4690	2808	2579	422	221	1828	102	238	151	81	70	91	31	70	31	37	17	7	10	7	7	6	3	9	8	1	2	2	1	0	2	3	3	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0
0.03	north5_all	80	8668	4353	3237	1212	815	1877	412	409	272	186	167	174	94	114	71	64	45	33	35	29	20	14	9	15	12	8	8	6	6	1	3	7	6	0	2	3	0	0	2	0	1	0	1	1	1	0	0	0	1	0	0	0	0
0.03	north5_active	80	4807	2785	2491	409	229	1692	99	239	151	83	67	99	38	81	30	43	16	6	9	6	11	4	4	9	9	2	4	2	3	0	1	3	5	0	2	1	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	8657	4350	3213	1211	823	1930	409	434	303	191	170	164	93	130	71	72	50	34	32	19	19	8	13	20	13	9	8	10	8	2	3	4	7	0	12	3	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	1	0
0.03	north6_active	80	4736	2805	2473	410	224	1740	94	259	171	72	78	82	38	99	29	48	26	6	7	3	10	2	4	12	8	2	4	5	3	0	1	0	4	0	12	1	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north7_all	80	8725	4320	3128	1224	860	1919	424	436	300	198	144	166	90	133	69	69	47	38	26	18	24	9	15	19	14	7	7	6	8	3	1	6	8	1	15	5	0	3	2	1	1	0	0	0	1	0	0	1	0	0	0	1	0
0.03	north7_active	80	4744	2771	2406	403	233	1716	104	258	168	82	72	80	36	107	23	44	29	9	5	1	12	1	3	13	8	2	3	4	3	0	1	2	5	0	14	4	0	3	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north8_all	80	8728	4233	3156	1238	857	1887	404	383	305	195	158	158	87	145	72	76	50	35	26	18	20	9	15	13	39	6	5	5	6	2	0	6	6	2	17	4	1	4	2	1	1	0	0	0	1	0	0	1	0	0	0	1	0
0.03	north8_active	80	4699	2724	2404	405	236	1686	95	218	174	78	73	79	27	117	23	45	31	6	4	6	10	1	3	9	32	1	2	4	2	0	0	2	4	0	16	4	0	4	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north9_all	80	8757	4275	3254	1206	841	1918	395	348	301	188	155	142	94	117	63	77	45	40	23	25	20	12	9	8	37	5	5	3	4	3	0	5	5	2	8	5	1	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north9_active	80	4678	2761	2470	392	250	1708	97	195	162	72	72	76	26	83	19	46	28	11	3	7	10	2	3	6	33	1	1	2	1	0	0	2	5	0	7	5	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north10_all	80	8738	4171	3203	1231	843	1812	424	374	292	180	160	167	91	111	68	72	49	37	24	27	14	11	10	8	38	4	4	5	5	6	1	5	5	3	5	5	1	4	4	2	1	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north10_active	80	4684	2706	2410	423	241	1617	115	208	165	61	73	92	22	79	25	38	27	9	3	9	7	4	5	5	33	1	2	4	1	1	0	2	5	0	4	5	0	4	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north11_all	80	8486	4290	3336	1239	799	2004	411	399	301	203	175	164	95	124	79	78	45	33	33	17	14	12	14	19	30	11	11	5	4	3	2	5	9	3	1	2	1	1	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
0.03	north11_active	80	4595	2750	2632	452	218	1809	101	192	171	72	73	91	29	84	28	47	19	10	3	5	7	2	7	14	26	5	5	4	1	1	1	2	8	1	1	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0
0.03	north12_all	80	8502	4166	3211	1237	806	1932	418	421	329	203	164	164	94	137	74	71	51	33	29	22	13	18	17	17	25	9	13	7	7	4	1	6	16	3	0	2	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0
0.03	north12_active	80	4671	2663	2508	452	215	1729	101	206	181	67	62	94	24	96	27	45	23	11	4	6	6	5	9	12	23	4	5	4	2	3	0	2	14	1	0	2	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0
0.03	north13_all	80	8551	4124	3223	1191	809	1977	403	438	342	192	167	159	88	130	72	65	41	30	23	26	13	15	16	23	20	8	8	6	7	4	1	5	11	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north13_active	80	4713	2655	2506	436	219	1774	101	226	180	57	63	92	30	87	24	42	19	7	4	8	5	3	10	17	17	3	3	3	2	3	0	1	8	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north14_all	80	8436	4155	3186	1203	836	1915	405	443	326	189	165	144	89	108	70	57	33	32	21	24	16	13	16	20	18	6	9	7	6	7	1	4	10	2	0	1	0	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	4633	2663	2472	422	241	1720	97	230	173	53	64	84	31	73	26	34	15	9	5	6	7	4	8	15	16	2	3	4	1	4	0	1	8	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_all	80	8391	4216	3226	1207	833	1975	404	438	307	188	164	137	87	101	77	46	29	40	28	20	22	10	14	17	8	8	7	5	7	8	0	1	6	2	0	1	0	2	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	4607	2717	2506	402	227	1797	95	229	151	64	65	74	34	70	28	25	14	9	4	6	10	1	5	13	5	3	1	3	1	6	0	0	5	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	8283	4224	3244	1196	802	2011	409	424	305	200	158	143	99	99	68	52	37	42	22	25	22	10	11	11	12	9	8	7	5	5	1	0	1	2	3	1	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_active	80	4520	2722	2519	395	213	1821	101	215	158	73	66	83	38	72	24	30	18	8	4	6	8	2	4	9	10	4	1	3	0	3	0	0	1	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	8449	4235	3236	1194	749	1990	408	401	302	209	159	144	95	95	60	56	42	42	30	24	21	9	9	13	13	7	7	7	6	5	3	0	1	0	3	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north17_active	80	4623	2726	2490	383	208	1799	101	212	158	72	64	75	33	71	23	28	23	9	5	5	8	2	3	9	10	3	2	4	0	3	1	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	8355	4170	3101	1176	771	1881	413	384	292	218	167	150	103	105	54	59	47	47	30	22	18	11	5	17	15	5	7	8	5	4	5	4	1	0	5	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	4478	2570	2366	374	214	1687	105	198	154	65	68	76	39	71	21	31	27	14	7	6	6	2	3	13	12	1	1	5	0	3	1	2	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	8197	3946	2920	1178	826	1700	419	367	294	218	167	149	99	109	56	53	49	43	31	27	15	15	9	19	16	3	8	6	5	2	6	4	1	0	4	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	4192	2326	2146	360	216	1494	98	184	156	63	71	63	35	68	19	25	23	12	8	7	4	4	4	16	13	0	2	5	0	1	3	2	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7924	3851	2721	1151	834	1540	417	358	274	209	177	159	98	107	65	47	51	40	29	19	14	14	10	22	19	7	7	7	6	3	4	4	1	2	2	2	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0
0.03	north20_active	80	3893	2192	1916	344	178	1334	86	180	126	72	76	72	32	66	24	19	26	10	7	7	3	3	3	18	12	1	1	4	1	2	2	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	8483	4227	3406	1191	817	2021	428	357	283	203	155	132	102	111	56	71	48	33	29	18	17	18	12	12	18	6	9	9	4	5	2	2	1	2	3	0	2	2	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0
0.03	south21_active	80	4500	2718	2632	423	208	1856	102	173	145	86	69	71	40	76	20	41	30	9	5	6	2	6	4	6	15	2	6	4	1	2	1	0	0	0	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	8426	4274	3329	1202	807	1947	440	371	279	193	163	132	106	111	57	59	52	31	23	21	20	14	15	14	16	6	8	8	4	9	2	2	2	3	3	0	2	1	3	0	3	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	4493	2738	2554	437	214	1779	110	186	160	80	77	76	41	77	19	31	29	5	6	9	5	3	6	7	13	1	4	4	1	4	1	0	0	0	3	0	1	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	8328	4142	3318	1185	824	2003	428	377	281	202	153	160	97	118	55	54	52	34	27	24	23	14	15	18	18	5	10	13	4	8	1	3	1	4	9	0	1	1	2	0	2	1	0	1	6	0	0	0	0	0	0	0	0
0.03	south23_active	80	4407	2639	2564	424	209	1814	118	211	160	75	69	89	32	76	22	24	29	1	8	8	7	4	5	10	16	1	5	6	1	4	0	0	0	0	9	0	1	0	2	0	1	0	0	1	6	0	0	0	0	0	0	0	0
0.03	south24_all	80	8383	4099	3267	1196	800	1936	440	406	299	194	155	170	93	121	64	54	53	41	29	23	18	12	16	17	27	8	12	12	3	8	3	2	2	4	6	0	0	1	0	0	2	1	0	1	6	0	0	0	0	0	0	0	0
0.03	south24_active	80	4480	2578	2520	413	215	1744	125	228	178	60	64	94	33	71	23	27	24	7	8	9	7	7	7	12	26	1	3	5	1	3	2	0	1	0	6	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0
0.03	south25_all	80	8340	4095	3257	1191	814	1876	410	404	289	211	165	183	89	125	70	54	45	41	26	28	18	14	12	18	22	9	11	13	2	6	3	1	1	5	7	0	0	0	1	0	0	1	0	0	6	1	0	0	0	0	0	0	0
0.03	south25_active	80	4472	2573	2476	409	213	1696	109	223	156	73	52	102	37	73	23	27	25	12	5	9	7	6	6	13	20	1	4	6	0	3	2	0	1	1	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
0.03	south26_all	80	8393	4126	3237	1189	778	1879	428	400	293	196	166	179	96	121	74	51	52	46	26	23	19	16	13	24	24	8	9	13	2	5	4	1	3	3	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	4537	2593	2417	430	200	1716	115	215	162	70	62	104	40	75	25	22	27	12	3	8	8	5	8	18	21	1	3	8	0	2	2	0	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	8382	4190	3189	1204	801	1934	406	363	277	203	152	157	99	127	70	61	57	37	20	23	19	12	11	26	15	6	7	12	1	6	5	1	5	4	2	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_active	80	4550	2695	2389	421	199	1766	113	185	155	78	54	89	38	85	23	33	26	8	3	7	7	3	6	20	11	0	3	9	0	3	2	1	5	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
