label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	north15_active	80	1817	1773	1079	334	1818	2463	266	213	234	133	99	28	282	29	97	125	179	41	19	80	68	59	25	97	6	5	67	11	5	10	12	2	32	23	3	2	3	1	2	0	1	4	2	6	2	1	2	1	2	1	1	1	3	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	6233	3302	1945	1163	2185	2610	549	423	397	300	238	187	381	125	136	173	216	84	61	104	81	81	47	98	30	10	61	15	13	17	17	12	33	27	6	7	5	3	5	2	5	3	7	9	0	2	3	1	3	1	0	9	2	0	2	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1800	1775	1082	345	1858	2432	265	209	228	129	110	29	327	30	79	132	197	43	21	70	63	66	33	91	6	5	55	12	4	10	11	5	29	24	3	1	3	0	2	2	2	2	3	7	0	1	1	1	1	1	0	9	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6180	3345	1937	1126	2180	2627	577	446	421	279	245	172	391	126	130	170	198	83	65	86	80	93	42	106	27	12	59	26	19	14	13	12	24	27	9	12	3	1	4	3	3	11	5	6	2	1	4	2	2	1	0	9	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	1801	1789	1054	342	1863	2429	258	235	249	128	121	36	337	29	77	133	176	45	24	52	63	74	31	102	8	5	53	21	8	8	7	3	21	25	4	7	1	1	3	3	1	10	1	2	2	0	1	0	0	1	0	9	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north18_all	80	6193	3369	1964	1114	2180	2694	582	425	408	284	254	163	377	125	127	152	227	99	56	82	60	82	49	93	31	16	51	29	16	12	17	13	31	18	10	16	2	3	4	4	5	13	3	6	2	3	4	2	4	0	1	12	0	0	2	1	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	1802	1812	1036	336	1858	2476	256	223	230	135	122	35	319	30	72	115	200	47	17	50	45	67	39	90	7	6	45	22	10	6	13	3	27	17	4	12	1	2	2	3	1	11	1	3	2	0	1	0	0	0	1	12	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north19_all	80	6204	3321	1926	1133	2183	2709	587	417	424	300	256	180	345	130	115	157	218	92	47	91	58	84	47	89	29	21	65	38	15	11	19	16	35	34	7	19	4	6	5	4	5	12	2	4	2	3	2	2	2	0	2	3	0	1	1	1	1	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north19_active	80	1764	1794	1012	340	1863	2479	251	218	235	143	131	50	286	28	61	119	188	40	13	55	41	68	34	79	6	9	61	27	9	4	16	5	32	33	3	15	3	2	2	3	0	11	0	2	2	0	0	0	0	0	2	3	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1
0.03	north20_all	80	6155	3286	1964	1096	2183	3016	571	396	420	281	249	192	312	130	123	155	245	87	40	112	71	85	49	86	29	28	70	33	11	13	22	10	34	43	3	23	5	5	7	3	5	3	1	3	1	3	3	1	2	1	2	5	2	1	1	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north20_active	80	1752	1782	1039	318	1836	2811	266	202	237	129	128	48	244	30	65	120	211	47	8	79	51	75	36	74	8	17	61	21	6	5	18	2	29	41	1	21	3	1	5	2	0	2	0	2	1	0	0	0	0	0	2	5	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	11035	2849	3315	1210	998	862	2244	1441	426	256	719	268	209	167	305	111	142	160	60	46	45	38	46	36	19	36	14	20	14	10	36	6	13	3	6	9	9	9	13	1	4	3	20	1	5	2	0	1	3	4	0	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	8528	659	2568	515	522	536	2076	1322	293	54	640	164	133	90	265	54	110	125	25	10	12	12	9	19	5	13	7	11	4	4	34	3	7	3	5	4	3	7	7	0	1	1	20	0	4	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	10996	2860	3226	1233	982	860	2191	1493	440	244	725	242	214	144	304	98	138	161	45	41	44	36	36	38	25	30	16	21	11	10	43	10	13	7	5	9	9	11	7	8	4	3	15	2	2	1	0	0	2	7	1	0	2	0	2	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	8487	640	2504	519	518	542	2031	1368	308	56	652	153	132	83	264	50	109	134	18	7	12	10	6	20	5	10	11	12	3	5	39	5	7	4	4	3	4	9	2	8	2	1	15	1	1	1	0	0	1	6	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	10487	2867	3056	1239	955	816	1970	1257	424	249	647	250	196	141	299	84	127	166	45	40	47	33	38	38	24	28	17	24	13	9	32	7	9	6	4	11	9	7	6	10	4	2	16	3	3	2	0	1	3	4	1	0	2	0	2	1	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south23_active	80	7955	677	2341	520	495	490	1787	1139	292	64	572	153	109	83	250	39	95	132	19	6	14	8	4	18	6	7	11	14	4	6	25	3	5	3	2	3	6	6	3	10	2	1	15	2	2	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	9842	2881	2866	1216	909	785	1815	1108	443	240	573	228	201	141	261	84	143	148	48	45	46	30	34	36	26	27	18	22	11	14	36	6	7	9	5	13	12	7	6	14	3	1	15	3	3	2	1	1	3	4	1	0	2	0	3	1	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south24_active	80	7177	695	2147	477	435	473	1647	979	285	66	492	139	116	74	217	39	102	118	20	10	17	8	6	17	6	9	12	12	2	7	23	3	3	6	2	5	6	6	3	14	1	1	13	2	2	2	1	1	0	2	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	9226	2836	2684	1187	923	827	1600	1112	423	245	472	226	201	134	248	84	132	133	52	52	43	33	34	39	22	28	13	26	11	16	31	7	7	8	6	13	7	15	8	12	3	0	7	3	3	2	2	1	4	2	1	0	1	0	1	0	0	5	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_active	80	6399	723	1948	460	442	473	1422	960	242	63	384	124	110	67	203	35	86	101	16	10	17	8	9	16	6	10	8	16	1	7	21	2	2	5	2	5	3	15	2	12	2	0	5	1	2	2	1	1	0	0	1	0	0	0	1	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	8881	2820	2627	1164	929	817	1478	1089	389	243	475	222	202	161	238	87	142	141	53	59	31	36	31	43	15	28	8	20	14	15	24	7	8	9	9	10	8	14	7	5	3	0	4	4	1	2	2	2	1	1	1	2	1	0	1	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	6022	714	1874	428	437	461	1296	928	215	63	367	123	111	93	198	38	95	107	19	11	13	6	9	22	2	10	5	10	0	3	15	2	1	6	6	5	4	14	3	4	3	0	2	0	0	1	1	2	0	0	1	2	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	8912	2805	2588	1210	896	791	1488	1091	378	251	464	213	193	157	222	97	131	121	56	52	32	43	31	40	16	18	8	16	17	12	28	10	8	7	9	8	6	16	5	3	3	0	3	5	3	1	3	3	2	3	2	2	0	0	1	1	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	south27_active	80	6092	713	1861	457	411	444	1305	931	216	58	356	113	109	89	185	46	90	96	20	11	12	7	7	20	4	5	6	7	0	0	19	2	1	2	7	2	4	15	1	2	3	0	2	0	2	0	2	3	0	3	1	2	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	south28_all	80	9450	2801	2817	1252	956	801	1642	1177	370	248	503	208	190	166	229	94	135	135	52	51	34	39	38	38	13	17	12	17	18	11	33	13	9	10	9	10	6	14	6	5	3	0	4	5	2	1	3	4	2	6	2	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0
0.03	south28_active	80	6711	692	2092	493	465	461	1451	1031	232	58	397	117	111	100	195	49	101	109	19	11	6	6	7	20	3	8	9	7	1	2	28	3	0	3	8	1	4	13	2	4	2	0	3	1	2	0	2	4	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	south29_all	80	10001	2809	3020	1300	992	845	1798	1324	436	260	547	216	233	143	265	94	144	136	52	46	45	40	45	33	18	22	20	20	23	8	49	13	6	10	8	9	4	10	5	7	6	1	8	4	4	1	3	6	3	8	1	4	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0
0.03	south29_active	80	7358	683	2329	533	499	505	1610	1206	298	60	457	130	150	79	237	53	112	115	23	8	11	10	8	18	7	9	13	7	6	2	46	4	0	3	6	0	1	9	1	7	1	0	8	2	3	0	2	6	0	8	0	4	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
