label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north1_all	80	2382	819	351	317	395	205	147	122	74	54	48	102	65	24	22	12	13	26	30	21	4	17	3	2	5	5	5	4	2	1	1	2	3	1	2	1	1	0	2	0	1	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1421	452	155	168	251	122	94	71	34	29	26	66	43	12	10	7	9	17	17	17	2	14	1	2	1	4	3	2	1	0	0	2	3	0	1	0	1	0	1	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2409	813	384	316	426	215	141	124	64	47	51	96	68	25	19	12	8	24	38	20	5	26	3	2	6	6	6	3	3	2	0	2	2	0	2	0	1	0	1	1	1	1	2	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1421	438	169	169	262	121	89	71	32	23	30	66	44	14	10	5	5	18	24	15	3	23	1	2	3	5	3	2	2	0	0	1	2	0	1	0	1	0	0	1	1	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2437	781	407	293	415	213	136	110	70	50	48	116	93	27	25	14	13	20	31	18	5	29	5	2	6	5	4	3	3	2	1	22	5	0	2	1	0	1	1	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1446	422	173	158	257	117	89	61	30	25	31	87	61	13	13	2	6	17	17	14	2	24	2	2	4	4	2	2	2	1	0	21	5	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2320	777	414	301	367	223	128	118	71	45	49	133	96	24	29	18	12	14	23	10	8	29	6	2	7	7	3	4	2	4	1	25	8	0	1	1	2	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	1376	417	177	160	232	120	82	62	29	21	28	79	68	16	13	6	6	12	11	4	1	23	3	2	4	6	1	2	2	2	0	24	8	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2222	762	378	288	344	203	124	119	64	50	45	115	84	23	30	22	12	9	18	7	8	23	6	5	5	4	3	4	3	4	1	23	6	0	1	3	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	north5_active	80	1263	411	167	134	210	104	76	65	28	26	28	64	61	13	15	8	7	7	8	4	0	17	3	4	3	2	1	3	2	2	0	23	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_all	80	2066	777	373	284	319	183	126	128	55	51	35	97	61	27	27	22	11	13	18	8	10	16	5	4	6	4	3	4	3	3	2	3	6	0	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	north6_active	80	1164	405	180	133	196	93	73	72	26	30	21	46	37	16	12	8	7	8	11	4	1	11	3	3	2	2	1	3	2	1	1	3	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	1947	752	374	263	309	186	124	118	56	55	34	75	66	29	21	21	16	14	20	7	9	12	5	5	3	1	4	2	2	1	1	5	1	0	1	2	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	1106	392	181	117	206	101	62	69	29	31	16	43	41	16	10	9	9	7	10	3	2	6	3	4	0	0	1	2	1	0	1	5	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	1895	732	378	253	315	198	135	106	50	53	33	86	71	30	20	19	24	12	26	9	9	13	8	3	4	0	1	1	1	1	3	6	1	0	0	2	3	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	1091	375	190	121	207	118	76	60	22	31	14	48	40	14	8	10	14	3	11	2	2	2	4	3	0	0	0	1	0	0	2	6	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	1865	734	387	270	294	212	133	108	54	49	37	81	82	28	22	15	25	12	31	13	10	21	7	4	1	1	1	0	1	0	2	8	1	2	0	0	5	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	1074	390	184	140	199	138	78	59	25	29	11	48	46	14	9	9	15	5	13	7	3	9	3	3	0	1	0	0	1	0	1	8	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	1892	720	375	268	282	211	141	91	50	40	42	76	71	25	23	16	21	13	25	15	9	26	6	5	1	3	2	0	1	1	3	4	1	2	0	0	5	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	1098	379	177	139	172	130	90	49	24	20	17	50	34	10	11	6	14	7	9	8	4	15	2	3	0	3	0	0	1	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_all	80	2370	815	376	311	398	191	160	100	62	58	64	131	92	35	34	16	14	26	47	10	13	36	2	6	3	7	5	1	0	4	3	14	4	1	2	1	4	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north11_active	80	1467	456	182	168	225	108	89	50	40	19	43	91	61	16	22	4	5	20	32	7	8	22	0	5	2	4	1	1	0	2	2	12	3	0	1	1	4	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_all	80	2250	799	359	301	392	195	165	97	60	42	59	109	74	34	30	17	13	24	58	15	7	23	1	7	3	5	4	1	1	3	3	11	4	1	1	1	1	3	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
0.03	north12_active	80	1387	432	177	173	232	111	96	44	35	15	37	78	47	14	15	5	6	18	37	9	5	13	0	5	2	1	1	1	1	2	2	10	3	0	0	1	1	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north13_all	80	2073	752	384	284	395	204	155	96	64	39	61	92	59	36	26	14	12	18	38	16	9	25	1	8	3	7	3	1	1	3	0	6	4	2	3	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	1213	387	182	159	261	117	91	43	32	14	37	61	40	18	14	3	6	13	26	10	4	13	0	6	1	5	1	1	1	1	0	5	3	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_all	80	1968	745	379	297	353	192	135	100	72	43	52	80	57	27	27	17	13	11	29	15	9	23	1	11	4	10	0	0	1	2	0	6	1	2	3	1	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	1131	372	177	153	235	115	82	50	32	16	32	54	39	15	14	4	6	4	16	8	4	11	0	9	2	6	0	0	1	0	0	5	0	1	1	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_all	80	1897	731	383	288	310	196	120	90	62	34	48	80	57	24	30	17	13	10	16	17	6	26	4	9	5	7	1	0	0	3	1	3	1	1	3	1	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1090	385	168	140	203	123	72	47	18	13	28	57	41	12	19	3	4	2	6	10	3	15	1	7	1	5	1	0	0	1	1	2	0	1	1	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	1817	702	364	299	292	215	114	101	55	43	42	81	43	26	34	18	13	14	19	13	7	27	3	9	7	5	2	1	1	2	2	3	2	1	1	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1041	370	158	147	163	137	73	57	18	21	17	54	32	12	23	6	3	5	9	6	4	16	1	6	1	3	2	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	1851	726	342	281	306	205	123	90	58	45	47	78	49	24	36	20	15	15	10	9	7	23	3	7	7	3	4	1	1	1	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1024	387	149	136	172	127	79	52	23	21	16	49	30	11	20	10	5	7	4	4	3	14	1	4	1	1	3	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	1876	714	327	282	309	220	140	100	58	51	45	71	50	23	29	22	11	15	10	7	8	23	3	8	6	6	3	1	2	2	2	1	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1018	389	146	141	175	132	85	61	25	18	20	41	27	11	15	9	6	8	4	4	4	15	1	4	1	2	2	0	0	2	0	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	1927	729	339	279	308	214	146	97	66	53	49	75	52	20	25	21	15	19	11	7	8	22	5	6	3	12	5	1	3	1	1	0	5	0	3	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1076	375	145	140	176	125	78	55	28	21	24	48	31	10	9	9	8	9	7	2	5	16	2	3	1	7	1	1	1	1	0	0	4	0	2	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	1892	720	330	283	318	231	164	89	74	45	44	67	66	19	23	18	15	20	13	11	8	18	5	7	3	13	3	2	3	2	1	2	5	1	3	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1082	367	133	147	189	129	78	48	28	17	22	40	38	10	8	7	8	11	8	6	4	12	2	3	0	8	0	1	1	2	0	2	4	1	2	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	2339	821	374	312	402	219	156	109	63	50	55	94	91	32	17	22	15	16	34	11	9	20	6	5	5	7	2	2	3	3	3	5	2	2	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_active	80	1415	446	188	169	247	124	88	57	24	21	26	52	52	15	10	9	7	11	23	9	4	17	4	2	2	4	1	1	1	0	1	3	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	2314	826	361	308	440	212	148	118	62	52	58	100	101	34	26	19	10	17	23	14	9	24	6	3	7	9	1	1	6	2	3	4	1	1	2	2	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south22_active	80	1409	454	180	164	276	122	76	73	29	19	33	61	60	15	16	8	4	12	13	9	4	20	2	1	2	5	0	0	2	0	1	2	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	2335	839	373	287	421	209	141	124	61	46	50	106	98	29	30	16	13	17	19	18	8	25	7	1	6	7	1	1	4	2	2	4	1	2	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	1377	462	191	149	272	126	75	77	28	22	23	68	57	13	16	7	4	10	12	14	3	19	2	0	4	4	0	0	1	0	0	3	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	2408	850	372	294	407	238	132	119	59	49	46	105	101	24	32	14	17	13	19	18	8	25	6	2	6	5	3	2	3	1	1	3	0	4	2	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south24_active	80	1464	453	182	156	247	142	76	77	34	24	24	72	55	12	14	7	5	10	12	12	4	19	3	0	3	2	1	0	1	0	0	3	0	3	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	2414	812	392	303	376	231	128	120	55	45	41	108	90	20	25	17	21	15	22	24	10	22	8	8	6	5	4	5	1	0	4	11	0	5	2	4	1	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	south25_active	80	1459	428	191	163	232	128	75	70	31	28	23	79	47	9	8	7	11	11	17	19	2	15	3	6	4	2	1	2	1	0	2	10	0	4	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	2412	791	386	304	387	239	134	110	64	44	35	109	100	18	27	15	20	16	21	26	10	7	7	10	5	8	6	5	0	1	8	18	1	4	1	2	4	2	1	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	south26_active	80	1487	426	200	170	248	123	88	64	39	21	21	80	56	9	11	7	12	13	15	22	3	5	3	8	3	4	2	2	0	0	5	16	1	3	1	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	2381	788	384	308	376	266	142	118	60	47	41	115	92	20	32	15	22	13	20	18	10	4	4	9	4	7	6	4	1	3	9	18	2	2	0	7	4	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	south27_active	80	1449	432	201	179	247	129	90	70	35	25	24	89	57	9	15	8	20	9	14	14	4	2	1	8	3	4	2	2	0	1	6	16	2	1	0	4	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	2330	813	361	279	395	240	144	124	62	42	54	108	104	20	34	21	19	14	33	15	5	6	5	4	4	5	4	3	2	4	6	9	2	0	1	6	5	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	1399	451	184	176	271	120	89	75	36	25	29	78	69	9	18	12	14	6	22	11	3	4	1	3	3	2	2	1	0	1	4	8	2	0	1	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
