label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	4603	3563	1131	676	1353	311	761	147	646	138	95	69	65	146	44	38	93	20	23	12	16	14	5	17	7	6	5	2	4	1	1	1	3	2	13	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north1_active	80	2780	2909	618	323	1199	115	671	18	604	90	47	14	17	131	26	17	89	12	9	7	11	7	1	14	1	0	3	0	2	0	1	0	2	2	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_all	80	4516	3499	1113	673	1377	295	699	147	661	127	91	79	62	120	40	40	85	22	24	11	15	8	3	22	5	3	5	1	6	1	0	1	2	5	14	1	0	1	0	1	1	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_active	80	2755	2836	597	319	1244	95	615	25	622	72	44	14	21	106	19	21	79	13	6	4	7	4	0	17	1	0	3	0	4	0	0	0	2	3	14	1	0	0	0	1	1	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0
0.03	north3_all	80	4516	3567	1080	709	1321	284	703	172	628	131	105	87	57	106	37	36	81	18	23	11	14	15	4	20	6	2	7	1	6	4	1	0	2	5	16	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2747	2921	564	339	1185	104	629	34	595	70	52	15	18	91	15	20	74	11	6	3	9	8	1	16	1	0	4	1	4	3	1	0	2	3	16	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4564	3591	1066	713	1404	272	697	185	627	130	105	86	58	109	41	35	79	18	19	17	13	12	10	15	5	4	8	1	4	4	1	1	1	3	19	1	2	2	1	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2747	2970	540	334	1261	100	631	35	594	67	57	16	23	92	14	23	73	9	5	3	8	8	2	11	1	0	4	1	3	3	1	1	1	1	19	1	1	1	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4611	3651	1059	662	1279	291	663	199	617	125	105	87	61	144	51	27	94	19	19	15	15	11	12	13	5	6	8	7	3	3	2	1	2	2	14	0	2	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2798	3044	537	317	1135	105	590	47	579	71	56	18	26	130	21	14	89	9	7	4	9	7	3	8	3	1	5	6	2	3	2	1	2	2	14	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
