label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55
0.03	north1_all	80	4419	1370	887	757	448	1020	241	220	691	180	76	117	107	48	60	70	19	55	11	76	12	14	14	10	5	3	1	0	5	5	1	9	3	2	2	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	2682	309	228	475	256	927	119	114	646	151	45	85	85	31	33	55	7	49	3	71	5	6	6	7	2	0	0	0	2	1	0	8	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	4713	1421	877	796	464	1142	247	244	875	211	94	127	108	56	52	76	23	62	16	107	13	11	15	10	5	2	2	0	2	6	0	7	6	24	2	0	1	1	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	2978	287	241	521	283	1061	126	134	829	185	61	101	89	45	29	68	7	60	6	103	4	4	7	7	2	1	0	0	1	2	0	7	6	24	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north3_all	80	4611	1446	871	846	484	1245	241	239	904	226	91	127	145	79	46	54	22	53	15	77	15	10	11	10	5	2	5	2	3	8	0	6	11	24	1	2	2	2	1	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north3_active	80	2923	296	240	548	288	1156	124	130	854	196	51	109	126	65	24	46	8	52	5	73	6	3	5	7	2	1	0	1	1	3	0	6	11	24	0	2	2	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north4_all	80	4676	1484	845	831	505	1316	219	241	886	227	103	131	172	89	49	60	22	40	15	85	12	5	10	10	4	2	4	2	5	9	1	7	14	22	1	2	2	2	1	1	0	0	3	0	6	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	3026	318	230	558	301	1223	100	137	852	193	58	106	150	66	25	53	7	35	4	80	8	2	7	5	0	1	0	1	2	4	0	5	13	22	1	2	2	1	0	1	0	0	3	0	6	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	4547	1497	820	795	513	1367	224	238	858	220	93	115	181	93	54	75	25	41	15	77	9	12	11	14	4	4	4	5	4	6	1	4	14	4	1	3	2	1	2	0	0	0	3	0	6	0	11	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2975	325	230	531	295	1273	104	141	822	182	50	88	156	71	29	67	10	35	3	68	7	7	9	8	1	1	0	1	1	4	0	2	13	4	1	3	2	1	0	0	0	0	3	0	6	0	11	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4421	1456	841	787	497	1427	218	234	891	196	101	96	162	98	60	67	22	46	12	61	7	16	10	16	6	3	3	4	4	5	1	4	11	4	1	2	0	0	1	1	0	0	3	0	6	0	11	0	1	0	0	1	0	0	0	0
0.03	north6_active	80	2863	321	220	527	275	1323	100	141	856	159	55	70	134	75	39	56	7	39	4	54	6	10	9	11	2	0	0	1	1	5	0	2	10	4	1	2	0	0	0	0	0	0	3	0	6	0	11	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	4358	1446	859	779	498	1382	221	242	897	202	108	95	153	105	63	74	26	49	9	58	4	16	7	16	8	6	2	4	7	3	1	5	5	4	1	2	1	0	1	1	0	0	0	0	0	0	14	0	1	1	0	1	0	0	0	0
0.03	north7_active	80	2791	318	224	527	276	1283	114	148	862	168	61	66	129	88	49	55	8	45	3	53	1	8	4	14	3	1	0	0	1	3	0	4	4	4	1	1	1	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	4530	1433	866	800	505	1380	230	248	861	198	105	106	172	95	69	79	30	57	8	62	9	14	7	12	10	6	2	3	7	3	0	5	1	0	1	2	1	0	1	1	0	0	0	0	0	0	3	0	1	1	0	1	0	4	0	0
0.03	north8_active	80	2905	323	215	527	279	1279	113	151	829	153	61	73	145	78	54	56	11	51	3	57	1	5	4	10	3	3	0	0	1	3	0	5	1	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	0	0
0.03	north9_all	80	4670	1483	889	837	503	1371	219	233	918	213	103	106	179	85	54	74	30	42	5	86	13	10	10	9	11	7	1	2	7	5	0	4	1	2	1	3	1	0	0	0	0	0	2	0	0	0	3	0	1	1	0	1	0	4	0	0
0.03	north9_active	80	3011	336	217	558	276	1276	103	130	883	160	59	76	152	68	41	52	9	36	1	85	1	3	5	8	2	3	0	1	1	5	0	4	0	2	1	1	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	4	0	0
0.03	north10_all	80	4603	1508	888	845	526	1223	229	218	876	219	93	106	149	68	53	63	37	34	5	108	14	8	7	10	10	6	2	2	5	7	2	2	4	2	3	2	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	4	0	0
0.03	north10_active	80	2955	342	211	574	288	1125	97	111	841	165	44	82	118	55	34	49	13	30	1	103	2	4	4	7	1	2	0	1	1	7	2	2	3	2	3	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	4	0	0
0.03	north11_all	80	4660	1432	855	828	475	1312	202	214	943	220	87	129	163	72	54	64	40	55	24	66	14	10	7	7	10	2	6	5	3	9	1	5	3	2	4	1	8	0	0	0	0	0	9	0	5	0	1	4	0	0	0	0	0	0	0	0
0.03	north11_active	80	3068	318	218	546	271	1206	87	131	902	181	42	94	130	53	33	54	19	52	6	62	3	6	3	5	6	1	2	2	0	9	0	4	3	2	2	0	8	0	0	0	0	0	9	0	4	0	0	4	0	0	0	0	0	0	0	0
0.03	north12_all	80	4560	1412	854	804	489	1328	212	204	878	218	97	127	167	72	55	67	43	59	19	97	11	13	8	9	7	3	3	3	2	7	3	5	2	2	8	1	8	0	2	0	0	0	11	0	2	1	1	4	0	0	0	0	1	0	0	0
0.03	north12_active	80	2984	301	236	550	279	1220	93	115	838	183	44	90	136	51	29	53	17	56	6	93	3	8	4	7	5	1	0	1	0	7	1	4	2	2	6	0	8	0	0	0	0	0	11	0	1	0	0	4	0	0	0	0	0	0	0	0
0.03	north13_all	80	4555	1434	841	805	477	1420	236	204	846	210	92	119	151	77	48	70	36	48	16	92	15	12	9	8	6	3	3	4	3	4	6	0	5	0	7	1	1	0	2	0	0	0	11	0	0	1	1	0	0	0	0	0	2	0	0	0
0.03	north13_active	80	2972	282	243	564	263	1307	101	113	812	177	41	88	124	57	31	56	15	44	8	90	5	7	6	6	4	0	1	1	0	4	3	0	5	0	6	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	4515	1437	816	800	517	1368	240	204	930	202	107	116	150	76	40	77	32	45	16	85	14	13	9	7	3	3	5	4	1	1	6	1	6	3	5	0	1	0	3	1	0	0	3	0	0	1	1	0	0	0	0	0	2	0	0	0
0.03	north14_active	80	2924	279	241	569	282	1263	110	115	894	168	48	87	126	56	24	62	10	42	12	81	5	6	5	7	2	0	3	2	0	1	4	0	6	3	4	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4533	1510	826	771	511	1294	242	197	873	181	121	95	161	75	41	80	24	43	21	49	11	9	9	6	4	6	5	6	2	3	4	2	5	5	1	0	1	1	1	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1
0.03	north15_active	80	2962	295	245	543	283	1183	112	111	833	143	54	73	134	58	27	63	11	38	13	46	5	3	5	3	2	2	3	3	0	2	3	1	5	5	1	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4562	1447	839	782	548	1297	217	213	848	196	122	84	172	71	43	66	23	39	24	67	10	7	10	10	6	6	6	7	2	3	1	4	14	5	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north16_active	80	2982	301	225	543	301	1195	92	127	808	154	57	66	145	52	30	53	11	34	14	59	6	3	4	6	2	2	2	4	0	2	1	3	14	5	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	4658	1438	832	771	508	1226	224	208	796	187	110	88	163	70	45	73	22	47	24	60	10	7	9	7	4	5	5	5	2	5	0	4	13	3	0	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
