label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28
0.03	north1_all	80	1	2	1	3	15	0	0	0	0	0	0	0	10	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	0	2	0	3	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3	3	3	5	27	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1
0.03	north2_active	80	1	2	1	5	27	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
0.03	north3_all	80	2	0	1	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
0.03	north3_active	80	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
0.03	north4_all	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	0	1	1	2	15	0	0	5	0	1	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
0.03	north5_active	80	0	0	0	0	14	0	0	5	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
0.03	north6_all	80	0	0	0	0	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north6_active	80	0	0	0	0	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north7_all	80	1	0	2	0	9	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1	0	1	0	9	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6	2	1	1	37	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	4	0	0	0	35	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5	1	1	0	29	0	0	4	0	0	0	0	1	6	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north10_active	80	0	1	1	0	28	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
