label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77
0.03	north1_all	80	37124	15346	8498	5558	4009	7162	3920	1776	1462	1666	864	784	1062	1396	1050	335	305	323	261	218	156	187	187	142	84	115	77	65	41	50	39	27	24	32	20	14	24	11	19	15	5	30	12	5	16	5	1	2	2	0	2	0	1	7	2	3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	19195	6626	2680	1707	907	6265	3051	506	581	1103	229	383	831	1236	913	80	146	198	150	123	58	123	124	108	32	93	49	20	14	19	16	9	13	25	4	2	10	6	5	10	2	27	8	1	15	2	1	1	0	0	1	0	1	5	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	36937	15272	8566	5642	3965	7401	3980	1755	1495	1598	904	786	1124	1446	1047	317	300	316	236	238	158	172	177	142	78	125	59	57	41	47	38	31	22	32	15	15	25	10	21	18	7	20	13	3	2	2	1	3	4	2	2	0	2	3	2	3	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	19087	6658	2740	1716	915	6494	3146	500	580	1064	242	369	880	1289	919	85	135	203	138	138	52	108	108	102	37	103	34	13	17	17	15	7	12	26	5	1	11	6	5	13	4	17	11	1	0	2	0	1	2	0	1	0	1	1	1	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	36646	15055	8524	5598	3936	7797	4120	1729	1485	1532	942	801	1030	1397	995	301	311	303	263	233	185	160	165	128	90	126	61	48	44	47	38	28	19	38	13	17	30	13	18	16	8	21	20	3	4	2	1	2	3	2	1	0	2	2	2	1	0	2	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	18856	6590	2698	1713	868	6865	3251	489	581	1032	241	366	795	1240	877	89	145	190	165	124	57	102	104	88	34	102	37	11	16	18	12	6	8	25	4	3	14	8	3	10	4	16	19	1	0	2	0	1	3	0	0	0	1	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	36668	15154	8477	5651	3854	7851	4252	1742	1524	1622	969	832	958	1532	1009	312	311	286	267	234	184	164	159	127	90	113	64	37	31	42	32	31	20	29	13	16	23	11	12	11	11	8	16	2	11	2	2	3	4	2	1	0	1	2	0	2	0	2	0	3	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	18865	6603	2688	1748	848	6909	3366	498	604	1109	250	406	728	1375	896	93	137	182	164	121	61	102	88	85	37	95	36	7	13	12	12	7	7	14	5	3	14	7	1	6	3	3	15	1	8	1	1	1	4	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	36875	15147	8463	5669	3859	7715	4221	1814	1480	1614	939	836	949	1566	1025	337	319	323	292	210	177	175	168	127	89	119	75	47	29	42	32	26	23	38	10	14	21	14	13	13	8	8	14	2	17	3	4	5	5	2	3	0	0	2	0	2	0	2	0	3	0	2	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	19026	6602	2686	1779	855	6779	3299	550	593	1081	242	422	723	1401	904	108	145	223	185	100	64	102	106	90	40	99	45	9	10	13	13	6	9	21	2	3	14	10	0	9	0	3	11	1	13	1	1	3	5	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
