label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north6_all	80	38360	17102	7463	4958	8269	3243	3969	2301	2934	1982	722	1234	539	426	405	455	630	474	449	160	225	108	117	90	67	182	98	84	72	90	47	37	33	25	19	17	13	21	9	11	16	1	18	3	2	6	2	2	4	3	3	1	1	1	1	1	0	1	0	7	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	21237	9553	3458	2337	5316	1672	2512	1293	1825	1201	329	728	230	187	216	261	404	311	276	81	134	52	64	44	29	114	52	53	32	67	28	17	20	12	8	11	11	9	7	4	8	1	5	2	0	3	2	1	3	1	1	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	38549	16975	7553	4977	8380	3220	3927	2321	2884	1851	744	1258	532	472	403	455	619	524	494	147	254	117	118	96	69	213	88	79	79	97	39	25	32	24	16	14	12	13	9	11	13	4	24	3	1	11	3	2	3	2	2	1	1	1	1	1	1	1	0	2	1	1	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	21320	9428	3571	2375	5376	1699	2473	1322	1770	1121	332	740	232	201	206	260	374	328	305	65	137	56	61	46	33	137	46	48	43	77	25	8	20	10	7	8	8	7	6	5	8	2	13	1	0	7	2	1	3	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	38679	17189	7595	5025	8381	3126	3899	2217	2780	1886	768	1270	531	490	411	473	616	569	495	159	264	108	110	100	69	173	85	86	84	94	34	27	24	23	15	11	12	18	9	7	14	6	16	2	5	9	3	2	1	3	1	2	1	1	0	7	1	0	0	1	1	1	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	21407	9560	3574	2356	5325	1658	2462	1269	1675	1131	354	782	228	220	200	264	371	356	282	70	143	55	54	52	30	121	57	45	43	72	22	11	13	9	7	6	9	5	6	4	8	2	12	0	2	7	1	0	0	2	1	0	0	1	0	7	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	38737	17129	7549	5022	8628	3212	3865	2277	2739	1835	796	1260	510	465	423	492	596	512	461	163	245	101	96	114	70	150	90	72	72	72	37	31	22	21	18	16	12	16	4	8	11	11	13	4	8	12	3	2	2	3	1	3	2	0	1	10	2	0	0	0	2	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	21366	9452	3614	2367	5521	1727	2360	1303	1659	1075	370	771	211	218	219	283	390	301	259	76	139	47	41	65	30	102	66	42	37	48	21	14	11	6	9	10	6	4	1	4	5	5	13	2	4	10	1	0	0	2	1	0	0	0	1	9	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	38413	17049	7567	5066	8781	3231	3875	2322	2787	1888	807	1248	479	458	443	486	550	509	418	171	214	99	102	118	69	133	87	99	65	85	42	31	18	13	22	15	19	17	4	5	9	16	1	6	11	9	2	3	6	6	1	2	2	0	1	10	1	0	0	0	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	21125	9357	3537	2369	5626	1725	2384	1322	1732	1153	381	758	198	216	242	267	358	308	240	73	124	47	49	67	30	93	70	55	35	59	24	16	11	6	9	10	12	4	4	2	5	7	1	2	5	6	1	1	2	3	1	0	0	0	1	9	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	38870	17335	7658	5012	8513	3147	3806	2257	2857	2085	821	1239	476	399	432	484	600	413	367	168	274	128	97	99	80	159	83	101	87	81	46	40	26	20	11	18	10	8	11	5	6	9	16	8	5	5	3	0	6	1	5	1	4	1	1	8	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	21431	9694	3654	2378	5462	1672	2301	1292	1792	1213	379	779	209	164	216	294	359	222	228	94	165	66	46	52	34	98	54	75	52	48	25	18	18	7	2	9	5	3	7	2	3	6	14	3	4	2	1	0	4	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	38908	17342	7608	5054	8500	3184	3763	2213	2905	2158	830	1218	497	410	429	534	534	432	380	192	261	119	89	105	76	121	92	122	65	80	38	41	18	25	14	23	13	8	15	9	8	9	18	7	5	4	6	0	12	2	6	3	1	1	0	7	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	21354	9702	3574	2423	5419	1685	2297	1279	1839	1242	407	755	226	177	227	326	333	236	248	98	148	49	41	55	32	82	65	91	36	45	23	16	13	9	4	12	5	2	7	3	3	6	13	3	3	2	4	0	10	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	38818	17223	7615	5063	8460	3197	3657	2170	2893	2052	789	1307	523	417	429	528	516	471	392	206	232	106	83	116	79	118	91	99	59	74	31	42	14	24	16	18	16	11	17	9	8	10	10	5	7	7	6	1	10	1	6	3	1	0	0	7	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_active	80	21372	9557	3574	2412	5406	1670	2240	1246	1819	1197	392	825	236	177	232	318	340	268	247	104	119	46	39	59	37	81	60	67	36	42	17	15	10	10	4	10	5	4	8	3	3	7	5	2	3	4	4	0	9	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	38831	17201	7653	5096	8488	3186	3856	2280	2943	2026	785	1313	520	419	428	488	538	473	423	205	225	107	100	119	67	122	104	96	66	88	26	36	12	23	14	19	16	12	13	7	9	12	11	3	6	6	5	1	10	2	4	3	3	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	21452	9543	3570	2412	5425	1702	2398	1317	1832	1211	399	808	242	178	237	273	344	278	255	105	125	44	48	61	34	84	61	64	45	48	18	16	9	9	5	10	5	6	5	3	3	8	5	2	2	3	3	0	7	1	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	38720	17024	7675	5040	8629	3156	3849	2329	2985	1922	750	1278	507	426	445	496	570	476	390	200	238	107	105	111	73	148	86	77	66	114	20	39	17	26	15	19	13	20	13	5	7	12	10	1	7	6	4	2	9	1	1	3	4	1	2	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2
