label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	57630	14145	8871	8763	8840	4056	4034	4029	1999	1299	949	773	858	545	580	467	683	247	218	353	180	113	108	265	177	170	127	120	87	38	40	27	38	45	22	18	18	12	12	9	17	10	7	5	13	6	3	2	5	8	5	5	2	0	0	1	0	1	2	0	22	4	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north1_active	80	45565	3389	3088	6259	7446	2622	3143	3415	1389	626	349	206	557	156	383	275	570	67	65	287	89	48	28	237	148	141	102	110	66	7	28	7	11	37	3	14	7	7	5	5	10	7	5	1	9	0	1	2	1	7	3	4	0	0	0	1	0	1	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	57164	14186	8840	8531	8824	4114	3978	3948	2027	1267	962	769	864	573	591	484	709	224	227	349	201	129	113	307	150	145	113	135	88	38	40	33	37	33	17	17	22	24	10	10	11	10	7	2	7	3	4	2	7	3	5	5	2	0	0	1	0	2	2	0	22	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north2_active	80	45005	3412	3074	6037	7437	2616	3138	3313	1395	630	345	197	554	155	391	291	602	50	52	293	99	58	27	282	127	120	88	125	66	6	25	8	12	27	3	11	8	19	6	6	8	6	5	1	6	0	2	2	1	2	3	4	0	0	0	1	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	57384	14140	8757	8450	8765	4070	4080	3789	2034	1298	961	803	900	580	584	455	703	255	218	375	201	123	115	299	191	111	108	123	75	42	45	31	29	30	16	23	19	21	15	7	13	9	10	3	12	3	4	0	7	9	2	7	3	1	0	0	0	1	1	0	22	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	45180	3413	3064	5969	7398	2606	3206	3174	1394	643	347	207	600	160	381	269	600	61	52	311	107	52	24	278	167	86	87	115	52	5	29	8	10	28	5	14	4	17	6	5	7	5	8	1	11	1	2	0	1	8	0	6	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	57361	14113	8652	8457	8504	3943	4048	3685	2150	1297	965	806	879	546	583	473	669	268	221	367	190	129	109	274	179	95	98	125	62	40	45	28	26	22	19	29	18	23	11	8	9	20	12	3	12	5	7	2	7	9	1	2	2	2	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north4_active	80	45112	3405	3082	5995	7185	2511	3215	3067	1494	625	333	199	579	148	366	285	565	63	57	306	103	53	23	246	156	73	78	112	39	8	26	7	7	18	5	17	5	21	2	6	5	14	11	1	12	2	7	1	0	8	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	58001	14246	8576	8658	8512	3963	4232	3734	2144	1326	989	796	806	516	549	519	665	268	225	397	202	128	96	245	208	97	113	127	64	33	37	28	26	31	17	23	17	18	12	10	12	23	9	3	11	4	7	5	6	9	1	2	2	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
0.03	north5_active	80	45878	3434	3120	6173	7149	2555	3404	3136	1477	644	370	196	544	135	328	327	559	69	61	325	114	43	23	214	183	74	92	112	46	10	19	7	8	24	3	14	6	14	1	6	7	19	9	1	11	3	7	4	0	8	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	57753	14331	8601	8697	8469	4110	4243	3814	2108	1284	998	754	781	506	546	534	678	264	227	370	196	134	94	201	187	101	129	119	74	32	41	23	26	41	16	22	11	21	10	8	12	27	7	2	15	5	7	9	6	10	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
0.03	north6_active	80	45539	3467	3113	6246	7084	2665	3359	3200	1465	609	359	182	507	135	318	341	578	69	66	308	115	45	20	173	156	81	103	103	54	9	18	4	12	33	3	13	4	14	1	6	7	24	7	1	15	3	6	8	1	8	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	57749	14254	8673	8821	8567	4159	4258	3872	2086	1243	1001	732	844	518	568	564	671	254	218	366	194	142	101	201	178	100	128	128	81	33	46	24	26	39	10	26	9	18	8	7	12	15	5	2	11	4	4	11	4	6	0	0	1	1	2	0	1	2	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
