label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	7286	8560	1579	1289	637	597	695	218	190	296	72	143	75	87	95	22	51	8	7	7	25	18	2	5	2	1	2	1	1	0	0	0	1	1	0	0	1	0	0	0	0
0.03	north1_active	80	2978	7580	404	856	151	418	589	82	104	251	19	116	61	74	78	5	42	6	4	5	22	17	0	5	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north2_all	80	7286	9065	1543	1374	620	591	705	216	192	300	75	169	86	69	130	22	54	16	9	9	34	22	2	2	3	2	3	1	0	1	0	0	1	1	0	0	1	0	0	0	0
0.03	north2_active	80	3049	8134	431	930	126	420	607	90	107	254	19	143	71	61	118	3	47	11	5	6	27	18	0	2	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north3_all	80	7272	9066	1568	1367	613	617	699	205	188	280	78	170	113	85	129	21	32	21	11	14	23	16	5	1	3	2	2	1	0	1	0	0	2	1	0	0	0	1	0	0	0
0.03	north3_active	80	3030	8103	466	897	126	423	600	87	101	235	14	146	95	79	118	4	27	17	6	9	17	12	2	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0
0.03	north4_all	80	7219	9022	1562	1373	607	626	799	214	183	262	87	171	104	87	139	18	22	21	15	15	15	19	5	1	2	4	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0
0.03	north4_active	80	3018	8056	448	926	121	417	689	93	102	217	19	145	85	79	126	4	19	15	10	9	11	15	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	north5_all	80	7240	8874	1557	1341	630	600	795	217	179	232	86	180	113	113	132	24	26	18	12	18	13	14	5	0	1	3	0	2	0	0	2	1	1	0	0	0	0	1	0	0	0
0.03	north5_active	80	2963	7861	436	882	132	402	685	83	91	192	16	156	87	99	118	5	23	15	9	10	12	13	2	0	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0
0.03	north6_all	80	7189	8005	1521	1235	654	576	738	217	168	230	82	151	80	100	70	26	31	13	11	11	15	8	4	0	1	3	0	2	1	0	2	2	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	2804	6971	390	792	146	374	635	79	78	183	17	128	56	84	57	6	25	10	7	6	14	7	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	7138	7180	1510	1165	659	546	594	216	189	192	74	127	70	85	60	28	31	12	9	9	21	2	2	0	1	1	1	1	1	0	2	2	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	2685	6128	374	717	158	340	485	72	84	147	20	103	45	70	52	6	26	9	4	5	18	2	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7171	6289	1545	1090	673	550	565	209	178	188	72	92	54	59	49	25	30	22	11	3	28	6	3	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	2551	5250	358	632	181	337	449	66	74	136	17	71	36	45	42	7	24	14	3	2	25	5	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7087	6042	1588	1169	659	551	497	214	182	185	76	85	59	56	63	16	26	29	8	5	32	13	3	2	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2518	5014	373	698	197	332	373	68	80	144	23	69	39	45	55	5	20	21	3	4	27	12	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7049	6084	1557	1247	679	531	574	222	166	186	78	114	64	64	59	11	29	31	5	6	27	16	2	3	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2485	5071	359	730	207	323	445	71	75	144	23	95	43	41	51	2	22	21	2	5	24	14	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7017	8317	1538	1286	616	591	706	208	203	268	93	140	86	110	98	31	29	35	10	7	39	17	0	8	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	2787	7333	419	822	123	367	603	90	100	212	16	114	65	89	89	10	25	28	7	4	38	7	0	8	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
