label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	north1_all	80	2534	2258	597	317	350	169	108	126	99	103	37	21	28	11	15	15	6	3	8	2	1	1	0	5	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	2
0.03	north1_active	80	1292	1445	319	153	210	92	48	91	59	69	29	7	20	7	10	10	6	3	2	0	0	0	0	5	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2536	2242	632	323	319	170	108	152	105	105	43	25	20	11	24	20	4	6	6	2	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2
0.03	north2_active	80	1276	1462	329	153	196	94	47	104	71	66	36	7	13	7	20	17	4	5	2	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2486	2208	609	330	323	150	104	178	90	116	50	22	19	9	36	22	5	6	6	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	1257	1393	322	153	184	84	47	121	63	68	35	7	15	6	27	16	3	4	2	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2475	2021	594	339	295	139	89	144	81	102	50	21	12	10	40	18	8	9	0	1	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	1244	1241	305	162	165	74	40	96	54	53	28	6	9	7	29	13	2	7	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2399	1855	570	306	301	127	93	125	70	85	57	18	15	8	36	24	8	9	1	2	3	1	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	1160	1140	295	141	156	59	47	76	42	43	27	7	12	6	23	18	2	7	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2333	1628	578	292	295	132	85	121	71	69	53	17	13	6	27	13	10	9	2	1	4	1	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1098	999	304	136	150	66	42	77	43	32	29	6	12	6	16	8	4	8	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2281	1679	582	293	276	127	89	130	87	63	47	17	16	9	14	17	9	5	4	1	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1066	1045	303	137	143	58	44	80	56	32	27	8	12	7	6	14	5	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
