label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35
0.03	north1_all	80	3212	1134	496	429	448	414	128	89	59	40	115	30	22	68	15	5	5	9	9	3	4	2	8	1	5	1	2	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	1781	613	231	228	257	274	58	53	29	19	99	14	10	48	1	3	2	3	6	2	2	1	5	1	4	1	1	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	3095	1070	493	440	427	395	140	89	54	39	88	24	25	58	10	6	4	9	14	4	5	2	4	2	3	3	2	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	1655	553	233	232	248	253	63	52	27	15	62	9	10	39	1	4	2	2	11	2	3	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	3142	1067	495	441	394	371	142	86	47	46	80	23	20	44	5	4	5	11	11	4	3	3	3	1	3	3	1	2	0	1	0	0	0	0	0	0
0.03	north3_active	80	1730	538	240	238	225	239	75	54	22	14	49	12	10	32	0	3	4	4	8	2	1	1	1	0	1	2	1	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	3210	1154	489	447	403	459	126	81	57	48	93	13	21	46	7	5	7	12	12	3	5	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	1783	601	230	240	243	323	73	51	29	17	49	7	8	35	3	4	6	5	7	1	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	3365	1161	471	464	406	511	126	89	62	38	95	16	20	49	7	9	10	10	13	3	6	3	1	1	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north5_active	80	1920	620	223	246	260	352	79	55	32	15	56	11	10	34	4	6	6	5	7	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	3390	1163	476	490	421	542	137	98	65	39	99	16	21	58	8	10	12	7	13	5	4	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	1959	640	213	263	275	372	90	54	35	17	57	10	13	38	6	7	7	1	8	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3373	1156	491	512	439	515	136	106	64	39	102	21	21	53	7	9	10	14	15	7	5	2	2	1	0	0	2	1	0	0	0	0	0	1	0	0
0.03	north7_active	80	1929	635	218	285	290	332	91	56	38	19	60	10	11	30	6	5	5	4	9	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	3365	1186	457	495	463	531	131	96	72	42	116	29	19	54	12	7	5	13	13	11	6	0	2	2	0	2	2	0	0	0	0	0	0	1	0	0
0.03	north8_active	80	1942	647	203	282	281	353	88	52	41	21	75	13	10	31	6	3	2	3	10	9	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
0.03	north9_all	80	3390	1212	454	436	449	526	125	101	66	40	107	35	18	43	12	6	4	15	12	9	6	0	2	2	2	2	0	0	1	0	0	4	0	1	0	0
0.03	north9_active	80	1959	657	200	245	259	367	82	54	38	23	69	16	8	22	6	2	1	8	9	7	3	0	1	0	1	2	0	0	0	0	0	4	0	1	0	0
0.03	north10_all	80	3353	1211	438	444	450	540	127	97	68	40	102	33	20	54	12	6	7	16	10	6	6	0	0	2	2	3	0	0	2	0	0	4	0	0	0	0
0.03	north10_active	80	1930	659	196	265	250	384	83	55	34	22	67	15	13	30	6	1	3	8	7	4	4	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0
0.03	north11_all	80	3035	1090	477	414	367	327	112	93	73	25	91	19	11	32	8	7	21	11	6	4	1	1	2	0	2	3	0	2	0	0	0	1	0	0	0	0
0.03	north11_active	80	1642	578	219	227	227	212	47	52	39	12	56	8	3	17	4	5	13	8	6	1	0	0	1	0	2	3	0	2	0	0	0	1	0	0	0	0
