label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	north1_all	80	11109	2877	2126	1203	891	705	1152	437	343	370	528	223	167	157	125	164	82	109	72	91	46	84	33	61	36	37	65	106	47	19	20	24	15	12	25	31	30	10	7	7	4	4	6	6	8	6	5	8	4	1	5	1	5	1	1	2	3	1	1	3	2	2	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8515	971	1267	408	321	177	961	176	107	212	433	120	42	53	58	99	25	65	51	66	10	51	8	37	12	28	56	100	40	9	3	14	8	4	14	29	28	6	4	2	2	0	3	6	3	2	3	1	1	1	0	1	4	0	0	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11238	2859	2079	1196	870	708	1172	439	339	347	544	233	145	151	112	161	73	110	85	96	51	95	40	62	41	39	71	97	51	23	23	20	12	15	18	38	13	8	5	6	4	6	5	5	7	6	5	5	4	0	2	1	7	0	0	1	2	2	0	2	1	0	0	0	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	8721	995	1243	405	320	168	978	163	93	196	450	123	39	55	56	104	23	73	60	67	14	59	9	38	12	27	65	91	46	11	4	12	10	7	11	35	11	4	2	3	2	0	3	5	3	1	3	1	1	0	0	0	6	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11210	2873	2127	1246	891	680	1113	423	329	338	567	206	160	148	125	154	84	98	93	96	53	73	31	49	35	39	72	79	63	24	24	17	10	13	16	41	13	10	4	6	5	7	6	7	6	5	4	7	3	0	2	2	7	0	0	1	1	2	0	2	1	0	0	0	1	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8686	991	1307	414	336	155	922	158	100	200	466	117	46	58	64	105	26	71	62	71	16	45	6	32	12	23	65	74	57	13	7	9	9	4	10	38	12	5	2	5	2	1	4	7	3	1	3	2	1	0	0	0	6	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11345	2929	2128	1202	906	690	1133	413	313	313	602	226	165	141	127	145	86	100	91	111	61	63	37	51	31	40	52	64	60	31	21	16	11	15	9	28	22	12	7	8	7	6	3	3	3	6	2	5	1	2	1	5	3	0	1	0	1	1	0	2	0	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8854	1034	1282	400	351	157	952	153	94	180	510	133	48	51	59	98	27	69	58	76	21	38	12	30	10	27	48	58	53	16	5	9	9	5	7	26	20	5	4	7	6	2	3	3	2	3	2	2	1	1	0	3	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11306	2967	2116	1187	865	671	1072	416	328	299	613	214	177	140	124	147	95	103	97	101	56	55	36	46	24	40	35	71	83	29	20	18	14	10	10	23	29	11	9	7	7	6	3	8	4	3	2	4	2	2	1	4	2	1	1	1	1	1	1	2	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8774	1055	1296	423	327	150	893	149	109	169	521	122	48	51	52	102	26	75	66	72	18	32	9	27	10	25	31	65	77	16	5	10	6	3	8	22	27	5	7	6	5	2	3	7	2	2	2	2	2	1	0	3	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
