label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	8594	5656	2247	1126	2096	612	768	357	775	228	412	226	323	113	125	106	110	178	155	91	69	32	53	28	31	36	26	26	16	24	15	18	17	12	27	9	2	15	13	12	6	13	3	5	6	3	8	2	8	1	0	3	1	2	2	1	4	6	0	1	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	5127	3565	1347	573	1378	349	481	159	498	87	273	117	227	54	58	66	57	109	112	60	41	15	21	14	18	23	16	18	8	21	8	11	7	4	20	5	0	8	5	6	5	7	1	4	3	1	5	2	6	0	0	2	0	0	2	1	3	1	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	8600	5725	2263	1100	2116	611	751	349	795	208	385	229	294	139	125	107	104	184	153	103	60	35	56	26	28	33	22	26	19	21	21	20	16	16	15	12	2	9	11	10	7	13	2	7	8	1	7	2	7	3	1	3	1	3	2	1	5	7	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5179	3688	1268	578	1383	321	472	159	507	85	253	117	199	67	55	62	52	109	111	63	36	15	25	15	16	22	13	17	7	17	11	9	7	6	8	7	1	4	5	4	5	6	0	4	2	0	5	2	5	2	0	2	0	0	2	1	2	2	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8562	5748	2258	1128	2257	605	754	356	842	215	384	208	309	132	119	126	86	181	150	108	51	37	55	37	22	31	28	25	20	16	15	24	20	12	16	19	6	6	17	11	7	12	2	5	12	2	4	2	6	3	1	4	1	1	1	0	4	8	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5165	3828	1273	606	1504	315	468	162	546	86	250	112	214	68	60	72	39	118	107	59	28	19	26	20	14	19	14	16	8	10	7	14	10	3	10	6	6	4	12	4	4	7	2	3	5	0	2	2	4	2	0	3	0	0	1	0	2	2	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8338	5556	2188	1140	2229	603	674	327	821	203	369	201	309	133	124	132	75	192	157	108	50	47	56	46	20	21	25	23	26	19	19	20	22	10	14	16	10	7	17	6	7	10	2	4	12	2	2	1	4	2	2	6	1	3	0	2	3	4	1	1	0	0	2	0	0	1	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5059	3710	1198	588	1479	285	417	157	521	83	236	116	220	70	61	80	36	125	112	65	23	22	32	27	12	9	13	14	11	10	10	10	9	4	11	5	9	6	13	4	5	7	2	2	6	0	1	1	4	2	0	5	0	0	0	2	0	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7751	5056	2045	1090	1981	590	613	339	674	227	328	178	284	123	115	125	74	168	142	106	46	48	51	45	23	23	23	17	25	15	17	17	18	5	14	17	13	7	12	5	11	4	3	1	10	4	2	2	0	1	3	6	2	3	0	2	1	3	1	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4498	3309	1118	552	1280	280	351	177	431	101	200	103	188	65	55	77	32	102	95	56	22	25	26	25	14	12	11	9	12	8	9	10	7	2	11	4	10	6	9	1	9	4	3	1	5	1	1	1	0	0	0	5	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7155	4369	1879	1041	1619	569	611	329	577	231	288	173	277	114	118	110	80	142	121	86	46	44	47	40	27	19	22	14	28	16	18	14	17	4	18	14	11	9	4	7	12	4	2	4	9	3	3	2	0	1	2	4	1	3	0	2	1	3	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	4047	2727	1020	515	1009	262	345	180	366	112	178	101	184	58	54	66	32	87	77	46	22	19	21	20	14	12	10	8	13	8	11	6	5	3	12	3	8	6	1	1	10	4	1	3	2	1	2	1	0	0	0	3	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6615	3852	1744	928	1413	550	547	331	472	246	272	187	240	116	104	108	81	130	99	72	41	45	50	33	28	23	19	17	24	18	19	10	11	5	14	8	11	7	5	7	10	3	3	6	10	4	5	2	1	2	2	1	3	3	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north7_active	80	3644	2312	929	448	871	251	289	172	303	127	155	107	140	59	46	59	32	84	60	35	20	24	24	15	13	12	10	7	12	9	11	3	5	5	9	4	7	4	0	1	9	3	1	3	1	1	2	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	6483	3673	1757	944	1357	521	563	322	460	234	292	180	227	101	115	102	80	122	88	67	39	36	53	31	28	26	19	20	18	21	17	8	9	4	10	9	7	5	11	8	11	5	3	6	8	2	7	1	1	1	1	1	2	0	1	2	3	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north8_active	80	3585	2223	941	471	826	235	308	153	305	116	181	96	122	52	52	50	30	78	52	39	17	17	24	14	14	13	10	10	6	9	11	3	3	3	6	4	6	2	4	2	10	3	1	3	0	0	2	1	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_all	80	6511	3655	1715	900	1408	485	560	320	504	248	285	170	225	101	116	116	78	142	97	72	41	40	50	40	25	25	16	22	14	26	19	9	11	4	11	7	7	8	11	9	10	7	2	5	8	1	7	3	1	5	1	1	2	0	1	2	3	2	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_active	80	3605	2184	938	454	884	211	302	139	315	116	174	81	123	56	50	66	33	96	60	40	20	20	24	16	14	11	8	10	4	13	10	5	4	3	6	2	4	3	5	1	9	4	0	2	1	0	2	1	1	4	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_all	80	6394	3632	1815	929	1385	498	556	333	527	247	271	169	227	109	115	123	82	140	97	72	49	36	48	42	25	29	13	30	13	20	22	13	15	3	11	6	5	8	12	7	6	7	2	5	4	1	6	7	1	4	1	0	1	0	2	2	2	2	0	2	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north10_active	80	3466	2164	999	456	861	230	303	147	313	122	173	87	125	54	54	75	36	87	55	38	23	14	19	16	12	13	5	12	5	10	13	10	8	2	8	2	2	3	8	2	5	3	0	3	2	0	2	4	1	4	1	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north11_all	80	8651	5767	2374	1117	2118	611	743	346	770	216	421	203	312	119	135	132	96	237	191	111	58	35	55	38	36	27	33	29	16	22	14	30	24	13	13	4	14	6	7	7	8	4	6	4	4	4	3	4	1	0	0	2	1	1	1	1	3	2	3	3	0	1	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
0.03	north11_active	80	5234	3749	1394	531	1371	290	444	162	501	104	258	109	184	55	73	84	51	145	123	58	32	21	33	20	16	10	11	9	8	10	8	17	14	9	6	3	3	5	3	3	4	4	1	1	2	1	0	4	1	0	0	1	0	0	0	1	3	0	2	2	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8654	5686	2421	1096	2101	590	748	373	783	214	428	209	316	124	121	135	97	239	215	120	61	34	58	29	36	24	34	18	17	17	19	23	25	11	12	4	10	6	11	6	12	6	5	3	6	6	3	1	0	0	1	5	4	0	1	0	3	7	2	2	0	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	5220	3690	1450	550	1364	275	447	183	529	103	251	125	202	62	68	81	52	157	147	64	32	19	28	11	18	8	14	8	9	7	11	13	17	8	6	2	5	5	5	5	4	6	0	1	4	0	0	1	0	0	0	2	2	0	0	0	3	5	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8568	5691	2389	1140	2159	585	742	384	756	240	426	221	298	125	122	132	99	237	156	112	61	33	69	31	30	24	24	18	18	17	20	24	26	13	11	12	17	10	15	9	12	10	3	2	5	5	2	2	2	0	2	4	3	0	0	0	4	6	0	3	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north13_active	80	5153	3665	1406	592	1428	286	440	176	507	116	254	131	190	65	68	82	52	158	101	60	32	17	28	16	18	9	12	11	6	10	11	11	18	9	7	10	9	10	9	7	5	7	0	1	2	0	1	1	1	0	1	1	2	0	0	0	3	5	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8455	5690	2395	1095	2139	600	723	389	792	251	458	223	281	136	130	136	101	212	147	97	67	26	71	30	25	23	25	22	15	18	16	24	19	12	12	14	15	12	13	9	18	9	3	2	11	5	2	2	5	0	3	5	5	0	0	0	3	5	1	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north14_active	80	5096	3584	1451	570	1405	307	416	184	524	111	277	122	173	73	77	79	51	148	106	54	37	11	26	11	14	11	15	17	5	7	8	16	13	8	6	11	9	9	7	7	10	5	0	1	8	1	2	1	3	0	1	3	3	0	0	0	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	8075	5375	2248	1079	1963	575	706	390	744	257	398	220	258	134	113	127	86	175	103	88	59	28	64	37	22	23	22	22	20	16	18	21	17	15	15	18	17	15	11	14	13	6	2	3	10	3	3	2	7	1	2	3	3	0	0	0	4	6	1	3	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	4821	3285	1311	549	1303	296	402	184	485	114	252	113	156	69	70	75	43	117	67	51	30	11	27	12	11	11	12	16	7	6	8	15	12	9	8	13	10	11	7	9	9	2	0	2	8	1	2	1	4	1	1	2	2	0	0	0	2	6	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7537	4821	2071	1065	1626	582	626	388	628	253	351	196	254	134	104	133	90	147	94	81	63	36	58	33	23	23	21	24	19	15	14	20	10	14	12	13	8	12	9	10	9	8	6	7	7	2	3	3	9	1	2	3	2	0	0	0	3	6	1	4	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	4400	2930	1194	516	1053	293	355	185	392	105	208	103	155	64	65	79	50	98	66	48	35	16	32	14	11	12	12	17	9	7	6	16	2	7	5	8	5	6	4	6	7	1	2	4	6	1	1	2	7	1	1	3	1	0	0	0	2	6	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6975	4257	1936	1026	1429	576	581	357	577	242	315	173	236	132	102	122	88	139	85	80	60	43	52	34	24	26	17	19	18	18	23	16	11	18	14	15	6	15	9	10	9	5	4	7	3	0	3	2	7	1	0	4	0	0	2	0	1	6	1	4	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	3910	2528	1061	485	866	263	319	171	360	100	177	92	144	58	56	72	48	97	51	45	34	20	32	16	10	13	9	13	10	12	12	10	3	9	6	10	3	8	5	6	7	0	2	4	1	0	0	1	6	1	0	3	0	0	1	0	0	6	1	3	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	6541	3867	1866	979	1299	534	542	350	520	244	315	177	239	119	119	106	86	153	85	75	61	40	47	35	27	20	21	20	19	24	18	15	16	17	10	13	6	9	8	7	7	8	6	7	5	3	4	2	5	0	0	2	0	0	3	0	1	3	1	3	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	3598	2265	1002	459	795	232	290	160	314	108	184	84	143	50	60	66	45	104	53	41	27	21	33	22	13	9	10	11	7	16	10	9	6	9	5	9	2	5	4	5	4	2	3	4	2	3	1	1	4	0	0	1	0	0	2	0	0	3	0	3	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	6506	3792	1841	944	1318	546	558	332	518	230	295	176	212	111	122	96	74	146	96	72	54	38	48	28	33	20	23	23	17	22	13	17	15	13	11	11	9	6	8	4	8	5	6	6	6	4	3	1	5	2	2	2	1	2	3	0	0	3	2	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
