label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	9575	3274	1374	994	882	379	254	234	187	103	110	107	43	31	57	23	27	12	17	20	15	10	6	1	5	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5639	1836	633	528	525	168	118	106	91	45	66	80	15	12	34	10	11	4	8	12	9	1	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9701	3297	1356	1004	850	401	255	221	173	114	110	110	40	33	65	25	26	14	14	18	13	3	4	3	2	3	3	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5766	1845	620	541	512	173	111	107	75	51	69	79	12	13	36	14	11	5	10	10	8	0	2	2	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9715	3301	1362	1007	834	386	257	204	151	115	124	99	49	38	79	18	24	14	16	13	9	2	2	6	2	3	2	2	0	2	1	1	0	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	5820	1820	606	535	502	175	115	96	67	57	71	68	22	15	41	11	9	6	8	7	6	0	1	3	0	1	1	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	9805	3264	1299	1011	856	358	254	196	168	109	120	99	47	34	100	21	21	13	15	11	14	1	3	6	1	3	1	3	0	2	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north4_active	80	5881	1778	564	531	504	164	113	102	72	55	65	64	23	11	56	12	10	6	7	5	8	0	2	3	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north5_all	80	9802	3321	1285	1018	834	347	259	186	182	103	116	94	58	35	102	20	19	12	14	9	20	4	6	6	2	3	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0
0.03	north5_active	80	5877	1846	564	529	492	165	119	102	93	55	60	56	31	14	66	9	10	5	6	5	15	1	4	2	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north6_all	80	9842	3335	1285	1056	871	353	246	190	195	103	113	97	47	44	87	22	15	7	9	7	25	8	8	4	4	2	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0
0.03	north6_active	80	5924	1870	579	557	509	173	118	114	100	55	60	58	23	19	56	7	6	2	4	3	18	5	4	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	9740	3430	1276	1070	861	348	229	219	176	98	109	101	48	48	87	25	18	6	11	8	21	8	8	3	4	3	1	1	0	0	0	1	0	0	0	0	2	0	2	0	0	0
0.03	north7_active	80	5801	1934	586	564	527	169	103	128	93	47	59	64	19	26	55	11	7	1	7	5	14	6	4	1	2	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0
0.03	north8_all	80	9718	3368	1320	1049	863	379	254	220	145	100	105	110	44	47	80	25	23	6	12	8	14	9	8	3	3	1	1	0	1	0	0	2	0	0	0	0	1	0	3	0	0	0
0.03	north8_active	80	5725	1876	596	580	528	188	120	128	79	46	64	69	16	22	42	12	13	1	7	4	10	6	4	1	2	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0
0.03	north9_all	80	9667	3386	1313	1041	880	376	284	207	137	88	89	91	47	45	77	24	35	5	12	7	13	9	5	4	2	2	2	0	1	0	0	2	0	0	0	0	1	1	3	0	0	0
0.03	north9_active	80	5673	1850	595	581	527	184	137	115	70	39	48	53	21	22	46	12	17	3	6	5	10	6	2	1	1	1	2	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0
0.03	north10_all	80	9650	3280	1347	980	915	404	307	200	146	89	80	102	45	35	77	31	42	4	11	7	9	6	2	4	2	1	2	1	1	0	0	1	0	0	1	0	0	2	3	0	0	0
0.03	north10_active	80	5619	1817	621	538	559	197	146	114	74	44	43	58	25	14	45	17	20	2	4	5	6	2	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north11_all	80	9651	3286	1269	1026	824	375	255	236	172	105	112	114	26	33	65	30	29	10	11	11	13	16	4	1	0	1	3	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
0.03	north11_active	80	5670	1853	576	532	482	189	122	110	86	47	64	66	10	14	29	13	17	5	6	6	4	12	3	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
0.03	north12_all	80	9627	3229	1305	1030	809	383	266	241	148	110	104	116	29	35	57	29	31	12	8	9	8	10	5	3	0	1	3	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0
0.03	north12_active	80	5739	1786	594	537	468	186	133	115	73	50	59	53	12	14	32	13	19	6	5	3	3	8	4	0	0	1	2	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	9687	3330	1367	1027	801	403	276	223	155	119	94	108	28	41	55	35	34	10	16	12	9	6	4	3	0	3	2	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	5783	1824	615	545	451	183	138	101	76	55	56	53	13	13	32	18	20	6	9	4	3	2	3	0	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	9731	3407	1318	1059	801	411	292	214	168	118	101	115	38	42	55	27	32	12	12	10	8	6	5	3	2	3	4	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	5764	1837	584	578	456	190	143	98	85	52	59	60	20	15	29	14	18	6	8	5	5	3	4	0	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	9889	3476	1277	1044	844	393	293	212	186	115	97	106	39	40	77	25	34	8	21	13	5	6	5	4	2	3	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	5834	1871	580	590	492	177	137	104	92	47	55	58	22	12	42	11	17	4	14	8	3	3	4	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	10005	3392	1222	1081	836	368	277	208	179	115	107	103	42	36	58	19	28	10	20	12	8	3	4	5	3	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	5922	1879	551	605	477	169	124	110	88	51	58	70	19	11	32	7	10	4	14	5	5	2	3	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	10052	3365	1281	1061	875	360	266	214	182	115	112	111	46	29	58	21	24	9	27	12	6	2	3	6	3	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north17_active	80	5963	1888	560	597	513	164	113	116	89	55	57	73	22	9	35	9	14	3	22	5	3	1	2	3	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_all	80	9957	3294	1315	1044	878	375	275	232	177	109	116	119	46	27	61	21	27	12	21	9	8	3	3	5	3	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north18_active	80	5898	1811	581	568	503	177	131	127	91	55	58	75	19	9	32	12	17	5	18	1	5	2	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_all	80	9789	3268	1342	1051	887	388	286	220	177	106	127	119	43	30	71	26	25	12	20	7	6	2	2	3	2	2	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north19_active	80	5795	1760	585	562	524	189	130	116	97	49	74	69	17	14	42	14	19	5	17	4	4	2	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north20_all	80	9923	3300	1342	1062	870	411	274	221	171	97	111	117	41	29	71	27	33	13	17	11	7	6	1	2	1	2	6	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	north20_active	80	5837	1765	597	551	516	212	133	112	90	44	66	66	18	13	45	14	24	5	12	6	3	6	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_all	80	6402	3916	2094	1161	1033	491	621	580	223	179	136	56	148	29	31	18	33	25	14	4	17	5	4	4	5	2	0	1	4	0	0	1	1	0	1	0	0	0	0	0	0	0
0.03	south21_active	80	3108	2312	1257	674	618	266	416	373	134	105	84	27	98	14	14	9	16	8	5	2	7	2	2	1	3	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	6502	3917	2134	1201	1105	465	650	506	210	174	156	58	143	31	31	18	29	19	15	4	15	5	3	2	2	2	0	2	3	0	0	1	2	0	1	0	0	0	0	0	0	0
0.03	south22_active	80	3204	2285	1292	668	661	244	428	320	138	108	99	27	97	13	16	9	13	6	6	2	6	3	2	0	0	2	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	6462	3970	2204	1194	1104	448	666	564	211	180	175	54	122	30	30	15	19	15	16	2	12	8	3	3	1	2	0	1	4	0	1	1	3	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	3176	2333	1308	653	651	224	433	367	138	107	121	26	87	14	16	8	9	6	8	1	6	7	1	2	0	2	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	6544	3951	2245	1160	1110	475	643	569	222	193	177	48	140	32	33	15	22	19	15	2	6	18	6	5	0	1	0	2	2	0	1	1	3	0	0	0	0	0	0	0	1	0
0.03	south24_active	80	3205	2294	1344	638	652	239	414	366	139	107	116	22	109	15	22	6	12	10	9	0	5	15	3	5	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	6487	3933	2248	1103	1115	491	632	632	239	200	169	42	140	33	30	17	28	23	14	3	6	19	6	9	0	0	1	2	6	1	1	1	2	1	0	0	1	0	0	0	1	0
0.03	south25_active	80	3179	2282	1333	614	659	253	417	432	141	113	118	22	114	13	19	8	16	12	7	0	4	15	3	8	0	0	1	2	5	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_all	80	6392	3901	2237	1100	1121	492	688	693	248	204	161	41	141	29	35	19	31	20	16	4	10	14	8	7	1	2	1	1	5	1	0	1	1	1	0	0	1	0	0	0	1	0
0.03	south26_active	80	3118	2265	1346	629	679	269	442	460	151	113	111	19	101	12	21	9	18	10	7	1	8	9	3	6	1	1	1	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south27_all	80	6484	3946	2179	1138	1116	478	689	700	249	189	155	38	131	28	31	23	36	16	17	5	10	7	2	5	1	2	1	2	4	2	0	1	1	1	0	0	1	0	0	0	0	0
0.03	south27_active	80	3173	2327	1280	633	677	277	430	469	154	116	104	16	80	16	16	11	25	7	6	1	8	5	0	4	1	1	1	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	south28_all	80	6480	3958	2194	1127	1055	461	682	631	245	181	166	44	129	31	39	21	38	11	13	5	9	9	3	2	2	2	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	3125	2325	1350	629	618	248	424	413	142	106	109	20	70	22	25	12	25	7	5	1	8	6	1	1	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	6512	3969	2139	1155	1035	505	662	608	227	171	168	50	122	33	35	26	28	11	11	8	7	8	5	3	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	3151	2381	1293	632	620	266	430	385	127	102	111	26	61	24	22	13	20	7	3	2	6	5	2	3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	6494	3970	2141	1109	1052	523	649	562	221	168	146	52	112	29	32	25	26	13	13	11	8	5	4	2	2	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south30_active	80	3157	2372	1283	602	617	271	427	362	122	109	101	26	67	18	20	10	16	9	4	4	7	2	2	2	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south31_all	80	6332	3944	2199	1028	1088	488	675	618	215	182	133	56	114	30	36	30	17	25	9	4	7	20	2	8	2	3	1	0	3	1	3	1	1	0	0	0	0	0	0	0	0	1
0.03	south31_active	80	3087	2330	1307	545	662	265	415	444	133	117	64	21	75	15	24	23	8	11	6	2	2	13	0	7	1	1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	1
0.03	south32_all	80	6343	3906	2189	1056	1114	477	720	658	214	185	135	56	105	22	35	29	23	21	9	4	7	16	3	11	2	4	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	3095	2304	1273	587	681	253	438	474	128	120	68	24	68	13	22	21	10	10	7	1	1	10	0	8	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	6433	3939	2217	1047	1092	478	727	696	226	182	129	52	113	20	38	29	26	17	8	6	13	8	5	11	2	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	3168	2352	1303	585	686	250	452	494	127	102	64	19	77	12	24	19	11	9	5	2	7	4	0	7	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
