label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	8844	7560	4636	1425	1222	563	729	478	398	230	156	111	142	77	48	41	30	12	28	8	5	10	10	17	19	2	7	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	4397	4836	3020	764	692	281	484	267	246	130	91	75	89	40	27	26	20	4	16	7	3	3	7	16	16	1	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	8868	7447	4784	1444	1211	554	815	465	401	217	174	119	151	76	49	35	30	14	35	12	6	9	11	17	11	1	4	2	4	0	0	1	0	3	0	0	0	0	0	0	0	0
0.03	north2_active	80	4365	4732	3095	809	680	268	523	269	250	126	108	81	91	35	26	25	13	5	20	10	3	4	9	17	8	0	2	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north3_all	80	8958	7456	4780	1500	1203	533	800	441	374	247	199	106	149	63	51	27	31	16	35	14	5	8	10	26	3	3	4	2	4	1	1	1	0	2	0	0	0	0	0	0	0	0
0.03	north3_active	80	4336	4769	3094	863	684	260	494	240	238	152	128	65	90	32	27	18	15	6	21	11	3	3	8	21	0	1	3	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	8874	7292	4783	1528	1174	537	762	453	379	252	212	116	148	59	51	32	33	20	31	11	4	10	7	17	5	5	5	2	4	1	1	1	0	5	0	0	0	0	0	0	0	0
0.03	north4_active	80	4303	4604	3069	890	668	272	450	257	246	161	129	68	90	29	29	14	18	7	20	6	2	6	3	11	2	1	4	1	2	0	1	0	0	5	0	0	0	0	0	0	0	0
0.03	north5_all	80	8815	7280	4670	1539	1219	541	749	450	383	250	225	123	135	60	57	37	37	15	35	17	2	7	6	15	9	4	3	1	3	2	1	0	1	3	0	0	0	0	0	0	1	0
0.03	north5_active	80	4275	4541	3005	895	680	278	474	266	253	158	139	69	82	35	34	17	27	6	25	12	1	5	2	8	6	1	3	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0
