label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178
0.03	north1_all	80	2537	2363	1081	1089	1500	634	505	549	363	216	541	498	140	320	158	131	253	138	84	92	74	53	54	107	54	51	37	42	51	27	28	37	33	42	56	21	59	24	61	43	23	36	19	35	12	9	16	11	15	7	10	13	13	7	6	4	18	6	4	4	8	6	11	4	3	7	6	1	3	6	3	11	5	2	4	2	0	8	2	3	3	5	4	1	2	3	4	1	3	4	3	2	2	1	3	0	4	3	3	1	0	0	1	0	3	3	0	0	2	0	3	0	0	0	0	2	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1197	1472	597	664	935	358	323	359	216	121	355	329	77	218	93	67	184	82	39	50	36	25	27	81	24	22	17	20	30	13	18	17	14	26	29	9	34	19	44	25	11	25	10	29	9	6	7	6	6	6	6	8	6	4	2	2	13	3	1	1	3	4	8	1	2	2	5	1	1	2	3	9	3	2	3	2	0	8	0	3	1	0	1	1	1	1	2	0	2	1	3	1	0	1	3	0	4	1	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2584	2301	1028	1159	1478	624	523	492	343	223	548	484	139	357	159	106	251	150	87	96	61	47	51	111	61	48	37	38	47	26	35	23	32	42	50	17	48	30	49	42	23	33	10	46	10	10	18	11	14	17	8	16	21	5	7	6	13	5	3	5	6	6	11	6	2	6	9	2	3	4	4	8	4	2	4	4	0	7	0	4	3	3	3	0	2	1	4	0	3	3	3	3	2	0	5	0	4	2	1	1	0	0	1	0	2	3	1	0	1	0	2	0	0	0	0	3	0	0	0	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1250	1444	541	723	970	355	337	307	214	120	361	328	80	242	98	57	174	91	40	53	34	22	22	81	28	22	12	18	22	12	18	14	13	29	22	4	31	23	39	27	13	22	5	37	7	4	12	4	7	14	5	10	12	4	3	3	8	2	1	2	1	4	8	2	2	2	6	1	0	1	4	4	2	2	2	2	0	6	0	3	2	0	0	0	1	1	2	0	2	1	3	2	0	0	5	0	4	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2626	2261	1007	1169	1553	650	540	512	384	226	513	478	140	365	170	111	240	166	103	95	58	45	46	95	50	41	30	43	45	33	27	26	30	45	50	25	37	30	41	31	19	24	12	32	9	11	20	14	13	15	5	18	21	6	6	9	15	8	3	7	6	4	14	7	1	6	8	3	5	7	4	17	4	2	3	5	3	9	1	2	1	2	3	1	6	1	1	1	0	1	0	5	2	0	5	0	2	1	1	3	0	1	1	1	0	0	2	0	0	0	1	0	0	0	1	3	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1250	1417	538	757	1015	368	334	322	231	117	327	318	79	241	107	60	167	98	57	53	31	19	15	67	25	19	8	18	16	18	11	14	14	29	26	8	32	21	33	20	11	15	5	23	5	4	10	4	7	13	2	12	15	5	2	3	11	2	2	3	0	2	10	2	1	2	5	1	2	3	3	15	2	2	2	3	2	7	0	1	1	0	1	1	4	1	1	1	0	0	0	3	0	0	5	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2672	2329	1037	1133	1523	659	571	511	397	244	471	497	141	335	178	118	263	159	119	88	63	38	41	86	46	37	33	53	38	37	27	24	25	46	51	22	47	30	35	29	23	33	10	44	10	11	24	14	24	15	5	20	20	5	6	12	12	10	6	7	8	4	15	4	2	3	6	2	5	5	5	15	5	1	4	12	3	5	3	2	4	1	2	2	4	1	0	2	1	3	0	3	1	1	4	0	1	0	0	3	0	2	4	1	0	0	2	0	4	0	0	1	0	0	6	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1279	1467	550	727	1020	396	357	310	260	129	313	311	73	215	115	73	173	90	73	50	33	20	15	55	26	16	9	26	14	23	9	12	12	32	30	9	35	20	27	20	13	23	6	33	6	2	10	5	18	9	2	15	15	4	1	5	10	3	4	5	2	2	11	1	0	1	3	0	3	3	1	12	2	1	1	10	2	2	2	1	2	0	1	2	3	1	0	2	1	0	0	2	0	0	3	0	1	0	0	1	0	1	4	0	0	0	1	0	4	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2657	2335	1045	1095	1558	625	541	576	431	242	446	484	134	321	179	123	249	162	125	96	68	48	48	75	43	33	39	60	42	38	24	36	30	47	51	23	40	31	43	31	23	30	11	34	12	13	18	11	23	15	10	16	10	4	9	11	12	9	12	8	6	5	16	5	3	5	6	3	7	5	7	19	3	1	3	13	3	4	5	2	3	3	1	2	4	0	0	3	2	4	1	2	5	1	1	0	1	0	0	2	1	2	4	1	1	0	1	0	4	1	0	1	0	0	6	0	0	2	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1286	1493	561	697	1028	381	307	347	276	122	300	298	62	186	113	76	161	93	73	54	34	25	21	44	24	15	11	26	17	23	9	14	11	31	25	10	29	22	34	21	15	20	6	27	6	3	4	5	19	8	4	14	8	3	4	5	11	3	9	7	2	2	13	2	0	2	3	0	4	3	0	17	0	1	0	10	2	2	4	1	1	1	1	2	3	0	0	2	1	1	0	1	4	0	0	0	1	0	0	1	1	1	4	0	1	0	1	0	4	1	0	0	0	0	6	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
