label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184
0.03	north1_all	80	3512	3288	1205	844	968	465	410	314	356	643	369	367	464	544	154	493	115	116	148	89	95	304	91	251	62	97	50	59	49	42	68	47	41	34	48	125	25	35	48	28	25	15	100	12	27	20	7	13	27	49	33	53	41	11	9	9	6	8	9	6	16	4	17	4	2	5	7	33	9	15	6	15	10	10	0	12	6	16	4	1	5	10	11	12	0	2	3	0	1	20	5	0	4	22	0	1	3	1	3	2	2	0	1	1	1	1	2	0	0	1	1	9	2	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0	4	1	0	0	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north1_active	80	1074	2619	598	368	676	128	149	90	223	540	286	284	390	490	50	444	30	38	103	25	57	282	54	234	18	70	9	9	16	16	50	22	8	21	32	117	8	9	36	16	15	9	92	7	13	12	2	5	17	43	28	50	37	7	8	3	3	6	4	1	13	2	15	2	0	3	2	32	9	14	1	15	3	8	0	11	4	14	2	0	1	10	9	10	0	0	1	0	0	19	3	0	3	22	0	0	2	1	3	0	2	0	1	0	0	0	2	0	0	1	0	9	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	4	0	0	0	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	3536	3334	1187	883	973	461	397	349	358	597	356	372	452	538	141	496	103	109	121	90	101	289	86	262	63	89	61	61	46	51	62	52	51	31	67	136	26	37	57	21	21	22	138	15	26	16	8	8	27	57	58	53	34	13	8	8	13	12	10	5	13	5	15	6	1	5	11	32	7	12	3	20	10	8	1	15	5	14	4	2	5	5	8	7	0	2	3	1	1	18	5	1	3	22	1	0	2	1	1	3	0	2	0	1	1	1	2	2	0	1	1	9	0	2	1	0	1	0	0	2	0	2	0	0	2	1	0	0	2	1	10	0	2	2	1	3	8	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	1062	2643	580	381	681	121	140	91	215	500	269	293	391	482	57	449	25	34	84	25	64	269	46	243	20	63	15	10	18	25	43	30	12	17	48	125	11	12	43	11	15	12	129	7	16	9	3	0	20	51	51	52	30	8	6	4	8	7	5	1	10	3	14	5	0	3	2	31	7	10	1	20	3	6	0	15	1	12	3	0	1	5	6	5	0	1	1	1	0	18	3	1	2	22	0	0	2	1	1	0	0	2	0	0	0	0	2	2	0	1	0	9	0	0	1	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	10	0	0	2	0	3	8	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	3582	3393	1161	901	978	454	405	363	356	643	377	377	444	551	147	484	109	107	118	87	120	305	86	273	65	103	51	51	40	42	77	51	45	35	60	150	28	26	57	20	24	29	132	15	25	18	14	9	30	87	61	40	26	14	6	7	12	10	10	8	19	7	21	4	2	8	9	29	8	5	2	17	9	3	1	13	11	12	5	2	4	7	11	7	0	2	3	1	2	26	3	1	3	23	1	0	5	1	0	2	0	3	0	1	1	0	2	2	1	0	1	7	0	2	1	0	2	2	0	2	0	2	0	0	0	1	0	0	3	2	10	0	1	3	0	4	9	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1083	2678	579	389	695	117	135	107	199	546	286	295	384	501	66	439	30	38	79	21	74	281	46	253	19	73	12	11	16	21	56	31	14	15	41	138	13	6	43	7	15	14	122	3	14	11	4	2	23	81	55	38	22	6	3	5	9	4	7	2	13	4	18	4	0	3	0	28	6	2	0	16	5	2	0	13	7	11	3	0	1	6	8	6	0	1	2	1	1	26	1	1	3	23	0	0	5	1	0	0	0	2	0	0	0	0	2	2	1	0	0	7	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	3	0	10	0	0	3	0	3	8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	3573	3430	1156	884	975	493	414	358	358	621	391	401	434	565	139	502	121	97	137	91	120	290	87	306	68	95	52	43	44	38	88	43	47	39	58	169	29	32	51	17	26	32	109	20	23	28	20	14	38	84	73	39	26	13	7	7	15	10	15	9	23	6	18	3	3	9	9	19	6	7	1	32	10	3	1	7	14	6	5	1	3	7	9	3	1	2	5	2	3	35	1	1	4	4	2	0	5	1	1	1	0	3	0	1	1	1	0	2	1	0	0	8	1	2	1	0	2	2	1	1	1	9	0	1	0	1	0	0	3	1	13	0	2	1	0	4	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1092	2716	557	384	702	118	142	104	199	521	285	317	373	519	71	459	31	35	90	27	80	264	46	285	20	68	14	10	16	19	67	28	13	16	43	159	14	14	37	5	14	14	102	8	14	19	5	5	33	74	66	36	24	6	5	5	12	5	10	2	16	4	16	3	0	3	1	19	3	4	0	28	6	2	0	7	9	6	4	0	1	6	8	2	1	1	2	2	1	35	0	1	3	3	0	0	5	1	0	0	0	2	0	0	0	0	0	2	1	0	0	8	0	0	1	0	1	2	0	0	0	9	0	0	0	0	0	0	3	0	13	0	0	1	0	3	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	3573	3423	1175	864	950	519	430	356	368	613	432	425	450	599	139	473	112	93	155	86	136	299	91	303	66	90	56	41	48	40	88	35	39	48	41	154	31	31	52	26	25	28	72	15	26	28	20	22	38	88	79	35	18	13	9	11	11	7	16	10	17	6	15	3	4	11	12	25	4	8	1	27	8	3	1	5	14	6	5	1	1	5	7	4	2	1	10	2	2	45	0	4	5	8	1	1	4	1	1	0	0	4	1	0	0	1	0	2	1	0	1	8	1	0	0	0	1	2	1	1	2	9	0	1	0	1	0	0	2	1	3	0	2	1	0	3	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1083	2720	591	368	671	112	152	108	205	508	305	342	383	551	64	431	31	35	97	21	89	271	47	277	16	64	14	11	16	16	68	19	8	19	34	140	14	14	37	5	14	12	66	6	12	18	6	11	33	81	74	32	16	5	5	7	11	4	11	2	11	3	13	2	0	2	2	25	1	6	0	23	5	2	0	4	10	6	4	1	0	4	6	2	1	0	7	2	1	45	0	4	4	7	0	0	4	1	0	0	0	2	0	0	0	0	0	2	1	0	0	8	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	2	0	3	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
