label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	1125	761	253	178	166	73	195	48	49	27	36	16	8	6	16	4	5	5	4	2	7	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	520	428	114	77	97	39	132	20	26	19	23	8	6	3	10	0	2	3	1	1	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1159	746	262	164	160	82	177	37	57	25	44	13	10	5	17	2	6	2	3	2	6	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	515	416	113	66	84	46	107	13	36	15	29	6	6	2	13	0	3	1	0	1	5	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1200	728	285	157	168	89	155	41	62	22	37	15	9	7	21	3	7	3	2	2	5	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	530	389	124	74	96	49	95	17	37	13	22	6	6	4	18	1	5	3	0	1	5	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1148	726	284	150	174	90	159	40	63	33	36	13	12	7	21	3	5	4	3	0	5	0	3	0	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	502	382	127	72	103	49	93	17	39	20	23	5	8	3	16	2	3	4	0	0	5	0	1	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	1123	742	275	153	199	87	210	45	75	38	34	12	25	9	18	4	3	6	3	0	3	1	2	0	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	506	409	126	73	124	46	127	21	49	24	18	6	14	2	11	4	3	4	0	0	2	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	1070	794	274	154	201	76	242	42	76	39	34	15	26	8	15	5	3	4	5	0	5	1	0	0	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	479	458	134	66	117	40	152	21	54	24	19	8	14	2	4	4	1	2	3	0	4	0	0	0	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	1097	852	295	150	198	82	247	45	84	35	29	17	31	6	16	4	3	3	5	0	8	1	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	501	507	144	62	104	39	159	24	54	19	13	13	17	2	3	3	1	0	3	0	7	0	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	1097	888	301	151	205	79	271	36	90	24	36	19	21	8	14	5	3	3	4	0	9	3	0	1	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north8_active	80	494	517	155	67	95	31	189	19	62	13	18	13	12	4	4	3	1	0	3	0	6	0	0	1	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north9_all	80	1106	856	293	158	193	96	259	51	94	25	54	26	17	8	29	4	3	1	2	0	8	2	0	1	3	2	2	1	0	0	0	3	0	0	1	0	0	0	0
0.03	north9_active	80	513	484	147	77	92	39	182	29	65	12	42	14	10	7	19	2	3	0	0	0	4	0	0	1	3	2	2	1	0	0	0	3	0	0	1	0	0	0	0
0.03	north10_all	80	1122	867	285	172	198	95	254	58	79	23	52	23	17	8	27	6	4	2	4	1	7	2	1	2	3	2	0	1	0	0	0	3	0	0	1	0	0	0	0
0.03	north10_active	80	535	499	146	89	122	41	179	28	49	14	41	12	12	8	21	2	3	1	1	1	3	0	1	2	3	2	0	1	0	0	0	3	0	0	1	0	0	0	0
0.03	north11_all	80	1042	775	320	172	223	108	156	42	72	24	32	25	25	10	17	4	4	3	4	1	6	3	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	466	472	152	87	135	68	109	22	46	12	26	10	18	4	14	2	2	2	2	0	6	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	1096	781	294	189	185	96	142	46	67	16	29	24	22	6	12	7	4	1	5	1	6	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north12_active	80	504	479	143	90	112	61	96	21	37	11	21	8	16	2	8	4	2	1	3	0	6	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
