label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157
0.03	north1_all	80	2490	1790	675	1076	474	689	269	405	273	163	350	146	117	129	85	185	83	108	109	135	173	68	60	54	34	125	34	27	75	21	61	47	23	20	53	15	28	22	16	19	13	14	9	16	7	14	23	10	6	10	7	5	9	6	8	6	6	2	8	4	3	1	9	3	9	5	3	2	9	2	3	7	2	4	1	1	0	3	4	1	10	1	0	2	2	0	0	0	4	0	2	1	0	3	0	0	1	0	3	0	3	2	0	0	0	1	2	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north1_active	80	1143	1013	304	674	243	453	121	250	148	74	234	65	50	64	38	117	41	56	46	81	113	37	34	25	17	76	16	17	45	11	40	34	15	10	46	10	14	13	7	12	7	8	3	10	4	5	18	5	3	7	4	3	5	3	3	4	1	2	6	2	1	0	7	1	6	4	2	1	8	1	2	7	0	2	1	1	0	3	4	1	2	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	2526	1878	702	1157	478	743	264	452	279	173	366	140	107	131	87	214	81	112	114	144	189	71	70	47	34	138	27	34	86	25	58	56	22	19	63	15	31	22	12	19	12	16	13	14	14	13	20	14	7	11	8	6	4	7	9	5	6	2	7	4	6	1	9	4	8	5	3	3	8	2	5	7	3	3	1	2	1	1	0	1	8	1	2	3	0	0	1	0	4	0	1	1	0	3	0	0	1	0	4	0	3	1	2	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
0.03	north2_active	80	1185	1064	312	732	247	466	132	277	157	80	243	65	52	63	39	124	43	60	52	89	118	41	43	25	18	90	14	18	57	13	37	36	17	9	52	9	15	11	4	14	8	10	4	11	7	5	16	6	4	7	4	3	0	4	4	3	2	2	5	2	4	0	6	2	5	4	2	2	8	1	3	6	2	3	1	2	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	2563	1939	748	1214	501	798	266	473	282	192	373	156	107	127	86	265	77	119	122	158	175	74	68	42	29	137	27	49	82	27	65	50	20	15	68	16	31	17	10	19	10	17	17	17	13	10	18	14	6	11	10	8	3	9	6	1	5	7	11	4	7	1	7	6	10	5	3	2	6	4	5	6	2	3	1	2	3	3	0	1	9	1	2	2	1	0	1	1	1	0	1	3	0	2	1	0	1	0	4	0	1	0	3	0	0	1	0	2	0	0	1	1	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
0.03	north3_active	80	1189	1137	336	786	262	493	143	300	161	92	247	75	50	59	35	171	35	70	62	102	112	39	43	22	14	84	16	26	48	14	45	26	14	6	56	10	19	6	3	14	6	9	5	13	5	5	13	5	3	7	4	3	1	5	2	1	2	6	7	2	5	1	4	2	7	4	2	2	6	3	3	5	2	3	1	2	2	2	0	1	0	1	2	2	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	2559	1936	770	1230	508	797	270	488	299	201	384	163	120	115	81	318	86	128	103	213	190	70	71	33	38	125	37	53	82	28	79	51	29	16	60	16	23	18	15	23	12	15	13	12	15	10	29	20	6	9	7	6	3	7	4	2	8	13	10	2	5	1	4	4	10	2	2	3	5	4	4	8	2	2	1	1	5	2	0	3	1	3	2	2	1	0	2	1	1	2	2	2	1	1	2	1	2	0	4	1	1	0	3	0	1	0	0	2	0	1	0	0	0	0	1	0	2	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	1248	1121	340	799	265	501	138	305	183	89	251	81	54	53	30	203	45	82	55	149	126	33	38	19	16	80	20	26	48	13	55	27	19	6	48	9	10	9	6	16	8	6	5	8	6	6	22	8	2	3	3	1	1	5	2	1	6	12	5	1	4	1	2	1	8	1	1	2	5	3	3	6	2	2	0	1	4	1	0	3	0	3	2	2	0	0	0	1	0	2	1	1	0	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2533	1919	755	1231	527	833	276	443	284	189	373	161	125	109	99	319	84	126	104	216	192	58	65	36	38	158	38	53	72	22	75	44	30	12	66	14	25	18	18	27	13	13	18	11	13	9	34	16	6	12	7	8	4	5	7	3	7	14	8	0	7	2	5	3	10	5	5	4	5	4	0	6	3	1	1	1	5	2	0	6	2	3	0	1	1	0	1	1	1	4	1	2	1	0	2	1	2	0	5	1	1	0	1	0	1	0	0	4	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	north5_active	80	1218	1108	348	792	263	534	136	279	171	88	249	89	63	54	40	205	38	80	63	158	125	23	33	20	16	79	23	27	41	9	51	25	21	4	50	8	13	11	8	19	7	6	7	5	5	5	25	6	2	5	3	3	3	3	3	2	5	12	5	0	6	1	3	1	8	3	4	1	5	3	0	5	3	1	0	1	4	1	0	6	0	3	0	0	0	0	0	1	0	3	1	1	0	0	1	0	2	0	4	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	2433	1834	746	1190	524	775	260	417	275	176	379	159	129	103	90	289	81	128	108	199	190	69	69	40	40	158	36	44	92	23	70	46	28	12	53	12	25	16	19	28	12	11	14	14	10	13	30	13	5	12	6	5	6	4	8	6	8	15	11	0	7	1	2	2	10	7	5	6	3	1	0	7	2	1	2	0	4	1	2	5	2	4	0	2	0	0	2	0	2	4	2	4	1	0	1	1	2	0	6	1	1	0	1	0	1	0	0	4	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
