label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159
0.03	north1_all	80	4350	1314	787	745	465	412	1064	381	231	449	270	138	176	174	102	125	297	131	104	99	125	67	147	177	68	35	37	40	22	60	30	27	18	16	39	16	37	17	40	12	20	30	19	16	33	26	11	14	9	8	3	4	10	7	10	4	11	4	5	7	5	11	7	5	6	1	4	3	2	1	2	4	2	2	1	3	1	5	1	2	0	1	1	1	0	0	2	1	2	1	4	1	0	1	0	0	2	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	north1_active	80	2582	662	371	406	238	225	690	210	114	270	173	80	104	107	53	68	201	69	68	60	82	42	95	114	45	16	18	23	10	42	18	14	9	3	17	6	22	10	34	6	12	23	11	11	22	22	6	8	8	4	3	1	2	3	7	3	8	3	1	5	3	6	6	2	1	1	1	3	1	1	2	4	1	0	1	0	0	1	1	1	0	0	1	1	0	0	2	0	1	0	4	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4337	1319	737	736	493	395	1015	369	229	490	259	148	165	182	98	120	250	139	113	98	133	57	160	142	66	40	40	40	23	62	40	22	15	17	51	14	35	17	47	15	31	28	16	11	35	19	8	12	13	7	4	7	7	6	5	5	9	4	4	3	6	15	7	3	6	2	6	5	3	0	3	3	2	2	2	3	2	5	1	1	1	3	3	2	0	0	2	1	2	1	0	0	0	1	0	0	1	0	5	1	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	north2_active	80	2589	672	361	412	262	215	673	217	117	301	172	85	96	110	52	70	169	82	73	53	92	36	108	84	39	17	18	27	7	48	26	9	7	5	21	7	23	9	40	5	20	18	8	6	25	13	4	8	10	4	4	4	1	2	2	4	6	3	0	2	4	7	7	2	2	1	1	4	2	0	2	3	2	0	1	0	0	1	1	1	0	1	3	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4318	1273	746	766	512	357	1004	346	208	503	255	145	166	175	95	103	245	138	130	102	145	52	160	128	62	36	43	54	20	49	37	30	14	15	54	16	20	21	44	20	34	26	10	20	31	19	10	11	10	7	6	8	4	7	8	5	10	5	1	5	4	16	7	2	6	2	3	5	2	0	1	6	2	2	3	2	2	4	1	1	1	3	2	3	0	1	2	1	3	0	0	1	1	2	0	0	1	1	0	0	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	2575	640	353	435	279	188	660	206	106	308	163	82	99	107	44	61	174	84	82	63	96	30	108	77	38	14	19	40	10	39	24	14	5	7	22	11	13	12	33	9	20	13	6	11	21	8	4	6	8	5	6	5	1	1	4	3	7	2	0	3	3	8	6	1	4	0	1	4	1	0	0	5	2	0	2	0	0	3	1	1	0	1	2	2	0	0	2	0	2	0	0	1	1	1	0	0	0	1	0	0	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4402	1285	726	731	523	363	985	352	197	485	258	136	178	180	86	103	258	140	118	105	141	50	174	123	57	35	42	51	24	46	38	28	15	14	47	15	24	19	43	17	45	26	10	19	21	33	10	15	10	8	4	6	4	9	8	11	11	6	1	6	4	14	9	2	5	3	2	4	2	2	1	6	1	1	2	2	3	6	0	1	3	3	3	3	0	1	1	0	3	0	4	1	1	1	0	3	0	1	0	0	0	0	3	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2667	639	352	396	281	177	635	203	99	296	158	74	106	111	41	61	176	85	68	60	89	26	118	71	33	13	16	38	12	32	23	16	4	7	29	10	17	10	31	8	28	13	5	10	13	19	5	8	8	5	4	5	1	3	4	8	4	3	0	4	3	7	8	2	4	1	0	3	1	1	0	5	1	0	1	0	1	5	0	1	2	1	3	2	0	0	1	0	1	0	4	1	1	1	0	0	0	1	0	0	0	0	3	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4318	1295	719	759	517	373	953	389	190	455	271	132	177	186	82	106	262	134	115	105	151	59	164	145	56	25	43	41	26	51	36	32	19	14	41	15	23	18	32	15	47	21	12	22	28	29	15	13	8	10	4	5	5	8	11	9	14	5	4	6	3	12	7	3	6	5	0	5	2	3	1	9	3	2	1	1	4	6	0	0	3	2	1	4	0	1	1	1	5	0	5	1	1	1	0	3	0	1	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2559	638	353	422	287	172	595	234	100	275	166	65	109	102	43	65	157	78	62	68	94	29	107	103	32	9	16	30	15	32	22	20	7	7	27	10	15	12	20	7	30	11	6	13	12	16	9	6	7	6	4	3	2	3	6	7	4	1	2	4	2	7	5	1	5	2	0	4	1	2	0	7	2	1	1	0	1	5	0	0	2	1	1	3	0	0	1	0	4	0	4	1	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
