label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165
0.03	north1_all	80	3739	1618	1036	799	681	480	1251	1084	1262	256	225	467	309	418	160	124	115	158	102	92	190	90	79	53	57	59	67	84	117	197	32	108	33	37	37	23	55	38	30	22	33	22	17	15	44	15	22	24	17	16	9	38	5	8	4	7	9	8	14	8	5	3	7	2	9	4	4	1	1	5	5	4	2	2	5	1	2	2	2	0	3	1	1	2	2	3	2	1	6	1	2	1	1	0	1	0	0	3	0	1	4	0	5	1	8	0	0	3	1	0	0	0	0	5	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	1569	507	366	185	359	146	1115	969	1178	94	117	397	235	361	98	52	49	109	50	28	154	51	60	12	28	30	39	68	99	188	11	96	16	10	16	15	46	29	17	12	24	7	6	4	32	11	18	23	11	3	2	34	1	3	1	1	4	1	11	5	4	1	4	0	6	2	0	0	0	1	2	1	1	2	5	0	1	0	1	0	2	1	1	1	1	1	2	0	6	1	0	0	1	0	0	0	0	2	0	1	2	0	4	1	8	0	0	3	1	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3784	1608	1050	803	696	479	1201	1010	1297	254	217	461	298	428	160	135	115	153	97	91	175	81	77	66	56	53	62	84	140	204	36	104	33	34	30	30	64	41	34	18	33	30	14	13	44	12	28	22	18	16	6	49	6	12	8	9	9	9	15	7	6	4	9	2	5	7	8	1	2	5	5	3	1	2	5	1	2	1	2	0	2	0	1	2	3	2	1	1	1	0	1	1	8	0	1	0	0	2	1	1	1	0	4	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	3	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
0.03	north2_active	80	1571	482	362	182	367	140	1055	906	1213	97	121	385	228	362	94	58	47	101	41	16	141	49	55	13	29	23	37	68	124	196	14	92	16	10	17	17	53	32	20	11	23	8	6	2	34	9	23	21	11	3	2	47	2	5	3	1	5	1	13	4	4	2	7	0	3	4	1	0	1	2	2	1	1	2	5	0	1	0	1	0	2	0	1	1	2	1	1	0	0	0	0	0	8	0	0	0	0	1	0	1	0	0	4	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north3_all	80	3794	1660	1056	804	722	480	1213	1083	1189	238	241	470	300	404	154	136	104	167	84	79	148	95	83	65	54	48	55	80	129	206	31	117	32	24	31	32	73	47	25	20	34	23	17	13	36	8	29	30	15	16	7	42	7	16	6	8	9	9	11	7	4	9	7	2	6	6	6	3	4	5	4	3	3	6	4	2	1	1	3	0	3	0	2	1	2	2	1	1	1	0	0	1	8	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
0.03	north3_active	80	1561	467	350	190	367	145	1058	983	1098	91	141	389	232	341	91	67	39	120	34	12	120	61	50	11	28	23	29	64	111	198	13	108	17	9	18	18	66	38	14	10	25	8	8	5	26	6	24	30	9	4	2	41	3	7	2	1	5	1	9	6	2	4	5	0	3	3	2	1	2	1	1	2	2	5	4	0	1	0	1	0	2	0	2	1	1	1	1	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north4_all	80	3755	1635	1106	781	724	482	1253	1043	1328	223	232	466	297	372	158	130	92	156	77	79	150	81	86	64	52	54	57	85	134	183	38	135	28	28	29	33	79	53	29	19	33	25	15	10	29	13	37	35	15	14	10	39	6	15	6	10	9	9	11	7	3	9	9	2	6	3	5	4	5	5	3	2	5	7	1	1	1	2	7	0	1	1	2	2	5	0	0	0	1	1	0	1	7	0	1	0	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
0.03	north4_active	80	1548	449	373	201	357	144	1099	932	1225	83	125	376	224	293	88	72	30	112	30	15	123	59	52	10	29	28	29	73	119	172	16	126	16	9	21	20	71	42	19	9	23	12	6	4	20	7	33	34	8	3	4	37	3	9	2	3	7	1	9	5	0	4	5	0	4	2	2	1	2	1	0	2	2	5	1	0	0	0	6	0	0	0	2	2	3	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
0.03	north5_all	80	3753	1675	1121	759	710	489	1285	1111	1246	224	230	479	324	361	182	135	94	159	91	73	164	88	81	63	47	52	65	86	107	204	40	153	25	25	37	28	99	53	31	21	29	22	13	12	44	18	35	36	14	14	10	37	9	10	6	7	8	7	14	5	3	10	7	2	10	1	6	3	5	4	1	1	4	8	4	1	4	4	6	1	2	1	2	3	5	0	0	1	1	1	0	0	1	0	0	0	2	1	2	1	1	0	0	0	0	1	1	7	1	1	0	1	0	2	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north5_active	80	1596	461	381	199	349	148	1137	1002	1136	81	124	390	255	290	105	74	39	110	41	21	137	57	47	14	28	31	30	75	90	193	18	141	14	5	24	18	91	43	21	11	21	12	6	9	36	9	29	32	8	3	2	33	4	8	4	2	6	1	11	4	1	4	4	0	4	1	3	1	3	0	0	1	1	6	4	0	1	1	5	1	1	0	1	3	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	7	1	1	0	1	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
