label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north1_all	80	5769	4941	1425	1235	3171	1379	387	565	437	186	147	459	141	74	109	50	33	59	111	22	28	14	65	18	21	16	13	5	20	4	21	1	0	2	3	0	0	4	2	4	1	3	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
0.03	north1_active	80	1968	4000	299	712	2940	1200	195	455	351	51	65	424	107	30	77	16	20	50	100	9	16	9	59	6	9	12	13	2	18	3	13	0	0	1	0	0	0	2	1	2	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5701	5033	1451	1211	3079	1440	376	559	494	183	155	486	150	67	118	52	35	47	126	18	20	16	49	24	19	17	10	5	20	5	19	3	5	2	2	2	1	2	0	3	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	2010	4093	315	710	2858	1273	195	458	399	60	61	454	109	21	92	19	19	38	117	6	12	8	45	7	11	10	10	2	20	4	11	1	4	1	0	1	1	1	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5766	4891	1427	1137	3180	1421	395	605	541	198	145	469	165	72	107	54	43	46	124	17	22	14	65	17	14	20	14	2	28	5	19	5	5	2	3	2	8	2	4	3	1	9	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1999	3922	306	674	2959	1267	202	498	442	71	58	440	119	21	91	19	21	36	118	6	11	6	64	4	9	16	11	0	28	3	12	1	4	2	2	1	8	1	4	2	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5636	4905	1466	1158	3123	1409	419	572	528	201	143	491	173	85	114	58	52	67	145	19	17	17	52	16	15	23	12	3	25	6	18	5	5	2	2	2	9	0	4	2	1	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2007	3850	310	661	2901	1260	227	470	435	82	50	468	120	27	95	24	23	56	136	6	10	6	51	4	12	18	6	0	25	3	12	1	4	1	2	1	8	0	4	2	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5666	4994	1438	1188	3085	1485	426	586	520	199	133	512	168	91	98	65	45	85	156	24	19	23	61	10	17	20	16	4	25	7	20	3	3	5	2	1	17	0	5	3	1	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1992	3916	303	676	2859	1335	223	486	432	82	48	478	118	29	80	30	19	70	147	8	11	9	58	3	15	15	10	0	25	4	20	0	1	2	2	0	15	0	5	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5742	5027	1428	1231	3045	1452	421	570	483	185	121	579	162	89	114	65	55	84	143	28	18	25	43	12	14	15	13	7	37	3	21	2	2	8	0	2	12	0	1	2	0	1	0	0	0	2	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1994	3988	301	696	2842	1302	211	463	405	80	43	542	116	26	91	31	21	67	135	10	12	11	36	6	13	12	10	1	36	1	21	0	1	4	0	2	10	0	1	1	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5734	4886	1442	1226	2920	1527	437	567	488	184	123	544	131	85	122	55	54	67	124	25	17	25	41	10	11	7	16	11	33	4	13	2	3	9	1	4	12	1	2	2	0	1	0	0	0	1	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
