label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	north1_all	80	115	72	58	17	65	12	9	28	2	11	12	4	1	7	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	46	45	34	8	50	8	5	12	0	8	6	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	116	96	50	16	61	8	7	37	4	20	12	4	1	8	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	51	57	30	7	45	6	4	21	3	17	5	1	1	6	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	121	92	44	23	59	5	6	25	4	23	11	3	1	10	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	59	54	27	12	44	5	6	17	3	16	10	1	1	7	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	117	103	43	23	60	5	9	23	4	22	9	1	1	7	3	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	61	55	23	13	48	2	8	16	3	16	8	1	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	112	82	44	31	54	7	9	21	2	27	6	1	2	26	2	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
0.03	north5_active	80	54	39	24	16	44	2	7	19	2	19	5	1	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	121	82	39	24	49	9	8	22	2	15	4	1	3	25	4	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
0.03	north6_active	80	50	46	22	11	38	3	6	21	2	12	2	0	3	5	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	134	76	45	22	22	11	12	18	4	16	7	1	3	23	4	0	0	0	4	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0
0.03	north7_active	80	53	48	23	8	14	3	5	15	2	13	5	0	3	4	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	134	79	52	18	35	10	10	14	5	20	7	1	2	3	3	1	0	0	4	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0
0.03	north8_active	80	54	50	23	6	24	4	3	12	3	14	5	0	2	2	1	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	132	89	60	15	45	8	12	12	6	13	7	1	0	3	2	1	0	0	2	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	59	54	23	7	37	3	5	7	3	9	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	120	94	48	16	47	6	8	20	4	13	3	0	1	3	1	1	0	1	1	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	50	58	18	10	41	2	4	13	3	9	2	0	1	2	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	117	92	41	31	44	10	11	19	3	8	4	3	2	5	0	4	1	0	1	0	1	1	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	47	61	18	18	33	2	7	11	1	8	2	1	2	1	0	2	0	0	1	0	1	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	107	90	39	27	52	12	9	31	1	5	4	1	3	7	0	4	1	0	1	0	1	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	40	65	16	16	38	4	5	17	1	5	2	0	2	2	0	2	0	0	1	0	1	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	109	84	38	33	49	9	9	30	0	5	5	0	2	12	1	5	1	0	6	0	1	0	9	1	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north13_active	80	45	56	12	16	37	4	3	21	0	4	2	0	0	8	1	3	0	0	6	0	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	99	78	37	22	46	11	6	39	1	2	5	0	2	14	1	4	1	0	6	0	2	0	0	2	2	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north14_active	80	48	45	14	9	32	5	2	28	0	0	2	0	0	8	1	3	0	0	6	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_all	80	105	88	41	18	41	7	6	28	2	5	3	1	3	10	1	1	0	1	7	0	1	0	0	1	2	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north15_active	80	53	59	23	5	29	2	1	21	1	2	0	0	0	7	1	1	0	1	6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	108	98	45	17	28	8	5	24	4	12	7	2	2	2	1	0	0	1	7	0	1	2	0	2	2	0	0	0	1	0	0	2	0	0	0	0	0
0.03	north16_active	80	58	70	28	7	15	4	0	16	3	10	5	0	0	0	0	0	0	1	6	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	110	97	54	14	21	9	4	19	4	13	8	3	2	0	1	1	0	3	1	0	1	2	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0
0.03	north17_active	80	59	72	35	8	15	5	0	12	3	11	7	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north18_all	80	115	103	65	24	22	8	1	15	3	23	10	3	3	4	2	2	0	4	1	0	1	2	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0
0.03	north18_active	80	62	69	44	11	15	5	0	11	2	21	8	2	2	4	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
0.03	north19_all	80	127	96	62	21	28	9	2	18	4	16	7	2	2	5	1	2	0	3	0	0	2	3	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0
0.03	north19_active	80	57	58	44	8	24	5	1	15	2	13	4	2	2	4	1	0	0	2	0	0	0	3	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0
0.03	north20_all	80	123	92	59	23	30	9	2	16	3	16	5	1	2	5	1	1	0	1	0	0	2	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	55	48	37	9	22	5	1	11	2	12	2	1	2	4	1	0	0	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	118	101	59	23	31	8	5	43	1	5	6	2	0	3	1	2	2	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	55	62	29	10	20	2	4	37	0	4	4	2	0	2	1	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	116	97	57	17	35	9	7	38	2	5	5	2	0	5	0	3	1	0	1	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	51	61	30	5	27	2	5	29	0	5	3	2	0	2	0	1	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	96	84	47	17	43	10	8	22	4	6	12	2	0	9	0	2	0	2	1	0	2	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	45	55	29	6	26	2	6	6	2	4	10	2	0	6	0	1	0	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	105	78	52	17	46	7	11	17	6	4	10	2	0	8	1	1	0	2	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	49	51	39	6	28	2	7	4	3	2	9	1	0	5	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	104	92	58	16	47	11	12	16	4	6	9	1	1	7	1	1	1	2	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	48	58	36	5	31	6	8	6	3	3	8	0	1	5	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	122	87	65	13	44	11	10	21	4	8	5	4	1	7	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	62	58	39	6	29	7	6	9	3	5	4	1	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	113	82	52	21	40	13	9	13	1	8	5	4	1	8	0	0	2	0	1	0	0	1	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0
0.03	south27_active	80	54	53	26	8	26	8	6	7	1	5	3	1	1	3	0	0	1	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	117	83	44	25	50	14	14	16	5	8	6	3	0	7	0	0	1	0	2	0	0	1	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0
0.03	south28_active	80	56	53	22	9	35	9	6	11	3	6	4	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	103	93	47	26	53	12	16	24	8	9	6	0	3	9	0	0	0	0	1	0	1	1	1	1	0	0	5	0	0	1	0	0	0	0	0	0	1
0.03	south29_active	80	45	61	25	11	38	6	8	18	3	8	4	0	1	5	0	0	0	0	0	0	1	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	114	87	47	23	50	12	18	31	8	9	5	1	3	10	0	0	0	0	1	0	2	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1
0.03	south30_active	80	51	54	21	11	36	5	7	27	3	8	4	1	1	9	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	103	84	62	20	42	15	5	31	11	18	3	1	4	6	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south31_active	80	47	41	32	12	33	6	3	13	1	17	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south32_all	80	103	97	59	19	47	15	8	23	6	17	6	3	2	11	0	2	2	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0
0.03	south32_active	80	50	61	24	10	38	5	2	6	0	16	4	1	1	8	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south33_all	80	98	92	55	14	49	12	9	15	6	16	11	4	1	12	2	1	2	0	1	0	1	0	1	0	0	3	1	0	0	2	0	0	0	0	0	0	0
0.03	south33_active	80	48	61	24	8	34	4	2	5	0	14	7	2	1	9	0	1	0	0	1	0	1	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0
0.03	south34_all	80	97	102	48	14	46	10	9	27	3	6	13	4	1	13	2	1	2	0	1	0	2	0	2	0	0	4	1	1	0	2	0	0	0	0	0	0	0
0.03	south34_active	80	49	67	25	6	33	5	2	16	0	4	9	2	1	11	0	1	0	0	1	0	2	0	1	0	0	3	0	1	0	2	0	0	0	0	0	0	0
0.03	south35_all	80	99	94	51	17	48	9	9	23	4	8	9	5	0	13	2	1	1	1	1	1	1	0	1	0	0	4	3	1	0	2	0	0	0	0	0	0	0
0.03	south35_active	80	42	58	30	9	28	8	2	18	1	4	7	1	0	11	0	1	0	1	1	0	1	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0
0.03	south36_all	80	98	97	48	17	48	8	7	26	2	11	5	2	1	8	0	1	0	1	1	1	1	0	1	0	0	1	7	1	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	39	51	30	8	29	7	1	19	1	5	5	0	0	6	0	1	0	1	1	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	108	105	50	19	48	9	7	12	4	9	6	4	1	6	0	1	0	1	1	2	0	0	1	0	0	1	7	1	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	42	65	35	9	27	5	0	5	3	3	6	1	0	4	0	1	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	106	105	56	22	45	8	7	10	6	10	5	2	1	3	1	2	0	0	1	2	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0
0.03	south38_active	80	47	69	43	8	25	2	1	4	5	2	5	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
