label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129
0.03	north1_all	80	51903	14782	9756	11035	3721	2865	4068	4933	2093	1803	2069	994	2131	906	707	585	547	412	379	664	481	255	248	367	199	343	385	157	219	138	107	108	88	139	71	58	170	146	121	59	50	37	54	34	58	29	21	23	28	17	20	47	52	8	13	17	11	9	5	9	7	6	5	5	2	7	2	4	1	8	11	5	1	3	1	2	0	3	4	2	2	1	0	2	3	0	0	1	2	2	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	43605	9054	6352	9335	961	782	3067	4341	1302	1201	1666	312	1872	567	360	176	241	74	89	548	379	55	97	278	68	283	341	58	180	76	58	54	49	94	16	19	146	126	85	20	17	12	37	10	37	8	7	14	15	5	7	38	47	0	5	6	2	1	4	4	5	0	2	2	1	4	2	2	0	6	11	1	0	1	0	1	0	0	2	0	2	1	0	1	2	0	0	1	0	1	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	52324	14985	9721	11081	3729	2922	3880	4812	2066	1830	2173	979	2271	944	730	602	510	404	381	633	505	252	255	330	203	339	346	153	248	128	112	97	81	145	67	56	121	131	128	63	49	42	42	34	62	27	18	28	26	21	20	38	53	12	10	16	12	8	8	9	6	6	13	4	3	4	2	4	2	7	12	5	5	3	4	2	0	2	4	2	1	5	0	4	3	0	0	1	2	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	44026	9154	6354	9414	967	804	2871	4196	1254	1228	1765	306	2011	602	372	171	235	85	86	518	395	62	110	232	73	286	299	61	201	65	60	45	35	111	22	19	98	114	92	22	12	17	24	7	42	9	4	18	11	5	7	29	48	0	5	7	6	0	6	4	3	0	11	2	2	2	1	1	1	7	11	0	4	2	3	1	0	0	1	1	0	5	0	4	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	52748	14933	9560	10936	3765	2902	3773	4887	2145	1794	2199	989	2230	971	764	580	511	417	372	662	526	267	240	355	193	318	323	146	290	144	129	104	83	137	66	56	115	120	94	53	52	44	38	31	55	31	21	28	25	22	16	45	42	12	15	17	11	9	13	10	2	3	13	3	7	8	3	3	3	6	8	6	4	3	3	3	1	2	5	2	2	5	2	5	2	0	0	1	3	0	4	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	44528	9211	6263	9231	992	791	2780	4263	1322	1185	1764	315	1952	615	395	164	248	90	82	538	413	74	98	272	78	255	274	49	217	73	63	55	34	110	26	16	92	97	60	18	13	20	22	8	42	12	6	14	13	5	5	41	40	1	10	8	7	0	11	4	0	0	12	1	2	1	1	1	3	6	7	1	4	2	3	1	0	1	2	1	1	5	2	4	2	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	52629	14876	9511	10739	3714	2918	3834	5119	2049	1843	2256	998	2193	1002	752	604	524	424	374	660	570	259	233	341	210	321	315	132	286	149	140	124	92	133	65	62	103	125	68	55	50	46	33	31	49	36	22	26	20	19	9	39	43	14	17	10	16	10	13	6	2	2	15	4	6	8	3	3	5	5	4	5	7	1	5	4	2	3	5	1	2	5	2	7	1	0	0	0	1	0	6	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	44387	9201	6205	9075	988	782	2864	4478	1253	1254	1834	329	1936	649	393	178	264	100	100	539	448	76	83	256	80	242	265	48	216	77	64	68	42	105	21	17	84	108	40	16	11	23	17	8	35	12	7	12	10	4	2	35	41	3	12	3	8	1	9	3	0	0	13	2	1	1	1	1	4	5	1	2	6	1	4	3	1	1	3	1	1	5	2	6	1	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	52355	14835	9544	10490	3719	2920	3886	5348	2017	1897	2072	996	2090	1032	784	589	532	417	401	677	580	272	220	326	216	334	338	139	262	164	117	135	87	126	63	58	120	122	68	40	53	44	45	31	39	34	28	27	21	18	9	42	46	14	20	13	18	10	14	6	5	2	18	4	6	8	4	5	7	2	6	5	3	0	4	4	2	2	3	2	1	7	4	6	0	1	0	0	1	0	5	0	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	44101	9179	6252	8822	999	765	2939	4723	1235	1296	1660	314	1835	686	407	176	268	98	102	542	460	79	69	256	79	249	286	51	201	87	50	81	43	95	19	12	100	101	46	16	15	23	29	9	26	10	8	11	15	4	3	35	43	5	13	4	7	1	11	2	3	0	16	1	1	1	1	4	6	2	4	3	2	0	3	3	1	1	3	1	1	7	3	4	0	1	0	0	1	0	5	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
