label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129
0.03	north1_all	80	23659	16242	13384	10516	3974	3268	4554	4479	1574	1926	1291	888	825	1178	650	590	717	651	1042	811	357	264	268	204	264	235	386	464	121	357	130	111	104	101	101	81	64	90	136	41	39	38	31	26	39	62	32	18	20	24	54	39	20	17	17	17	30	13	7	9	9	13	4	3	11	1	10	3	6	7	1	4	4	1	4	1	1	2	10	1	1	3	0	1	0	1	1	1	0	1	0	1	1	0	0	3	0	0	0	0	2	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4652	11081	10755	8886	1695	1476	3742	3860	506	1322	617	246	198	874	344	142	456	434	929	694	167	138	107	85	187	146	334	416	34	326	69	57	37	52	61	15	13	69	117	8	9	9	17	12	26	55	5	6	7	18	49	31	9	11	4	16	12	5	2	3	5	12	3	0	9	0	7	1	4	2	0	1	0	1	4	0	0	1	9	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23790	15789	12508	9938	3850	3201	4219	4164	1558	1872	1247	907	798	1192	632	562	658	613	882	771	353	258	261	210	296	217	343	416	121	310	116	114	108	99	102	80	62	77	103	42	45	40	35	23	41	68	38	16	23	24	59	40	16	14	17	16	18	10	5	16	11	10	6	4	7	2	5	3	8	4	1	4	4	0	4	0	4	4	3	0	2	3	1	1	0	1	1	1	0	0	1	0	2	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5110	10322	9720	8261	1533	1393	3362	3507	473	1242	562	232	180	859	297	127	387	378	757	658	158	129	89	83	206	123	283	362	34	280	55	64	30	52	58	18	13	51	85	6	10	8	19	10	32	57	4	4	6	15	50	31	5	10	6	15	12	2	2	4	6	8	3	0	5	0	1	1	5	1	0	1	0	0	4	0	0	2	2	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	23680	15257	11563	9395	3901	3199	3933	3757	1589	1826	1213	923	791	1074	648	538	623	527	789	724	322	271	238	199	301	203	350	386	121	267	108	114	109	97	104	75	67	86	103	44	42	37	39	23	31	81	32	19	18	23	51	20	17	17	14	19	18	7	7	14	9	19	7	7	7	1	4	4	5	5	2	2	4	0	1	1	5	4	3	0	4	3	1	1	0	1	1	0	0	0	1	0	2	0	2	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5389	9558	8592	7595	1472	1296	3021	3048	456	1193	485	202	165	750	294	107	324	318	664	598	129	126	70	73	207	110	292	335	31	231	54	53	30	44	61	20	16	58	81	8	11	9	21	9	23	66	4	2	4	14	42	15	5	15	6	17	14	1	3	4	2	16	2	0	4	0	0	1	2	1	1	1	0	0	1	0	1	2	2	0	3	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	23743	14493	10741	8793	3870	3034	3723	3506	1564	1695	1185	921	836	1075	693	529	592	487	843	644	325	266	231	209	301	197	372	308	123	237	107	113	89	88	77	72	71	72	78	46	44	40	43	20	35	81	29	21	24	31	52	24	17	18	13	23	18	6	8	15	8	24	7	6	7	1	7	2	6	4	2	2	3	0	4	1	5	4	1	1	5	1	1	1	1	0	2	0	0	0	2	1	1	0	3	0	1	0	1	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5822	8577	7693	6835	1356	1141	2755	2776	405	1031	436	197	166	721	273	104	300	284	713	510	135	115	65	75	201	89	300	257	28	201	48	44	21	34	40	22	19	51	55	6	10	14	25	7	24	68	4	3	4	23	43	15	7	16	7	20	16	0	4	2	1	20	2	0	4	0	1	0	2	1	1	0	1	0	3	0	1	1	1	0	4	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	23772	14345	10692	8746	3813	3058	3770	3506	1559	1704	1216	971	862	1049	709	547	599	486	895	617	305	299	199	215	285	211	398	300	124	245	97	120	96	77	88	63	66	81	79	43	47	41	44	22	27	66	29	23	23	36	52	25	18	17	16	21	7	8	10	12	7	21	6	6	6	0	5	4	4	2	3	1	3	1	5	3	2	3	0	6	5	1	3	2	1	0	2	0	0	0	2	1	0	0	3	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5763	8602	7584	6711	1323	1134	2778	2773	415	996	417	215	165	684	272	111	304	291	768	479	130	121	59	64	185	84	320	261	32	206	48	47	22	31	49	23	20	58	51	9	10	16	24	9	17	54	6	4	3	27	48	17	9	15	9	19	5	1	5	1	0	19	2	0	4	0	1	0	1	1	1	0	1	0	4	2	1	0	0	5	4	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
